steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,7363,33.9446,1.0000,12.7305,0.5284,19.7971,-0.2827,0.0440,0.0686,-0.1510,-0.0073,0.1823,-0.1393,-0.0132,-0.3946,-0.0069,0.3632,0.3551,0.3667,0.3667,0.3680
500000,15255,16.3877,1.0000,26.4641,0.3702,30.9185,-0.5539,0.1713,0.1802,-0.0804,-0.0138,0.3090,-0.1808,-0.0134,-0.6136,0.1401,0.3334,0.3342,0.3595,0.3412,0.3641
750000,14789,16.9045,1.0000,36.0268,0.3507,32.1674,-0.4568,0.2218,0.1981,-0.1133,-0.0135,0.3373,-0.1560,-0.0135,-0.5935,0.1414,0.3085,0.3119,0.3505,0.3226,0.3553
1000000,14089,17.7432,1.0000,40.2757,0.3425,33.5653,-0.5206,0.2297,0.1984,-0.1161,-0.0135,0.3450,-0.1499,-0.0138,-0.5655,0.1404,0.2894,0.2884,0.3428,0.3124,0.3447
