config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c2,0.0,1.2,0.1,4,1.98,260.0,125.0,28.0,30.0,1,0.1728,1445,147.794,234.597,2.2462,2.952,0.3564,0.6311,0.0125,-0.39,10.547,-6.661,10.323,14.687,16.313,7.69,29.34,118.12,118.2,-0.7495,-0.5577,-0.1364,-0.1347,-0.2905
c2,0.0,1.2,0.1,5,1.94,280.0,125.0,24.0,40.0,1,0.1718,1445,137.295,217.827,2.2337,2.757,0.2401,0.7536,0.0062,-0.676,12.007,-6.52,8.995,10.816,13.833,6.78,34.13,110.89,110.96,-0.2734,-0.5478,-0.052,-0.2305,-0.7057
c2,0.0,1.2,0.1,6,1.97,270.0,125.0,24.0,40.0,1,0.1728,1445,144.417,229.818,2.2463,2.884,0.2927,0.7003,0.0069,-0.64,11.133,-6.359,8.953,10.839,13.38,6.35,34.33,110.89,110.96,-0.2678,-0.7022,0.0651,0.0021,-0.6666
c2,0.0,1.2,0.1,7,1.95,270.0,125.0,24.0,40.0,1,0.1702,1445,140.44,222.616,2.2126,2.847,0.2727,0.7183,0.009,-0.803,11.142,-6.471,9.043,10.745,13.304,6.29,34.39,110.88,110.95,-0.2658,-0.7179,0.0609,0.0126,-0.6636
c2,0.0,1.2,0.1,8,1.93,280.0,125.0,24.0,40.0,1,0.1706,1445,135.883,214.828,2.2182,2.748,0.2401,0.7557,0.0042,-0.58,11.982,-6.492,8.987,10.88,13.894,6.75,34.08,110.85,110.92,-0.2656,-0.5426,-0.0422,-0.2377,-0.7065
c2,0.0,1.2,0.1,9,1.92,280.0,125.0,24.0,40.0,1,0.1702,1445,134.343,211.839,2.2124,2.724,0.2478,0.7474,0.0048,-0.602,12.005,-6.474,8.984,10.938,13.93,6.72,34.12,110.85,110.92,-0.2662,-0.5413,-0.0376,-0.2361,-0.7079
c2,0.0,1.2,0.1,10,1.93,270.0,125.0,24.0,40.0,1,0.1674,1445,136.304,216.026,2.1763,2.81,0.2588,0.7343,0.0069,-0.593,11.088,-6.504,9.137,10.628,13.185,6.25,34.37,110.83,110.9,-0.2583,-0.708,0.0683,0.0091,-0.6589
c2,0.0,1.2,0.1,11,1.96,270.0,125.0,24.0,40.0,1,0.1718,1445,141.863,225.88,2.2338,2.849,0.2761,0.7149,0.009,-0.775,11.115,-6.359,8.964,10.823,13.354,6.33,34.33,110.88,110.95,-0.2662,-0.7125,0.0594,0.0096,-0.6636
c2,0.0,1.2,0.1,12,1.91,280.0,125.0,24.0,40.0,1,0.169,1445,131.965,208.307,2.1976,2.694,0.2374,0.755,0.0076,-0.696,11.97,-6.441,8.966,10.964,13.946,6.69,34.1,110.84,110.91,-0.2613,-0.5461,-0.0407,-0.2323,-0.7066
c2,0.0,1.2,0.1,13,1.96,260.0,125.0,28.0,30.0,1,0.1677,1445,143.505,227.515,2.1797,2.953,0.3668,0.618,0.0152,-0.6,10.547,-6.621,10.353,14.017,15.699,7.69,29.35,118.16,118.24,-0.7521,-0.5633,-0.135,-0.1193,-0.2725
c2,0.0,1.2,0.1,14,1.94,270.0,125.0,24.0,40.0,1,0.1694,1445,137.875,219.16,2.2021,2.809,0.2595,0.7287,0.0118,-0.685,11.105,-6.517,9.126,10.704,13.232,6.28,34.38,110.88,110.95,-0.2687,-0.7055,0.0546,0.0126,-0.6573
c2,0.0,1.2,0.1,15,1.96,260.0,125.0,20.0,40.0,1,0.17,1445,139.429,223.493,2.2098,2.83,0.236,0.7543,0.0097,0.558,10.252,-5.546,9.696,-8.337,10.1,5.72,32.4,112.65,112.71,-0.4502,-0.6298,0.0265,0.2396,-0.5751
c2,0.0,1.2,0.1,16,1.97,260.0,125.0,20.0,40.0,1,0.17,1445,141.644,226.85,2.2105,2.874,0.2388,0.7488,0.0125,0.648,10.264,-5.524,9.624,-8.438,10.188,5.74,32.38,112.67,112.73,-0.451,-0.6423,0.046,0.2442,-0.5783
c2,0.0,1.2,0.1,17,1.95,260.0,125.0,20.0,40.0,1,0.1698,1445,137.961,220.107,2.2073,2.804,0.2339,0.7474,0.0187,0.526,10.275,-5.681,9.79,-8.093,9.934,5.69,32.52,112.63,112.69,-0.4492,-0.6153,0.0159,0.2314,-0.5713
c2,0.0,1.2,0.1,18,1.98,260.0,125.0,20.0,40.0,1,0.1692,1445,143.336,230.107,2.1993,2.924,0.2394,0.7453,0.0152,0.728,10.247,-5.553,9.603,-8.925,10.616,5.75,32.33,112.63,112.69,-0.4452,-0.6402,0.0397,0.2356,-0.5798
c2,0.0,1.2,0.1,19,1.92,270.0,125.0,24.0,40.0,1,0.1668,1445,134.787,213.05,2.1681,2.789,0.2491,0.7405,0.0104,-0.605,11.11,-6.498,9.155,10.612,13.158,6.22,34.44,110.83,110.9,-0.2583,-0.7087,0.0731,0.0104,-0.6588
c2,0.0,1.2,0.1,20,1.96,270.0,125.0,28.0,30.0,1,0.1657,1445,143.423,226.85,2.1535,2.988,0.3751,0.5972,0.0277,-0.439,12.113,-9.409,12.437,7.826,11.024,8.38,34.68,116.44,116.51,-0.6785,-0.4616,-0.173,-0.3493,-0.4147
c2,0.0,1.2,0.3,1,1.97,330.0,115.0,28.0,10.0,1,0.0312,1445,151.017,216.333,0.4062,16.679,0.6554,0.092,0.2526,-0.093,15.983,-8.199,11.714,-66.473,73.541,17.15,15.91,128.42,128.46,-0.943,-0.2169,-0.2774,-0.8831,-0.1082
c2,0.0,1.2,0.3,2,1.92,330.0,105.0,28.0,10.0,1,0.2713,1445,124.69,174.218,3.5273,1.586,0.6519,0.1183,0.2298,-0.103,14.822,-8.597,11.89,27.342,32.276,15.34,16.78,127.09,127.13,-0.9405,-0.2842,-0.2101,-0.8792,-0.3276
c2,0.0,1.2,0.3,3,1.95,330.0,115.0,28.0,10.0,1,0.0769,1445,148.361,212.801,1.0002,6.654,0.6796,0.0886,0.2318,0.182,16.478,-8.105,12.19,92.908,106.395,17.52,17.62,128.05,128.11,-0.9427,-0.1658,-0.229,-0.7864,-0.0334
c2,0.0,1.2,0.3,4,1.88,330.0,115.0,28.0,10.0,1,0.29,1445,138.035,195.478,3.7694,1.643,0.6519,0.1045,0.2436,0.154,16.14,-8.655,12.147,29.041,38.47,17.06,17.12,128.2,128.24,-0.944,-0.2375,-0.2341,-0.8434,-0.1525
c2,0.0,1.2,0.3,5,1.92,340.0,105.0,28.0,10.0,1,0.2879,1445,124.265,174.861,3.7431,1.489,0.6803,0.1239,0.1958,0.107,15.562,-8.378,12.108,35.938,40.877,16.16,16.86,126.87,126.9,-0.9438,-0.1699,-0.2943,-0.8527,-0.3186
c2,0.0,1.2,0.3,6,1.89,330.0,115.0,28.0,10.0,1,0.2681,1445,140.168,198.848,3.4849,1.804,0.6436,0.0969,0.2595,0.093,15.99,-8.527,12.18,32.144,45.83,16.9,17.21,128.25,128.3,-0.9447,-0.2006,-0.2137,-0.8388,-0.1293
c2,0.0,1.2,0.3,7,1.93,350.0,115.0,28.0,10.0,1,0.2089,1445,144.416,207.922,2.7152,2.386,0.6692,0.1087,0.2221,0.171,16.864,-7.745,11.611,-1.342,45.279,18.03,16.03,128.13,128.16,-0.9494,-0.1611,-0.332,-0.8679,-0.1258
c2,0.0,1.2,0.3,8,1.85,320.0,115.0,28.0,10.0,1,0.2795,1445,134.497,188.968,3.6338,1.66,0.6228,0.1107,0.2664,-0.647,14.664,-8.741,11.589,16.198,19.613,15.39,17.06,128.63,128.69,-0.9413,-0.6134,-0.0669,-0.8567,-0.3766
c2,0.0,1.2,0.3,9,1.98,330.0,105.0,28.0,10.0,1,0.0809,1445,129.522,180.974,1.0515,5.525,0.6471,0.1176,0.2353,-0.496,13.697,-7.098,10.742,86.845,89.667,14.38,13.32,127.76,127.8,-0.9418,-0.315,-0.17,-0.8899,-0.2361
c2,0.0,1.2,0.3,10,1.98,340.0,115.0,24.0,20.0,1,0.2707,1445,149.254,221.262,3.5187,1.903,0.6574,0.1585,0.1841,0.375,16.071,-8.779,11.874,39.09,43.571,14.77,24.96,123.08,123.12,-0.9043,-0.0735,-0.313,-0.8159,-0.3024
c2,0.0,1.2,0.3,11,1.93,330.0,105.0,28.0,10.0,1,0.0918,1445,124.34,173.536,1.1932,4.675,0.6471,0.1176,0.2353,-0.475,14.036,-7.859,11.171,86.174,89.995,14.61,14.96,127.52,127.56,-0.9416,-0.3767,-0.1585,-0.8945,-0.2128
c2,0.0,1.2,0.3,12,1.98,310.0,105.0,28.0,10.0,1,0.177,1445,132.262,184.846,2.3006,2.579,0.6325,0.1246,0.2429,-0.609,13.113,-8.628,11.692,62.433,74.065,13.56,17.06,127.44,127.5,-0.9323,-0.4383,-0.0809,-0.803,-0.1082
c2,0.0,1.2,0.3,13,1.97,0.0,125.0,28.0,10.0,1,0.2765,1445,178.7,264.089,3.5947,2.23,0.6851,0.0865,0.2284,0.777,18.394,-7.267,11.755,46.846,52.498,20.16,17.63,128.99,129.01,-0.9534,-0.1363,-0.2581,-0.8021,-0.247
c2,0.0,1.2,0.3,14,1.86,330.0,115.0,28.0,10.0,1,0.2868,1445,134.278,190.49,3.7287,1.615,0.6471,0.1031,0.2498,0.008,15.758,-8.693,12.355,19.512,28.704,16.65,17.94,128.21,128.26,-0.9442,-0.2042,-0.1822,-0.819,-0.1695
c2,0.0,1.2,0.3,15,1.88,320.0,115.0,28.0,10.0,1,0.2931,1445,138.963,196.002,3.8097,1.636,0.6228,0.1052,0.272,-0.401,14.887,-8.905,11.764,20.155,26.068,15.69,17.37,128.52,128.58,-0.9401,-0.5336,-0.0834,-0.8289,-0.199
c2,0.0,1.2,0.3,16,1.98,330.0,115.0,24.0,20.0,1,0.0904,1445,151.607,225.065,1.1757,5.785,0.6055,0.1356,0.2588,0.38,15.662,-9.325,11.689,-50.899,52.379,14.34,25.31,123.12,123.16,-0.8996,-0.3162,-0.2929,-0.9025,-0.4461
c2,0.0,1.2,0.3,17,1.97,350.0,105.0,28.0,10.0,1,0.271,1445,127.827,179.152,3.5226,1.628,0.683,0.1142,0.2028,-0.027,15.126,-7.455,11.248,22.269,30.086,15.86,14.8,127.25,127.27,-0.9474,-0.1581,-0.3066,-0.8977,-0.2789
c2,0.0,1.2,0.3,18,1.86,320.0,115.0,28.0,10.0,1,0.2821,1445,135.438,190.704,3.6678,1.656,0.6138,0.1156,0.2706,-0.57,14.604,-8.836,11.635,15.828,19.246,15.36,17.18,128.65,128.71,-0.9411,-0.625,-0.0608,-0.8576,-0.3704
c2,0.0,1.2,0.3,19,1.97,310.0,105.0,28.0,10.0,1,0.2842,1445,132.627,184.71,3.6944,1.61,0.6138,0.1218,0.2644,-0.777,13.116,-9.192,11.82,25.366,27.642,13.53,17.81,127.38,127.43,-0.9326,-0.6561,-0.0854,-0.8662,-0.4812
c2,0.0,1.2,0.3,20,1.85,340.0,115.0,28.0,10.0,1,0.2916,1445,132.771,187.419,3.791,1.571,0.6706,0.0997,0.2298,0.107,16.206,-8.152,11.891,19.724,32.091,17.14,16.28,128.29,128.32,-0.9492,-0.1918,-0.2396,-0.8705,-0.1882
c2,0.0,1.2,0.5,1,1.95,30.0,115.0,24.0,30.0,1,0.3106,1445,159.843,222.672,4.0372,1.776,0.7211,0.0048,0.274,2.703,20.316,-12.74,15.221,16.651,17.835,14.26,38.09,112.82,112.83,-0.8055,0.4898,-0.6552,-0.7897,-0.9355
c2,0.0,1.2,0.5,2,1.94,10.0,125.0,24.0,30.0,1,0.3059,1445,168.391,237.955,3.9767,1.9,0.6934,0.0014,0.3052,2.503,19.998,-12.354,15.051,17.406,18.649,14.25,37.96,114.72,114.75,-0.8127,0.5592,-0.4349,-0.8203,-0.8761
c2,0.0,1.2,0.5,3,1.89,280.0,115.0,28.0,10.0,1,0.2668,1445,133.494,186.163,3.4679,1.727,0.8381,0.0145,0.1474,0.303,13.763,-11.149,14.632,19.717,29.641,13.63,23.45,127.89,128.01,-0.9435,-0.1124,-0.0765,-0.7643,-0.0721
c2,0.0,1.2,0.5,4,1.91,20.0,125.0,24.0,30.0,0,nan,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
c2,0.0,1.2,0.5,5,1.96,40.0,115.0,24.0,30.0,1,0.3086,1445,163.913,229.824,4.0117,1.833,0.7176,0.0055,0.2768,2.772,20.191,-12.541,14.945,17.383,18.612,14.28,37.55,112.98,112.99,-0.8105,0.4143,-0.6244,-0.7573,-0.8974
c2,0.0,1.2,0.5,6,1.93,40.0,115.0,24.0,30.0,1,0.2713,1445,155.78,218.253,3.5271,1.981,0.7446,0.0069,0.2484,2.616,19.981,-11.904,14.439,17.455,19.529,13.82,36.52,113.42,113.44,-0.8163,0.2747,-0.4712,-0.7569,-0.6345
c2,0.0,1.2,0.5,7,1.91,10.0,125.0,24.0,30.0,1,0.3019,1445,162.223,228.336,3.9243,1.854,0.7024,0.0014,0.2962,2.25,20.221,-12.461,15.039,15.768,17.674,14.31,37.97,114.62,114.66,-0.8138,0.5426,-0.4069,-0.8195,-0.712
c2,0.0,1.2,0.5,8,1.93,30.0,125.0,24.0,30.0,1,0.3005,1445,173.659,245.07,3.9063,1.994,0.6789,0.0021,0.319,3.065,20.652,-11.62,14.229,17.162,19.504,15.29,36.29,114.95,114.97,-0.8318,0.2761,-0.5143,-0.7261,-0.6513
c2,0.0,1.2,0.5,9,1.95,300.0,95.0,28.0,10.0,1,0.2347,1445,107.452,142.498,3.0514,1.58,0.8554,0.0042,0.1405,0.465,13.338,-11.654,14.42,3.945,9.728,12.68,23.28,125.0,125.09,-0.9477,-0.1864,-0.069,-0.8571,-0.4997
c2,0.0,1.2,0.5,10,1.92,280.0,115.0,28.0,10.0,0,0.0544,1339,124.822,175.616,0.6552,8.546,0.8529,0.0119,0.1352,0.288,14.154,-7.715,17.109,-60.627,64.422,14.89,29.93,125.91,126.54,-0.9516,-0.183,-0.3256,-0.2425,-0.133
c2,0.0,1.2,0.5,11,1.96,300.0,105.0,28.0,10.0,1,0.2555,1445,126.588,172.196,3.3213,1.71,0.8228,0.0007,0.1765,0.615,13.492,-12.621,15.343,5.827,11.583,12.92,25.95,125.88,125.98,-0.9459,-0.2061,-0.047,-0.8329,-0.3977
c2,0.0,1.2,0.5,12,1.95,280.0,125.0,24.0,10.0,1,0.248,1445,162.318,231.184,3.2241,2.258,0.8311,0.0035,0.1654,0.21,12.5,-10.439,12.512,-8.126,10.327,13.17,19.82,131.22,131.32,-0.9515,-0.3718,-0.0564,-0.8885,-0.4695
c2,0.0,1.2,0.5,13,1.97,290.0,105.0,28.0,10.0,1,0.2497,1445,126.383,172.362,3.2466,1.746,0.8595,0.0042,0.1363,0.33,13.028,-13.443,15.572,-0.547,6.01,12.34,26.76,125.83,125.92,-0.9469,-0.4248,-0.0504,-0.9311,-0.7583
c2,0.0,1.2,0.5,14,1.96,0.0,125.0,20.0,30.0,1,0.1785,1445,162.667,227.652,2.3202,3.145,0.7502,0.0007,0.2491,1.263,18.419,-9.628,11.573,37.232,45.612,13.17,32.18,117.88,117.92,-0.8365,-0.0335,-0.12,-0.7827,-0.2399
c2,0.0,1.2,0.5,15,1.86,290.0,115.0,28.0,10.0,1,0.2072,1445,128.639,176.366,2.6939,2.142,0.8927,0.0042,0.1031,0.261,13.299,-13.963,16.055,-8.228,10.737,12.59,28.29,127.0,127.12,-0.9491,-0.4051,-0.0443,-0.9131,-0.7837
c2,0.0,1.2,0.5,16,1.96,290.0,105.0,28.0,10.0,1,0.2663,1445,125.278,171.198,3.4623,1.623,0.8415,0.0035,0.155,0.613,13.503,-12.549,15.275,-3.598,9.885,12.95,25.68,125.95,126.05,-0.9447,-0.1916,-0.0904,-0.8507,-0.3572
c2,0.0,1.2,0.5,17,1.94,290.0,105.0,28.0,10.0,1,0.2669,1445,122.358,166.929,3.4693,1.582,0.8498,0.0062,0.1439,0.468,13.495,-12.343,15.286,0.272,15.778,12.97,25.31,126.05,126.15,-0.9445,-0.1254,-0.0997,-0.8325,-0.227
c2,0.0,1.2,0.5,18,1.94,40.0,115.0,24.0,30.0,1,0.2894,1445,157.922,222.124,3.7622,1.883,0.737,0.0062,0.2567,2.602,20.059,-12.036,14.536,15.22,17.109,14.0,36.81,113.31,113.33,-0.8155,0.3658,-0.5505,-0.7699,-0.7369
c2,0.0,1.2,0.5,19,1.97,310.0,95.0,28.0,10.0,1,0.0786,1445,110.093,145.9,1.0218,4.833,0.8464,0.0048,0.1488,0.209,13.078,-11.204,14.042,75.161,82.678,12.59,22.49,125.17,125.24,-0.9493,-0.2075,-0.0162,-0.7993,-0.1171
c2,0.0,1.2,0.5,20,1.94,280.0,125.0,24.0,10.0,1,0.2429,1445,159.391,227.402,3.1581,2.264,0.8332,0.0048,0.1619,0.114,12.594,-10.499,12.505,-9.422,12.616,13.25,19.34,131.28,131.38,-0.9522,-0.4396,-0.0743,-0.9126,-0.3798
c2,0.0,1.2,0.7,1,1.94,260.0,105.0,28.0,10.0,1,0.1356,1445,96.306,137.222,1.7632,2.45,0.9723,0.0187,0.009,0.217,7.039,-5.013,10.227,15.563,30.229,7.45,12.55,129.04,129.09,-0.9656,-0.1235,0.0722,-0.5002,-0.1583
c2,0.0,1.2,0.7,2,1.7,270.0,85.0,28.0,10.0,1,0.1117,1445,65.668,81.122,1.4525,2.028,0.9848,0.0152,0.0,0.103,12.239,-9.372,12.124,-41.108,41.779,11.41,17.13,124.89,124.94,-0.9681,-0.4791,0.0159,-0.8742,-0.6267
c2,0.0,1.2,0.7,3,1.73,280.0,105.0,28.0,10.0,1,0.1437,1445,90.735,117.644,1.8677,2.179,0.9903,0.009,0.0007,0.767,12.302,-12.127,14.264,-10.042,14.127,11.54,23.15,126.65,126.73,-0.9667,-0.6564,-0.0005,-0.9077,-0.5631
c2,0.0,1.2,0.7,4,1.55,300.0,85.0,28.0,10.0,1,0.0432,1445,61.979,73.476,0.562,4.948,0.9875,0.0035,0.009,0.593,14.843,-9.719,12.604,-63.89,64.717,13.45,17.76,124.24,124.3,-0.9712,-0.3902,-0.007,-0.8245,-0.4052
c2,0.0,1.2,0.7,5,1.89,240.0,125.0,16.0,20.0,1,0.1061,1445,130.768,193.979,1.3796,4.252,0.9779,0.0208,0.0014,-0.403,9.945,-6.38,9.769,37.902,40.089,9.59,20.57,128.43,128.49,-0.9443,-0.1266,0.0368,-0.33,-0.0471
c2,0.0,1.2,0.7,6,1.87,240.0,125.0,16.0,20.0,1,0.067,1445,130.345,191.211,0.8704,6.717,0.9813,0.0125,0.0062,0.166,11.03,-6.246,10.383,-48.792,69.559,10.63,21.57,128.1,128.18,-0.9411,0.0777,-0.1768,-0.4819,-0.032
c2,0.0,1.2,0.7,7,1.69,280.0,85.0,28.0,10.0,1,0.0417,1445,68.469,88.496,0.5415,5.672,0.928,0.0554,0.0166,-0.097,12.986,-6.383,15.001,-72.266,75.848,12.11,25.06,123.35,123.45,-0.9512,-0.0022,-0.1076,-0.4764,-0.1537
c2,0.0,1.2,0.7,8,1.75,280.0,105.0,28.0,10.0,1,0.1241,1445,92.498,121.178,1.613,2.572,0.9806,0.0131,0.0062,0.405,12.045,-11.328,13.901,-26.867,27.948,11.37,22.48,126.81,126.9,-0.965,-0.3329,-0.0024,-0.858,-0.7482
c2,0.0,1.2,0.7,9,1.6,290.0,95.0,28.0,10.0,1,0.1371,1445,71.058,86.968,1.7825,1.788,0.991,0.0035,0.0055,0.378,13.869,-10.882,13.433,-7.071,10.189,12.64,20.94,125.3,125.38,-0.9697,-0.4232,0.0187,-0.8567,-0.6968
c2,0.0,1.2,0.7,10,1.61,290.0,85.0,28.0,10.0,1,0.1273,1445,63.408,75.81,1.6543,1.719,0.991,0.0076,0.0014,0.327,13.629,-9.656,12.479,-15.564,16.781,12.48,17.91,124.49,124.55,-0.9703,-0.4256,0.0265,-0.8237,-0.7448
c2,0.0,1.2,0.7,11,1.77,280.0,105.0,28.0,10.0,1,0.121,1445,94.501,124.119,1.573,2.695,0.9841,0.0159,0.0,0.512,11.855,-12.04,14.418,-28.626,30.027,11.15,23.98,126.57,126.66,-0.9646,-0.3442,-0.0049,-0.8651,-0.6317
c2,0.0,1.2,0.7,12,1.78,280.0,105.0,28.0,10.0,1,0.1388,1445,94.336,124.091,1.8044,2.345,0.9889,0.0104,0.0007,0.543,11.672,-11.808,13.973,7.136,22.439,11.05,22.78,126.87,126.96,-0.9666,-0.6667,0.0128,-0.8941,-0.2611
c2,0.0,1.2,0.7,13,1.94,260.0,105.0,20.0,10.0,1,0.1294,1445,96.728,134.742,1.6823,2.579,0.9758,0.0242,0.0,0.055,8.279,-6.064,7.987,24.226,25.368,9.0,7.34,130.72,130.77,-0.9683,-0.7179,-0.0388,-0.9741,-0.6514
c2,0.0,1.2,0.7,14,1.98,270.0,85.0,20.0,20.0,1,0.1323,1445,82.35,110.294,1.72,2.148,0.9765,0.0235,0.0,0.071,10.488,-8.409,10.107,17.456,27.211,8.83,22.16,121.26,121.3,-0.9249,-0.351,-0.0229,-0.9145,-0.2038
c2,0.0,1.2,0.7,15,1.79,280.0,105.0,28.0,10.0,0,nan,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
c2,0.0,1.2,0.7,16,1.7,280.0,115.0,24.0,10.0,1,0.1049,1445,98.121,129.095,1.3643,3.226,0.9841,0.0159,0.0,0.111,12.406,-9.431,11.544,-35.676,41.158,12.47,16.96,129.95,130.05,-0.969,-0.4075,-0.0278,-0.9363,-0.2226
c2,0.0,1.2,0.7,17,1.72,280.0,115.0,24.0,10.0,1,0.1162,1445,101.216,133.497,1.5109,3.005,0.991,0.009,0.0,0.42,12.331,-9.721,11.852,-26.131,31.121,12.41,17.55,129.83,129.92,-0.9681,-0.3771,-0.0305,-0.9109,-0.2901
c2,0.0,1.2,0.7,18,1.64,310.0,85.0,20.0,20.0,1,0.1076,1445,64.125,80.411,1.3985,2.057,0.8962,0.101,0.0028,-0.111,13.9,-7.338,9.493,-25.476,40.667,11.28,20.1,121.07,121.11,-0.9361,-0.2609,-0.0098,-0.8236,-0.1547
c2,0.0,1.2,0.7,19,1.88,240.0,125.0,16.0,20.0,1,0.1426,1445,135.267,198.519,1.8534,3.274,0.9917,0.0055,0.0028,-0.547,11.206,-6.171,8.288,18.361,22.882,11.08,16.45,128.83,128.89,-0.9402,-0.0879,-0.1065,-0.6283,-0.1241
c2,0.0,1.2,0.7,20,1.89,270.0,105.0,20.0,10.0,1,0.1233,1445,96.981,131.383,1.603,2.714,0.9785,0.0215,0.0,0.154,9.898,-6.691,8.557,-13.465,20.875,10.59,8.73,130.38,130.44,-0.9667,-0.5956,-0.0484,-0.9697,-0.2991
c3,0.0,1.31,0.1,1,1.9,280.0,105.0,28.0,10.0,1,0.1611,1445,87.673,126.996,2.0942,1.878,0.326,0.6692,0.0048,-0.521,9.988,-3.542,8.759,6.798,11.152,11.16,12.29,147.31,147.36,-0.9125,-0.759,-0.1595,-0.4224,-0.0291
c3,0.0,1.31,0.1,2,1.88,280.0,105.0,28.0,10.0,1,0.1611,1445,85.273,122.804,2.0941,1.827,0.3135,0.6824,0.0042,-0.271,9.914,-3.489,8.757,7.293,11.458,11.08,11.95,147.35,147.4,-0.9144,-0.7507,-0.1532,-0.417,-0.0172
c3,0.0,1.31,0.1,3,1.82,280.0,105.0,28.0,10.0,1,0.1513,1445,79.412,112.768,1.9671,1.811,0.3031,0.6886,0.0083,-0.252,9.901,-3.147,8.887,8.023,12.819,10.96,11.85,147.34,147.39,-0.9172,-0.6025,-0.1475,-0.4105,-0.0234
c3,0.0,1.31,0.1,4,1.98,280.0,105.0,28.0,10.0,1,0.1622,1445,98.174,145.615,2.1085,2.089,0.3599,0.6367,0.0035,-0.49,10.138,-3.754,8.658,4.869,10.217,11.42,13.01,147.22,147.26,-0.9073,-0.7731,-0.1363,-0.437,-0.0501
c3,0.0,1.31,0.1,5,1.97,280.0,105.0,28.0,10.0,1,0.162,1445,96.786,143.122,2.1059,2.062,0.3612,0.636,0.0028,-0.57,10.131,-3.668,8.643,5.228,10.388,11.43,12.98,147.27,147.32,-0.9088,-0.7691,-0.1333,-0.4311,-0.0437
c3,0.0,1.31,0.1,6,1.96,280.0,105.0,28.0,10.0,1,0.1621,1445,95.112,140.576,2.1079,2.024,0.346,0.6491,0.0048,-0.671,10.098,-3.604,8.66,5.272,10.407,11.39,12.86,147.28,147.33,-0.9087,-0.7609,-0.1439,-0.4254,-0.0413
c3,0.0,1.31,0.1,7,1.76,290.0,115.0,28.0,10.0,1,0.1529,1445,88.707,128.287,1.9872,2.002,0.3128,0.6761,0.0111,-0.432,11.641,-3.572,8.987,6.329,11.509,13.12,12.91,148.53,148.58,-0.9241,-0.662,-0.1265,-0.4482,-0.0057
c3,0.0,1.31,0.1,8,1.75,290.0,115.0,28.0,10.0,1,0.1526,1445,87.739,126.955,1.9841,1.984,0.3287,0.6678,0.0035,-0.546,11.656,-3.64,9.064,6.309,11.988,13.1,13.24,148.46,148.51,-0.9231,-0.6181,-0.1309,-0.4475,-0.0256
c3,0.0,1.31,0.1,9,1.84,290.0,115.0,28.0,10.0,1,0.1475,1445,101.18,150.008,1.9171,2.368,0.3896,0.5986,0.0118,-0.457,11.987,-4.19,9.185,4.678,11.756,13.6,14.45,148.3,148.35,-0.9178,-0.5514,-0.1296,-0.4554,-0.0413
c3,0.0,1.31,0.1,10,1.8,280.0,105.0,28.0,10.0,1,0.1499,1445,77.425,109.33,1.9492,1.782,0.2976,0.6976,0.0048,-0.483,9.892,-3.025,8.881,8.395,13.192,10.95,11.77,147.37,147.42,-0.9186,-0.6059,-0.1534,-0.4032,-0.0223
c3,0.0,1.31,0.1,11,1.81,290.0,105.0,28.0,10.0,1,0.1478,1445,82.535,118.118,1.9219,1.926,0.382,0.6104,0.0076,-0.494,11.107,-4.114,9.142,5.747,11.115,12.19,14.32,146.93,146.97,-0.9127,-0.6572,-0.1233,-0.5363,-0.1309
c3,0.0,1.31,0.1,12,1.72,290.0,115.0,28.0,10.0,1,0.1497,1445,84.753,120.714,1.9465,1.953,0.3107,0.6824,0.0069,-0.169,11.608,-3.693,9.132,6.706,12.046,12.97,12.78,148.48,148.53,-0.9262,-0.6201,-0.1434,-0.4607,-0.0313
c3,0.0,1.31,0.1,13,1.84,280.0,95.0,28.0,10.0,1,0.1461,1445,70.569,98.708,1.8998,1.666,0.3439,0.6436,0.0125,-0.373,9.199,-3.376,8.831,7.564,12.043,9.99,12.03,146.03,146.07,-0.9095,-0.6908,-0.1598,-0.4949,-0.1538
c3,0.0,1.31,0.1,14,1.86,290.0,115.0,28.0,10.0,1,0.1459,1445,103.675,154.944,1.8962,2.453,0.382,0.6035,0.0145,-0.441,12.043,-4.275,9.169,4.705,11.69,13.7,14.73,148.28,148.33,-0.9161,-0.5544,-0.1154,-0.4616,-0.0316
c3,0.0,1.31,0.1,15,1.94,280.0,115.0,28.0,10.0,1,0.1408,1445,108.712,164.562,1.8307,2.664,0.3301,0.6561,0.0138,-0.527,10.718,-3.21,8.504,6.763,10.922,12.47,11.41,148.88,148.93,-0.9199,-0.8186,-0.1442,-0.3125,0.0817
c3,0.0,1.31,0.1,16,1.71,290.0,115.0,28.0,10.0,1,0.1497,1445,83.697,118.876,1.9467,1.929,0.3066,0.6837,0.0097,-0.188,11.661,-3.655,9.101,6.874,12.107,13.03,12.89,148.5,148.55,-0.9272,-0.6375,-0.1287,-0.4559,-0.0199
