config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.1,20,1.78,260.0,125.0,20.0,50.0,1,0.1665,1445,109.993,169.425,2.1651,2.279,0.2069,0.7806,0.0125,-0.157,9.954,-2.09,6.795,16.12,17.056,4.7,9.18,91.25,91.33,-0.7419,-0.0033,-0.166,0.1306,-0.653
c1,0.0,1.05,0.3,1,1.96,280.0,115.0,28.0,30.0,1,0.2402,1445,119.66,173.81,3.1231,1.719,0.5176,0.382,0.1003,0.333,11.093,-4.857,10.789,8.288,13.963,9.51,8.27,97.92,98.0,-0.935,-0.3367,-0.2314,-0.4156,-0.2094
c1,0.0,1.05,0.3,2,1.92,280.0,115.0,28.0,20.0,1,0.234,1445,110.933,158.284,3.0422,1.636,0.5426,0.373,0.0844,0.169,10.803,-3.691,9.683,6.169,13.354,11.14,2.83,102.38,102.45,-0.9672,-0.4783,-0.2109,-0.4219,-0.0519
c1,0.0,1.05,0.3,3,1.98,280.0,115.0,28.0,30.0,1,0.2226,1445,121.364,176.43,2.8938,1.881,0.5121,0.4055,0.0824,0.29,11.068,-4.779,10.225,6.764,13.025,9.49,7.67,97.94,98.02,-0.9349,-0.4574,-0.2102,-0.432,-0.1981
c1,0.0,1.05,0.3,4,1.98,280.0,115.0,28.0,20.0,1,0.2416,1445,120.386,173.791,3.1412,1.719,0.5516,0.3529,0.0955,0.412,10.822,-3.804,9.918,6.406,12.841,11.15,3.07,102.34,102.41,-0.9657,-0.3803,-0.215,-0.4293,-0.0322
c1,0.0,1.05,0.3,5,1.87,280.0,115.0,28.0,20.0,1,0.2258,1445,104.363,146.944,2.9359,1.595,0.5294,0.3834,0.0872,0.271,10.847,-3.666,9.565,4.759,13.209,11.15,2.59,102.37,102.44,-0.9684,-0.5188,-0.2053,-0.434,-0.088
c1,0.0,1.05,0.3,6,1.9,280.0,115.0,28.0,20.0,1,0.2283,1445,108.387,153.599,2.9685,1.638,0.5343,0.3903,0.0754,0.027,10.828,-3.734,9.597,4.678,12.861,11.13,2.68,102.35,102.42,-0.9675,-0.5341,-0.2166,-0.4297,-0.0773
c1,0.0,1.05,0.3,7,1.94,270.0,125.0,28.0,30.0,1,0.2442,1445,138.9,208.316,3.174,1.963,0.5543,0.3585,0.0872,-0.119,10.851,-4.671,9.88,5.081,11.94,9.76,7.32,99.66,99.75,-0.9461,-0.5504,-0.194,-0.2244,0.0692
c1,0.0,1.05,0.3,8,1.95,270.0,125.0,28.0,30.0,1,0.2416,1445,141.419,211.617,3.1403,2.02,0.5481,0.3668,0.0851,-0.244,10.872,-4.521,9.765,5.974,12.288,9.78,7.21,99.67,99.76,-0.9465,-0.5487,-0.1907,-0.2259,0.0738
c1,0.0,1.05,0.3,9,1.97,270.0,125.0,28.0,30.0,1,0.2428,1445,145.096,217.9,3.1562,2.062,0.5689,0.3446,0.0865,-0.126,10.861,-4.425,9.668,6.243,12.231,9.78,7.2,99.67,99.75,-0.9458,-0.5501,-0.1744,-0.2265,0.0752
c1,0.0,1.05,0.3,10,1.98,270.0,125.0,28.0,30.0,1,0.2408,1445,146.708,220.81,3.1304,2.102,0.5716,0.337,0.0913,-0.044,10.856,-4.519,9.671,5.769,11.98,9.75,7.23,99.61,99.7,-0.9447,-0.563,-0.1756,-0.2319,0.0641
c1,0.0,1.05,0.3,11,1.92,270.0,125.0,28.0,30.0,1,0.2431,1445,135.917,202.643,3.1601,1.929,0.555,0.3737,0.0713,-0.043,10.861,-4.562,9.874,5.381,12.227,9.74,7.24,99.64,99.72,-0.9467,-0.5393,-0.1867,-0.2324,0.0622
c1,0.0,1.05,0.3,12,1.81,340.0,125.0,28.0,30.0,1,0.2177,1445,141.811,211.686,2.8296,2.248,0.6291,0.2512,0.1197,-0.111,16.906,-7.47,11.961,49.777,53.95,13.93,12.95,97.79,97.81,-0.9442,-0.1846,-0.2654,-0.7897,-0.5679
