steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1748,142.3112,0.9102,14.4633,-0.5911,0.1200,91.1912,0.0068,0.0080,-0.0803,0.6359,10.4938,0.1029,0.2814,0.0467,-0.1793,-0.0095,0.0000,0.0000,-0.0129,-0.2317,-0.1346,-0.0429,0.3470,0.3406,0.3508,0.3483,0.3542
500000,681,366.2482,0.4376,27.9463,0.3647,0.2700,77.0263,0.0101,0.0118,-0.0826,0.6221,8.6248,0.3961,0.3597,0.0976,-0.0894,-0.0091,0.0000,0.0000,-0.0122,-0.2146,-0.0442,0.0529,0.3355,0.3269,0.3447,0.3367,0.3415
750000,1128,221.8830,0.8502,33.2466,4.5409,0.3200,117.5417,0.0124,0.0141,-0.0693,0.6008,9.8421,0.4998,0.2565,0.1605,-0.0905,-0.0091,0.0000,0.0000,-0.0112,-0.2051,-0.0842,0.1153,0.3314,0.3244,0.3357,0.3311,0.3354
1000000,865,288.4254,0.7110,28.2177,2.9153,0.3200,96.6797,0.0153,0.0175,-0.0677,0.6125,11.9310,0.2265,0.2561,0.1594,-0.1031,-0.0092,0.0000,0.0000,-0.0109,-0.2064,-0.0623,0.1078,0.3207,0.3175,0.3296,0.3254,0.3290
1250000,773,323.5990,0.6197,28.2538,3.1660,0.3200,93.8264,0.0184,0.0206,-0.0635,0.6164,13.1169,0.0410,0.2366,0.1516,-0.1369,-0.0094,0.0000,0.0000,-0.0109,-0.2096,-0.0494,0.0832,0.3134,0.3135,0.3217,0.3183,0.3252
1500000,723,345.3126,0.5450,27.8322,2.1191,0.3200,89.5767,0.0167,0.0183,-0.0473,0.6234,11.7677,0.1178,0.2131,0.1274,-0.1367,-0.0089,0.0000,0.0000,-0.0103,-0.1960,-0.0475,0.0591,0.3063,0.3038,0.3198,0.3130,0.3167
1750000,732,343.0260,0.5519,31.8942,-7.5110,0.3200,98.3747,0.0173,0.0183,-0.0428,0.6234,12.6108,0.0615,0.2224,0.1338,-0.1327,-0.0085,0.0000,0.0000,-0.0100,-0.1901,-0.0500,0.0675,0.2972,0.2980,0.3104,0.3015,0.3105
2000000,722,344.4488,0.5637,31.6795,-4.7632,0.3200,100.1169,0.0175,0.0198,-0.0652,0.6207,13.3924,-0.0209,0.2606,0.1614,-0.1190,-0.0085,0.0000,0.0000,-0.0097,-0.1883,-0.0498,0.1020,0.2931,0.2919,0.3032,0.2938,0.3046
2250000,689,364.3106,0.4615,31.7147,-3.3402,0.3700,95.5744,0.0186,0.0228,-0.1042,0.6157,13.4052,-0.0671,0.2570,0.1691,-0.1396,-0.0083,0.0000,0.0000,-0.0094,-0.1863,-0.0442,0.0993,0.2861,0.2881,0.2998,0.2931,0.3044
2500000,692,360.4191,0.4971,31.4705,-11.5589,0.4200,96.2049,0.0229,0.0249,-0.0532,0.6247,15.0835,-0.2174,0.2084,0.1918,-0.1129,-0.0083,0.0000,0.0000,-0.0094,-0.1927,-0.0486,0.1353,0.2844,0.2870,0.2943,0.2914,0.2983
2750000,697,359.2626,0.5050,31.6789,-13.4305,0.4200,102.5431,0.0289,0.0307,-0.0386,0.6094,16.1468,-0.2657,0.2309,0.2225,-0.1205,-0.0085,0.0000,0.0000,-0.0093,-0.1989,-0.0430,0.1622,0.2773,0.2814,0.2930,0.2888,0.2943
3000000,684,365.2632,0.4868,34.7450,-11.8312,0.4200,103.0047,0.0282,0.0304,-0.0504,0.6174,15.9113,-0.1887,0.2459,0.2367,-0.1099,-0.0086,0.0000,0.0000,-0.0091,-0.2000,-0.0414,0.1817,0.2731,0.2779,0.2922,0.2881,0.2950
