freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.56,280.0,115,28,20,0.3,0.377,0.8
1.6,260.0,115,28,20,0.3,0.3738,0.8
1.53,280.0,115,28,20,0.3,0.3736,0.933
1.89,240.0,125,28,20,0.3,0.3735,0.8
1.41,280.0,115,28,10,0.3,0.3723,0.933
1.54,280.0,115,28,20,0.3,0.3718,0.933
1.57,290.0,105,28,20,0.3,0.3711,0.8
1.41,290.0,115,28,10,0.3,0.37,0.933
1.47,310.0,105,28,20,0.3,0.3683,0.8
1.39,270.0,125,28,10,0.3,0.3679,1.0
1.61,250.0,125,28,20,0.3,0.3679,0.8
1.5,260.0,125,28,20,0.3,0.3677,1.0
1.6,280.0,105,28,20,0.3,0.3673,0.8
1.42,270.0,125,28,10,0.3,0.3665,1.0
1.44,270.0,125,28,20,0.3,0.3664,0.8
1.64,270.0,105,28,20,0.3,0.3661,0.8
1.51,260.0,125,28,20,0.3,0.3656,0.933
1.47,280.0,115,28,20,0.3,0.3653,0.8
1.67,250.0,125,28,20,0.3,0.3653,0.8
1.47,300.0,105,28,20,0.3,0.3651,0.8
1.49,270.0,115,28,20,0.3,0.3651,0.867
1.55,280.0,115,28,20,0.3,0.3651,0.867
1.59,290.0,95,28,20,0.3,0.365,0.867
1.71,280.0,115,28,20,0.3,0.3647,0.933
1.5,280.0,115,28,20,0.3,0.3646,0.933
1.76,270.0,105,28,20,0.3,0.3646,0.867
1.49,300.0,105,28,20,0.3,0.3643,0.867
1.53,260.0,115,28,20,0.3,0.3643,0.867
1.49,260.0,125,28,20,0.3,0.3642,0.867
1.51,270.0,115,28,20,0.3,0.364,1.0
1.61,250.0,115,28,20,0.3,0.3639,0.933
1.65,290.0,105,28,20,0.3,0.3638,0.8
1.6,270.0,105,28,20,0.3,0.3636,0.8
1.96,270.0,105,28,20,0.3,0.3635,0.867
1.52,260.0,115,28,20,0.3,0.3628,0.867
1.51,320.0,95,28,20,0.3,0.3627,0.867
1.56,270.0,105,28,20,0.3,0.3627,0.867
1.58,290.0,105,28,20,0.3,0.3627,0.8
1.63,280.0,95,28,20,0.3,0.3624,0.8
1.52,260.0,125,28,20,0.3,0.3621,0.8
1.58,280.0,105,28,20,0.3,0.3621,0.933
1.48,260.0,125,28,20,0.3,0.3619,0.867
1.39,300.0,115,28,20,0.3,0.3618,0.8
1.56,250.0,125,28,20,0.3,0.3615,0.8
1.58,270.0,105,28,20,0.3,0.3614,0.933
1.38,280.0,125,28,10,0.3,0.3613,1.0
1.62,280.0,95,28,20,0.3,0.3608,0.8
1.68,260.0,105,28,20,0.3,0.3608,1.0
1.61,290.0,95,28,20,0.3,0.3605,0.867
1.47,260.0,125,28,20,0.3,0.3601,0.867
