freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.94,340.0,105.0,28.0,40.0,0.1,0.8,0.8,0.3339,0.0,0.5401,0.9904
1.94,320.0,105.0,28.0,40.0,0.1,0.8,0.8,0.3222,0.0,0.5567,0.9778
1.92,310.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2765,0.1105,0.6177,0.9662
1.97,290.0,95.0,28.0,10.0,0.1,1.0,1.0,0.5313,0.4932,0.3871,0.9685
1.95,290.0,95.0,28.0,10.0,0.1,1.0,1.0,0.5216,0.4929,0.3842,0.9762
1.94,290.0,95.0,28.0,10.0,0.1,1.0,1.0,0.5038,0.478,0.392,0.9796
1.86,320.0,105.0,24.0,30.0,0.1,1.0,1.0,0.3821,0.2807,0.6114,0.9888
1.93,290.0,95.0,28.0,20.0,0.1,1.0,1.0,0.4001,0.3421,0.4851,0.9436
1.89,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.4044,0.2803,0.6298,0.9898
1.8,320.0,105.0,24.0,30.0,0.1,1.0,1.0,0.3535,0.2674,0.5969,0.9792
1.95,350.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4128,0.3658,0.6204,0.9957
1.9,320.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3269,0.2741,0.6641,0.9887
1.85,310.0,95.0,24.0,30.0,0.1,1.0,1.0,0.369,0.276,0.6007,0.9846
1.89,270.0,95.0,28.0,20.0,0.1,1.0,1.0,0.4392,0.287,0.5096,0.928
1.9,260.0,105.0,28.0,20.0,0.1,1.0,1.0,0.2836,0.174,0.7495,0.8618
1.9,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.4564,0.4382,0.5389,0.9972
1.92,340.0,105.0,28.0,40.0,0.1,0.8,0.8,0.3507,0.0,0.4948,0.9963
1.92,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.4334,0.3003,0.5405,0.9922
1.93,320.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3472,0.2898,0.6438,0.9816
1.9,320.0,95.0,24.0,30.0,0.1,1.0,1.0,0.3542,0.2797,0.565,0.9907
1.94,350.0,95.0,28.0,30.0,0.1,1.0,1.0,0.429,0.3153,0.6034,0.9895
1.91,350.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4336,0.4161,0.5903,0.9917
1.97,330.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3362,0.2768,0.676,0.9914
1.92,290.0,95.0,28.0,10.0,0.1,1.0,1.0,0.4783,0.4578,0.3995,0.9833
1.98,350.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4022,0.3024,0.6451,0.9945
1.98,0.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4036,0.2959,0.6436,0.9777
1.95,330.0,105.0,28.0,30.0,0.1,0.8,0.8,0.3493,0.3113,0.6779,0.9887
1.91,340.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4293,0.4087,0.5095,0.9995
1.94,320.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3494,0.3027,0.6127,0.9961
1.86,340.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4206,0.4055,0.5316,0.999
1.98,290.0,95.0,28.0,10.0,0.1,1.0,1.0,0.4666,0.2606,0.414,0.9624
1.83,260.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3929,0.1904,0.6553,0.8827
1.84,320.0,105.0,24.0,30.0,0.1,1.0,1.0,0.379,0.3289,0.6082,0.9897
1.9,350.0,95.0,28.0,30.0,0.1,1.0,1.0,0.397,0.292,0.6361,0.9834
1.82,260.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3698,0.1737,0.7091,0.8914
1.96,0.0,95.0,28.0,30.0,0.1,1.0,1.0,0.4334,0.3825,0.6288,0.9812
