freq,hip_phi,leg_amp,hip_amp,hip_off,mu
1.94,320.0,105,28,40,0.1
1.97,290.0,95,28,10,0.1
1.95,290.0,95,28,10,0.1
1.86,320.0,105,24,30,0.1
1.94,340.0,105,28,40,0.1
1.92,310.0,105,28,30,0.1
1.93,290.0,95,28,20,0.1
1.94,290.0,95,28,10,0.1
1.8,320.0,105,24,30,0.1
1.89,270.0,95,28,20,0.1
1.85,310.0,95,24,30,0.1
1.9,350.0,105,28,30,0.1
1.89,350.0,105,28,30,0.1
1.95,350.0,95,28,30,0.1
1.9,260.0,105,28,20,0.1
1.9,320.0,105,28,30,0.1
1.92,340.0,105,28,40,0.1
1.94,350.0,95,28,30,0.1
1.91,350.0,95,28,30,0.1
1.92,290.0,95,28,10,0.1
1.92,350.0,105,28,30,0.1
1.93,320.0,105,28,30,0.1
1.97,330.0,105,28,30,0.1
1.9,320.0,95,24,30,0.1
1.98,350.0,95,28,30,0.1
1.94,320.0,105,28,30,0.1
1.98,290.0,95,28,10,0.1
1.83,260.0,105,28,20,0.1
1.98,0.0,95,28,30,0.1
1.91,340.0,95,28,30,0.1
1.95,330.0,105,28,30,0.1
1.86,340.0,95,28,30,0.1
1.84,320.0,105,24,30,0.1
1.94,300.0,95,24,20,0.1
1.85,270.0,95,28,20,0.1
1.88,270.0,95,28,20,0.1
1.9,350.0,95,28,30,0.1
1.96,0.0,95,28,30,0.1
1.82,260.0,105,28,20,0.1
1.85,280.0,95,28,20,0.1
1.91,290.0,95,28,10,0.1
1.85,340.0,95,28,30,0.1
1.88,320.0,105,24,40,0.1
1.9,290.0,95,28,10,0.1
1.92,340.0,95,28,30,0.1
1.84,270.0,95,28,20,0.1
1.97,340.0,85,28,30,0.1
1.98,340.0,85,28,30,0.1
1.98,320.0,85,28,20,0.1
1.79,280.0,95,28,20,0.1
1.99,320.0,95.0,28.0,40.0,0.1
1.99,330.0,105.0,28.0,40.0,0.1
2.0,330.0,95.0,28.0,40.0,0.1
1.99,330.0,95.0,28.0,40.0,0.1
1.99,350.0,105.0,28.0,40.0,0.1
1.96,290.0,95.0,28.0,10.0,0.1
1.99,340.0,95.0,28.0,40.0,0.1
1.99,330.0,85.0,28.0,40.0,0.1
1.94,320.0,105.0,28.0,40.0,0.1
2.0,320.0,95.0,24.0,40.0,0.1
1.97,340.0,105.0,28.0,40.0,0.1
1.97,330.0,105.0,28.0,40.0,0.1
1.97,290.0,95.0,28.0,10.0,0.1
1.95,290.0,95.0,28.0,10.0,0.1
1.92,340.0,105.0,24.0,40.0,0.1
1.86,320.0,105.0,24.0,30.0,0.1
1.94,340.0,105.0,28.0,40.0,0.1
1.95,340.0,105.0,24.0,40.0,0.1
1.92,310.0,105.0,28.0,30.0,0.1
1.95,320.0,95.0,24.0,40.0,0.1
1.87,280.0,115.0,28.0,30.0,0.3
1.85,280.0,125.0,28.0,20.0,0.3
1.99,280.0,125.0,28.0,20.0,0.3
1.87,280.0,125.0,28.0,20.0,0.3
1.96,280.0,125.0,28.0,20.0,0.3
2.0,280.0,125.0,28.0,20.0,0.3
1.9,280.0,125.0,28.0,20.0,0.3
1.98,290.0,115.0,28.0,30.0,0.3
2.0,280.0,115.0,28.0,30.0,0.3
1.97,260.0,125.0,28.0,20.0,0.3
1.93,280.0,125.0,28.0,20.0,0.3
1.94,260.0,125.0,28.0,20.0,0.3
1.89,270.0,115.0,28.0,30.0,0.3
1.91,280.0,125.0,28.0,20.0,0.3
1.5,310.0,115.0,28.0,20.0,0.3
1.44,310.0,125.0,28.0,20.0,0.3
2.0,260.0,125.0,28.0,20.0,0.3
1.42,300.0,125.0,28.0,20.0,0.3
1.57,320.0,105.0,28.0,20.0,0.3
2.0,240.0,125.0,28.0,20.0,0.3
1.99,240.0,125.0,28.0,20.0,0.5
1.9,240.0,125.0,28.0,30.0,0.5
1.97,240.0,125.0,28.0,20.0,0.5
1.88,240.0,125.0,28.0,20.0,0.5
1.98,240.0,125.0,28.0,20.0,0.5
1.98,240.0,125.0,24.0,30.0,0.5
1.94,250.0,125.0,28.0,20.0,0.5
1.89,230.0,125.0,28.0,30.0,0.5
2.0,250.0,125.0,24.0,20.0,0.5
2.0,240.0,125.0,28.0,20.0,0.5
1.93,250.0,125.0,28.0,10.0,0.5
1.96,240.0,115.0,28.0,20.0,0.5
1.99,250.0,125.0,28.0,20.0,0.5
1.89,240.0,115.0,28.0,30.0,0.5
1.98,240.0,125.0,28.0,10.0,0.5
1.99,240.0,115.0,28.0,30.0,0.5
1.88,240.0,125.0,28.0,10.0,0.5
1.96,260.0,125.0,24.0,20.0,0.5
1.98,230.0,115.0,28.0,20.0,0.5
2.0,240.0,115.0,28.0,20.0,0.5
1.88,240.0,125.0,28.0,20.0,0.7
1.91,230.0,125.0,28.0,30.0,0.7
1.97,230.0,125.0,28.0,30.0,0.7
1.92,240.0,125.0,28.0,20.0,0.7
1.98,250.0,125.0,24.0,20.0,0.7
1.77,230.0,125.0,24.0,30.0,0.7
1.87,230.0,125.0,28.0,30.0,0.7
1.85,230.0,125.0,28.0,30.0,0.7
1.91,240.0,125.0,28.0,20.0,0.7
2.0,260.0,125.0,28.0,10.0,0.7
1.95,240.0,125.0,28.0,20.0,0.7
1.98,260.0,125.0,28.0,10.0,0.7
1.96,260.0,125.0,28.0,10.0,0.7
1.9,250.0,125.0,28.0,10.0,0.7
1.95,230.0,125.0,24.0,30.0,0.7
1.97,240.0,125.0,28.0,10.0,0.7
1.7,270.0,125.0,28.0,20.0,0.7
1.87,240.0,125.0,28.0,10.0,0.7
1.88,240.0,125.0,28.0,10.0,0.7
1.77,240.0,125.0,20.0,30.0,0.7
