freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.97,250.0,125,28,10,0.5,0.2244,0.867
1.98,250.0,125,28,10,0.5,0.1892,0.8
1.93,250.0,125,24,10,0.5,0.1761,0.8
1.37,220.0,105,28,20,0.5,0.1733,0.8
1.98,250.0,125,24,10,0.5,0.1718,0.8
1.63,220.0,95,24,20,0.5,0.1674,0.8
1.63,220.0,85,24,20,0.5,0.1657,0.867
1.64,220.0,85,24,20,0.5,0.1641,0.867
1.62,220.0,85,24,20,0.5,0.1634,0.867
1.62,220.0,95,24,20,0.5,0.1617,0.867
1.59,220.0,85,24,20,0.5,0.1615,0.8
1.59,220.0,95,24,20,0.5,0.1615,0.867
1.6,220.0,85,24,20,0.5,0.1614,0.867
1.5,220.0,95,24,30,0.5,0.1602,0.8
1.49,220.0,95,24,30,0.5,0.1601,0.867
1.56,220.0,95,24,20,0.5,0.1599,0.867
1.58,220.0,85,24,20,0.5,0.1599,0.867
1.55,220.0,95,24,20,0.5,0.1598,0.933
1.54,210.0,85,24,20,0.5,0.1596,0.933
1.57,220.0,95,24,20,0.5,0.1589,0.8
1.6,220.0,95,24,20,0.5,0.1582,0.8
1.45,230.0,115,24,20,0.5,0.1566,0.8
1.52,210.0,85,24,20,0.5,0.1565,1.0
1.49,210.0,85,24,20,0.5,0.1563,0.933
1.92,250.0,125,24,10,0.5,0.1562,0.8
1.54,220.0,85,24,20,0.5,0.1558,0.8
1.55,220.0,85,24,20,0.5,0.1558,0.8
1.51,210.0,85,24,20,0.5,0.1555,1.0
1.11,210.0,85,28,10,0.5,0.1551,0.8
1.42,230.0,115,24,20,0.5,0.1551,1.0
1.45,210.0,85,24,20,0.5,0.1545,0.867
1.47,210.0,85,24,20,0.5,0.1545,0.867
1.53,220.0,95,24,20,0.5,0.1539,0.933
1.54,220.0,95,24,20,0.5,0.1536,0.867
1.48,220.0,85,24,20,0.5,0.1535,0.867
1.52,220.0,95,24,20,0.5,0.153,0.933
1.42,220.0,95,24,20,0.5,0.1529,0.933
1.47,220.0,85,24,20,0.5,0.1529,0.867
1.52,220.0,85,24,20,0.5,0.1529,0.8
1.5,220.0,85,24,20,0.5,0.1526,0.8
1.43,210.0,85,24,20,0.5,0.1524,0.933
1.44,220.0,95,24,20,0.5,0.1523,1.0
1.43,220.0,95,24,20,0.5,0.1522,1.0
1.43,230.0,115,24,20,0.5,0.1518,0.933
1.45,220.0,85,24,20,0.5,0.1516,0.867
1.12,210.0,85,28,10,0.5,0.1512,0.867
1.41,230.0,115,24,20,0.5,0.1511,0.933
1.51,220.0,85,24,20,0.5,0.1508,0.867
1.45,220.0,95,24,20,0.5,0.1507,1.0
1.46,220.0,95,24,20,0.5,0.1504,0.933
