rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.94,320.0,105.0,28.0,40.0,0.1,0.4238,0.53366,0.1948,0.3888,0.367,0.0091,0.0146,76,5.846,0.479,38.76,0.0,1,1
1,1.94,320.0,105.0,28.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.94,320.0,105.0,28.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.94,320.0,105.0,28.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.97,290.0,95.0,28.0,10.0,0.1,0.5439,0.37944,0.1776,0.481,0.467,0.0075,0.0136,69,5.308,0.503,20.286,0.0,1,1
2,1.97,290.0,95.0,28.0,10.0,0.3,0.095,0.31954,0.0103,0.895,0.924,0.0232,0.0272,30,4.64,0.387,10.621,0.01,0,0
2,1.97,290.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.97,290.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.95,290.0,95.0,28.0,10.0,0.1,0.5387,0.3823,0.1864,0.4708,0.456,0.0074,0.0138,67,5.154,0.507,20.11,0.0,1,1
3,1.95,290.0,95.0,28.0,10.0,0.3,-0.0462,0.24891,0.0006,0.9535,0.967,0.0275,0.0283,55,4.231,0.265,4.507,0.0,1,1
3,1.95,290.0,95.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.95,290.0,95.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.86,320.0,105.0,24.0,30.0,0.1,0.3602,0.55911,0.2327,0.439,0.424,0.0067,0.0078,73,5.615,0.461,29.156,0.0,1,1
4,1.86,320.0,105.0,24.0,30.0,0.3,-0.0106,0.62747,0.0025,0.9514,0.952,0.0339,0.0411,51,3.923,0.303,6.697,0.0,1,1
