freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.94,320.0,105,28,40,0.1,0.5054,0.8
1.97,290.0,95,28,10,0.1,0.4932,0.8
1.95,290.0,95,28,10,0.1,0.4929,0.8
1.86,320.0,105,24,30,0.1,0.4904,0.933
1.94,340.0,105,28,40,0.1,0.4873,0.867
1.92,310.0,105,28,30,0.1,0.4854,0.867
1.93,290.0,95,28,20,0.1,0.4829,1.0
1.94,290.0,95,28,10,0.1,0.478,0.8
1.8,320.0,105,24,30,0.1,0.474,0.933
1.89,270.0,95,28,20,0.1,0.4702,1.0
1.85,310.0,95,24,30,0.1,0.4699,1.0
1.9,350.0,105,28,30,0.1,0.4697,0.8
1.89,350.0,105,28,30,0.1,0.4661,0.8
1.95,350.0,95,28,30,0.1,0.465,1.0
1.9,260.0,105,28,20,0.1,0.4641,1.0
1.9,320.0,105,28,30,0.1,0.4637,1.0
1.92,340.0,105,28,40,0.1,0.463,0.8
1.94,350.0,95,28,30,0.1,0.4617,1.0
1.91,350.0,95,28,30,0.1,0.4585,1.0
1.92,290.0,95,28,10,0.1,0.4578,0.8
1.92,350.0,105,28,30,0.1,0.4577,0.8
1.93,320.0,105,28,30,0.1,0.4564,1.0
1.97,330.0,105,28,30,0.1,0.4555,0.867
1.9,320.0,95,24,30,0.1,0.4552,1.0
1.98,350.0,95,28,30,0.1,0.4546,1.0
1.94,320.0,105,28,30,0.1,0.454,0.933
1.98,290.0,95,28,10,0.1,0.4539,0.8
1.83,260.0,105,28,20,0.1,0.4536,1.0
1.98,0.0,95,28,30,0.1,0.4527,1.0
1.91,340.0,95,28,30,0.1,0.4522,1.0
1.95,330.0,105,28,30,0.1,0.4521,1.0
1.86,340.0,95,28,30,0.1,0.452,1.0
1.84,320.0,105,24,30,0.1,0.4502,0.933
1.94,300.0,95,24,20,0.1,0.45,1.0
1.85,270.0,95,28,20,0.1,0.4498,1.0
1.88,270.0,95,28,20,0.1,0.4489,1.0
1.9,350.0,95,28,30,0.1,0.4481,1.0
1.96,0.0,95,28,30,0.1,0.4475,1.0
1.82,260.0,105,28,20,0.1,0.4472,1.0
1.85,280.0,95,28,20,0.1,0.4464,1.0
1.91,290.0,95,28,10,0.1,0.446,0.867
1.85,340.0,95,28,30,0.1,0.4456,1.0
1.88,320.0,105,24,40,0.1,0.4453,0.8
1.9,290.0,95,28,10,0.1,0.4445,0.8
1.92,340.0,95,28,30,0.1,0.4435,1.0
1.84,270.0,95,28,20,0.1,0.4424,1.0
1.97,340.0,85,28,30,0.1,0.4416,1.0
1.98,340.0,85,28,30,0.1,0.4412,1.0
1.98,320.0,85,28,20,0.1,0.4406,1.0
1.79,280.0,95,28,20,0.1,0.4404,1.0
