steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1392,178.4310,0.8226,13.4665,1.2822,0.2200,82.7659,0.0064,0.0085,-0.1236,0.6420,9.7482,0.1345,0.2800,0.0412,-0.1734,-0.0097,0.0654,-0.1093,-0.0137,-0.0938,-0.1174,-0.0455,0.3476,0.3472,0.3722,0.3555,0.3639
500000,730,342.4630,0.5836,28.5640,6.3152,0.4200,83.7366,0.0094,0.0133,-0.1734,0.6048,8.1855,0.5232,0.1105,0.1110,-0.0847,-0.0102,0.0628,-0.1227,-0.0140,-0.0825,-0.0453,0.0687,0.3455,0.3422,0.3687,0.3442,0.3688
750000,1345,186.5204,0.9375,32.0876,12.3017,0.4200,118.2027,0.0168,0.0186,-0.0596,0.5845,11.4366,0.4327,0.2078,0.2024,-0.0860,-0.0117,0.0938,-0.1607,-0.0133,-0.1164,-0.0877,0.1594,0.3450,0.3394,0.3652,0.3362,0.3686
1000000,1057,235.3699,0.8628,31.1002,8.1387,0.4200,107.4101,0.0227,0.0216,0.0117,0.5757,11.5750,0.3625,0.1894,0.1871,-0.1155,-0.0123,0.0973,-0.1593,-0.0136,-0.1227,-0.0755,0.1293,0.3381,0.3376,0.3673,0.3333,0.3718
1250000,773,323.7387,0.6494,21.5926,5.3227,0.4200,86.5038,0.0183,0.0202,-0.0599,0.6097,11.6744,0.1362,0.1164,0.1239,-0.1291,-0.0123,0.0845,-0.1453,-0.0143,-0.1116,-0.0519,0.0594,0.3388,0.3355,0.3633,0.3326,0.3745
1500000,850,294.0365,0.7482,20.7854,6.7390,0.4200,91.6838,0.0185,0.0213,-0.0756,0.6061,12.4268,0.0456,0.1336,0.1407,-0.1127,-0.0128,0.0881,-0.1475,-0.0148,-0.1139,-0.0553,0.0844,0.3263,0.3343,0.3648,0.3245,0.3781
1750000,747,334.7711,0.6185,21.0885,5.1697,0.4200,80.1112,0.0194,0.0206,-0.0313,0.6074,11.3433,0.1097,0.1003,0.1117,-0.1433,-0.0128,0.0747,-0.1444,-0.0146,-0.1076,-0.0438,0.0400,0.3199,0.3363,0.3663,0.3175,0.3819
2000000,924,270.8290,0.7868,23.0955,-5.7939,0.4200,99.9657,0.0210,0.0196,0.0242,0.5922,12.3394,0.2156,0.1967,0.1913,-0.0690,-0.0135,0.1034,-0.1511,-0.0142,-0.1156,-0.0636,0.1568,0.3175,0.3338,0.3662,0.3133,0.3818
2250000,777,321.7992,0.6293,26.4334,1.9686,0.4200,94.6635,0.0274,0.0233,0.0724,0.5815,11.8103,0.1997,0.1741,0.1720,-0.1212,-0.0133,0.0914,-0.1568,-0.0141,-0.1122,-0.0497,0.1113,0.3152,0.3284,0.3672,0.3076,0.3797
2500000,700,355.9771,0.5243,22.4909,0.4506,0.4200,83.1810,0.0296,0.0234,0.1075,0.5827,10.9143,0.1751,0.1525,0.1543,-0.1230,-0.0135,0.0901,-0.1545,-0.0148,-0.1155,-0.0475,0.0928,0.3117,0.3276,0.3720,0.3080,0.3790
2750000,785,318.7783,0.6268,24.8300,-4.7989,0.4200,95.5033,0.0361,0.0267,0.1177,0.5612,12.1693,0.0743,0.1761,0.1748,-0.1207,-0.0143,0.0936,-0.1565,-0.0150,-0.1238,-0.0582,0.1145,0.3092,0.3212,0.3746,0.3047,0.3810
3000000,792,315.9356,0.6427,28.0307,-7.1044,0.4200,102.5099,0.0385,0.0284,0.1126,0.5486,12.3185,0.1056,0.1929,0.1908,-0.1082,-0.0145,0.0983,-0.1587,-0.0147,-0.1285,-0.0617,0.1367,0.3066,0.3182,0.3712,0.3007,0.3793
