freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.97,230.0,115,28,50,0.7,0.2536,0.8
1.94,230.0,115,28,50,0.7,0.2522,0.867
1.92,230.0,115,28,50,0.7,0.2493,0.933
1.93,230.0,115,28,50,0.7,0.2489,0.867
1.91,230.0,115,28,50,0.7,0.2476,0.933
1.95,230.0,115,28,50,0.7,0.247,0.867
1.98,230.0,105,28,50,0.7,0.2464,0.8
1.95,230.0,105,28,50,0.7,0.2459,0.8
1.89,230.0,115,28,50,0.7,0.2448,1.0
1.94,230.0,105,28,50,0.7,0.2446,0.867
1.86,230.0,115,28,50,0.7,0.2442,0.867
1.88,230.0,115,28,50,0.7,0.2442,1.0
1.9,230.0,115,28,50,0.7,0.2437,0.933
1.92,230.0,105,28,50,0.7,0.243,1.0
1.93,230.0,105,28,50,0.7,0.2426,0.933
1.96,230.0,105,28,50,0.7,0.2422,0.8
1.91,230.0,105,28,50,0.7,0.2414,1.0
1.85,230.0,115,28,50,0.7,0.2403,0.867
1.9,230.0,105,28,50,0.7,0.24,1.0
1.96,230.0,105,28,40,0.7,0.2394,0.933
1.97,230.0,105,28,40,0.7,0.2393,0.867
1.95,230.0,105,28,40,0.7,0.2391,1.0
1.89,240.0,115,28,50,0.7,0.2385,0.8
1.82,230.0,115,28,50,0.7,0.2378,0.8
1.89,230.0,105,28,50,0.7,0.2372,1.0
1.83,230.0,115,28,50,0.7,0.2371,0.8
1.95,240.0,115,28,40,0.7,0.237,0.933
1.98,220.0,105,28,50,0.7,0.237,0.867
1.81,230.0,115,28,50,0.7,0.2368,0.933
1.86,230.0,105,28,50,0.7,0.2365,0.867
1.91,220.0,105,28,50,0.7,0.2364,0.933
1.97,220.0,105,28,50,0.7,0.2364,0.867
1.93,220.0,105,28,50,0.7,0.2361,0.8
1.98,230.0,105,28,40,0.7,0.236,0.867
1.95,220.0,105,28,50,0.7,0.2359,0.8
1.88,230.0,105,28,50,0.7,0.2358,1.0
1.87,230.0,105,28,50,0.7,0.2357,0.933
1.9,220.0,95,28,50,0.7,0.2357,1.0
1.93,230.0,105,28,40,0.7,0.2355,1.0
1.92,230.0,105,28,40,0.7,0.2351,1.0
1.94,230.0,105,28,40,0.7,0.235,1.0
1.91,220.0,95,28,50,0.7,0.2343,1.0
1.92,220.0,105,28,50,0.7,0.2343,0.867
1.9,220.0,105,28,50,0.7,0.2336,1.0
1.8,230.0,115,28,50,0.7,0.2335,0.8
1.85,230.0,105,28,50,0.7,0.2335,0.867
1.89,220.0,105,28,50,0.7,0.2335,1.0
1.93,220.0,95,28,50,0.7,0.2334,1.0
1.94,220.0,105,28,50,0.7,0.2333,0.8
1.87,240.0,125,28,40,0.7,0.2331,0.933
