freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.8,340.0,115,28,10,0.1,0.3705,1.0
1.79,340.0,115,28,10,0.1,0.3672,1.0
1.77,340.0,115,28,10,0.1,0.3666,0.867
1.76,340.0,115,28,10,0.1,0.362,0.867
1.72,340.0,115,28,10,0.1,0.3512,0.8
1.64,340.0,115,28,20,0.1,0.3484,0.8
1.6,340.0,105,28,30,0.1,0.3461,0.867
1.7,350.0,105,28,30,0.1,0.3457,1.0
1.86,0.0,105,28,10,0.1,0.3455,1.0
1.89,0.0,105,28,10,0.1,0.3454,1.0
1.54,340.0,105,28,30,0.1,0.3426,0.867
1.71,340.0,115,28,10,0.1,0.3421,0.8
1.61,340.0,105,28,30,0.1,0.3413,0.8
1.7,340.0,115,28,10,0.1,0.3411,0.933
1.74,10.0,105,28,20,0.1,0.341,1.0
1.55,340.0,105,28,30,0.1,0.337,0.867
1.17,10.0,125,16,50,0.1,0.3367,0.933
1.82,340.0,115,28,10,0.1,0.3353,1.0
1.53,330.0,105,28,30,0.1,0.3351,0.8
1.69,340.0,115,28,10,0.1,0.3348,0.933
1.67,330.0,125,28,10,0.1,0.3341,0.8
1.86,10.0,105,28,10,0.1,0.3336,0.933
1.68,340.0,115,28,10,0.1,0.3331,1.0
1.59,340.0,105,28,30,0.1,0.3328,0.933
1.66,330.0,125,28,10,0.1,0.3328,0.8
1.65,330.0,125,28,10,0.1,0.3323,0.8
1.71,0.0,105,28,30,0.1,0.3317,1.0
1.83,0.0,105,28,10,0.1,0.3317,1.0
1.22,10.0,125,16,50,0.1,0.3316,1.0
1.64,330.0,125,28,10,0.1,0.3315,0.8
1.67,340.0,115,28,10,0.1,0.331,1.0
1.85,10.0,105,28,10,0.1,0.331,0.933
1.49,330.0,105,28,30,0.1,0.3304,0.867
1.84,10.0,105,28,10,0.1,0.3301,1.0
1.69,350.0,105,28,30,0.1,0.3281,1.0
1.68,350.0,105,28,30,0.1,0.3277,1.0
1.6,350.0,105,28,20,0.1,0.3275,0.933
1.83,10.0,105,28,10,0.1,0.3259,1.0
1.66,340.0,115,28,10,0.1,0.3256,1.0
1.67,350.0,105,28,30,0.1,0.3254,0.933
1.68,0.0,105,28,20,0.1,0.3254,1.0
1.27,20.0,125,16,50,0.1,0.3249,1.0
1.97,330.0,115,24,20,0.1,0.3248,0.867
1.56,350.0,105,28,20,0.1,0.3236,1.0
1.67,0.0,105,28,20,0.1,0.3233,1.0
1.51,340.0,105,28,30,0.1,0.3222,0.933
1.61,350.0,105,28,20,0.1,0.3216,0.867
1.96,330.0,115,24,20,0.1,0.3215,0.8
1.7,350.0,115,28,10,0.1,0.3211,0.8
1.64,350.0,105,28,30,0.1,0.321,0.867
