freq,hip_phi,leg_amp,hip_amp,hip_off,mu
1.8,340.0,115,28,10,0.1
1.79,340.0,115,28,10,0.1
1.77,340.0,115,28,10,0.1
1.76,340.0,115,28,10,0.1
1.72,340.0,115,28,10,0.1
1.64,340.0,115,28,20,0.1
1.6,340.0,105,28,30,0.1
1.7,350.0,105,28,30,0.1
1.86,0.0,105,28,10,0.1
1.89,0.0,105,28,10,0.1
1.54,340.0,105,28,30,0.1
1.71,340.0,115,28,10,0.1
1.61,340.0,105,28,30,0.1
1.7,340.0,115,28,10,0.1
1.74,10.0,105,28,20,0.1
1.55,340.0,105,28,30,0.1
1.17,10.0,125,16,50,0.1
1.82,340.0,115,28,10,0.1
1.53,330.0,105,28,30,0.1
1.69,340.0,115,28,10,0.1
1.67,330.0,125,28,10,0.1
1.86,10.0,105,28,10,0.1
1.68,340.0,115,28,10,0.1
1.59,340.0,105,28,30,0.1
1.66,330.0,125,28,10,0.1
1.65,330.0,125,28,10,0.1
1.71,0.0,105,28,30,0.1
1.83,0.0,105,28,10,0.1
1.22,10.0,125,16,50,0.1
1.64,330.0,125,28,10,0.1
1.67,340.0,115,28,10,0.1
1.85,10.0,105,28,10,0.1
1.49,330.0,105,28,30,0.1
1.84,10.0,105,28,10,0.1
1.69,350.0,105,28,30,0.1
1.68,350.0,105,28,30,0.1
1.6,350.0,105,28,20,0.1
1.83,10.0,105,28,10,0.1
1.66,340.0,115,28,10,0.1
1.67,350.0,105,28,30,0.1
1.68,0.0,105,28,20,0.1
1.27,20.0,125,16,50,0.1
1.97,330.0,115,24,20,0.1
1.56,350.0,105,28,20,0.1
1.67,0.0,105,28,20,0.1
1.51,340.0,105,28,30,0.1
1.61,350.0,105,28,20,0.1
1.96,330.0,115,24,20,0.1
1.7,350.0,115,28,10,0.1
1.64,350.0,105,28,30,0.1
1.8,340.0,115.0,28.0,10.0,0.1
1.79,340.0,115.0,28.0,10.0,0.1
1.76,330.0,125.0,28.0,10.0,0.1
1.77,340.0,115.0,28.0,10.0,0.1
1.76,340.0,115.0,28.0,10.0,0.1
1.74,330.0,125.0,28.0,10.0,0.1
1.75,340.0,115.0,28.0,10.0,0.1
1.74,340.0,115.0,28.0,10.0,0.1
1.73,340.0,115.0,28.0,10.0,0.1
1.72,340.0,115.0,28.0,10.0,0.1
1.79,330.0,125.0,28.0,10.0,0.1
1.64,340.0,115.0,28.0,20.0,0.1
1.75,330.0,125.0,28.0,10.0,0.1
1.6,340.0,105.0,28.0,30.0,0.1
1.7,350.0,105.0,28.0,30.0,0.1
1.86,0.0,105.0,28.0,10.0,0.1
1.89,0.0,105.0,28.0,10.0,0.1
1.98,330.0,115.0,24.0,30.0,0.1
1.52,330.0,105.0,28.0,30.0,0.1
1.49,340.0,115.0,28.0,20.0,0.1
2.0,280.0,115.0,28.0,30.0,0.3
1.99,290.0,115.0,28.0,30.0,0.3
1.96,290.0,115.0,28.0,30.0,0.3
2.0,290.0,115.0,28.0,30.0,0.3
1.87,290.0,115.0,28.0,50.0,0.3
1.87,270.0,125.0,28.0,30.0,0.3
1.85,290.0,115.0,28.0,50.0,0.3
2.0,290.0,115.0,28.0,20.0,0.3
1.93,290.0,115.0,28.0,30.0,0.3
1.96,310.0,125.0,28.0,20.0,0.3
1.88,290.0,115.0,28.0,50.0,0.3
1.92,300.0,115.0,28.0,50.0,0.3
1.96,290.0,125.0,28.0,20.0,0.3
1.96,300.0,125.0,28.0,20.0,0.3
1.95,290.0,115.0,28.0,30.0,0.3
1.95,300.0,125.0,28.0,20.0,0.3
2.0,300.0,125.0,28.0,20.0,0.3
1.89,290.0,115.0,28.0,50.0,0.3
1.89,290.0,115.0,28.0,40.0,0.3
1.99,280.0,115.0,28.0,30.0,0.3
1.99,250.0,125.0,28.0,30.0,0.7
1.96,230.0,125.0,28.0,50.0,0.7
1.95,230.0,125.0,28.0,50.0,0.7
1.93,230.0,125.0,28.0,50.0,0.7
1.92,230.0,125.0,28.0,50.0,0.7
1.99,230.0,125.0,28.0,50.0,0.7
1.97,230.0,125.0,28.0,50.0,0.7
1.89,230.0,125.0,28.0,50.0,0.7
1.9,230.0,125.0,28.0,50.0,0.7
1.91,230.0,125.0,28.0,50.0,0.7
1.97,230.0,115.0,28.0,50.0,0.7
1.94,230.0,115.0,28.0,50.0,0.7
1.94,230.0,125.0,28.0,50.0,0.7
2.0,230.0,105.0,28.0,50.0,0.7
1.87,230.0,125.0,28.0,50.0,0.7
1.99,240.0,125.0,28.0,30.0,0.7
1.92,230.0,115.0,28.0,50.0,0.7
1.96,250.0,125.0,28.0,30.0,0.7
1.93,230.0,115.0,28.0,50.0,0.7
1.95,250.0,115.0,28.0,30.0,0.7
1.65,260.0,125.0,28.0,30.0,0.5
1.63,260.0,125.0,28.0,30.0,0.5
1.64,260.0,125.0,28.0,30.0,0.5
1.61,260.0,125.0,28.0,30.0,0.5
1.62,260.0,125.0,28.0,30.0,0.5
1.57,270.0,125.0,28.0,30.0,0.5
1.73,250.0,125.0,28.0,40.0,0.5
1.59,260.0,125.0,28.0,30.0,0.5
1.72,250.0,125.0,28.0,40.0,0.5
