rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.8,340.0,115.0,28.0,10.0,0.1,0.2917,0.65246,0.2674,0.551,0.526,0.0132,0.0057,50,3.846,0.482,28.72,0.0,1,1
1,1.8,340.0,115.0,28.0,10.0,0.3,0.3193,0.31362,0.0099,0.7246,0.707,0.0318,0.0293,48,3.692,0.512,22.235,0.0,1,1
1,1.8,340.0,115.0,28.0,10.0,0.5,0.0058,0.55656,0.0034,0.8107,0.905,0.0529,0.0734,3,2.788,1.948,13.176,0.018,0,0
1,1.8,340.0,115.0,28.0,10.0,0.7,-0.0242,0.25522,0.0024,0.8751,0.945,0.0654,0.0566,7,3.405,0.547,17.627,0.029,0,0
2,1.79,340.0,115.0,28.0,10.0,0.1,0.3272,0.62411,0.254,0.5718,0.548,0.0165,0.0058,50,3.846,0.481,28.986,0.0,1,1
2,1.79,340.0,115.0,28.0,10.0,0.3,0.1641,0.54773,0.0512,0.6677,0.669,0.0277,0.0305,7,3.46,0.603,25.079,0.031,0,0
2,1.79,340.0,115.0,28.0,10.0,0.5,0.0339,0.32414,0.0013,0.8831,0.953,0.0406,0.0666,8,3.618,0.545,11.08,0.006,0,0
2,1.79,340.0,115.0,28.0,10.0,0.7,-0.0621,0.35773,0.0036,0.8427,0.947,0.0375,0.0683,6,3.482,1.254,12.733,0.021,0,0
3,1.77,340.0,115.0,28.0,10.0,0.1,0.3654,0.64724,0.2225,0.6211,0.602,0.0224,0.0079,51,3.923,0.512,29.339,0.0,1,1
3,1.77,340.0,115.0,28.0,10.0,0.3,0.2931,0.37847,0.0214,0.6717,0.653,0.0286,0.0259,14,3.63,0.526,26.313,0.015,0,0
3,1.77,340.0,115.0,28.0,10.0,0.5,-0.1687,nan,0.0,0.0,0.0,nan,nan,0,0.0,nan,25.017,1.0,0,0
3,1.77,340.0,115.0,28.0,10.0,0.7,-0.3022,0.20044,0.0041,0.7949,0.888,0.0321,0.0848,3,4.367,1.576,21.495,0.07,0,0
4,1.76,340.0,115.0,28.0,10.0,0.1,0.3611,0.65413,0.2258,0.6208,0.601,0.0237,0.008,49,3.769,0.512,29.291,0.0,1,1
4,1.76,340.0,115.0,28.0,10.0,0.3,0.2795,0.40871,0.0193,0.6753,0.654,0.027,0.0261,12,3.618,0.528,27.082,0.019,0,0
4,1.76,340.0,115.0,28.0,10.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.76,340.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.72,340.0,115.0,28.0,10.0,0.1,0.3499,0.69503,0.2279,0.6266,0.604,0.0246,0.0083,46,3.538,0.528,29.534,0.0,1,1
5,1.72,340.0,115.0,28.0,10.0,0.3,0.3261,0.35079,0.023,0.6925,0.681,0.0323,0.022,21,3.286,0.518,25.766,0.009,0,0
5,1.72,340.0,115.0,28.0,10.0,0.5,-0.0542,0.38212,0.0042,0.8479,0.929,0.0512,0.0716,5,3.163,1.059,20.523,0.026,0,0
5,1.72,340.0,115.0,28.0,10.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.64,340.0,115.0,28.0,20.0,0.1,0.2135,0.71614,0.4041,0.4317,0.408,0.0081,0.0067,63,4.846,0.424,29.692,0.0,1,1
6,1.64,340.0,115.0,28.0,20.0,0.3,0.1711,0.37762,0.0866,0.6428,0.624,0.0128,0.013,55,4.231,0.428,29.343,0.0,1,1
6,1.64,340.0,115.0,28.0,20.0,0.5,-0.0808,0.41001,0.0036,0.8487,0.912,0.069,0.0566,5,3.108,0.788,19.418,0.02,0,0
