freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.8,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3413,0.2352,0.6425,0.9501
1.6,340.0,105.0,28.0,30.0,0.1,0.8,0.8,0.2989,0.2131,0.778,0.9866
1.77,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3357,0.2179,0.6609,0.947
1.72,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3507,0.3486,0.6824,0.943
1.79,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3256,0.2489,0.6353,0.9511
1.76,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3342,0.2885,0.6586,0.9425
1.64,340.0,115.0,28.0,20.0,0.1,1.0,1.0,0.2529,0.1473,0.7131,0.966
1.7,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3076,0.231,1.1208,0.9899
1.86,0.0,105.0,28.0,10.0,0.1,1.0,1.0,0.3277,0.261,0.7085,0.9176
1.55,340.0,105.0,28.0,30.0,0.1,0.8,0.8,0.3062,0.2538,0.7925,0.9918
1.74,10.0,105.0,28.0,20.0,0.1,1.0,1.0,0.2296,0.1414,0.8429,0.9855
1.89,0.0,105.0,28.0,10.0,0.1,1.0,1.0,0.26,0.2069,0.8077,0.9415
1.61,340.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2822,0.2098,0.7661,0.9934
1.71,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3431,0.3374,0.6951,0.946
1.54,340.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2796,0.2272,0.8684,0.995
1.7,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3416,0.3403,0.6686,0.9468
1.68,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3322,0.3317,0.6999,0.9484
1.17,10.0,125.0,16.0,50.0,0.1,1.0,1.0,0.1653,0.1215,1.1475,0.9929
1.67,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3346,0.3318,0.6213,0.9568
1.59,340.0,105.0,28.0,30.0,0.1,1.0,1.0,0.297,0.2139,0.7581,0.9927
1.86,10.0,105.0,28.0,10.0,0.1,1.0,1.0,0.2992,0.1622,0.7776,0.9044
1.53,330.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3324,0.3183,0.7326,0.9869
1.82,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.2731,0.2352,0.6597,0.9658
1.69,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3359,0.3344,0.7062,0.9472
1.71,0.0,105.0,28.0,30.0,0.1,0.8,0.8,0.2316,0.1588,0.9329,0.9944
1.67,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3292,0.3274,0.6863,0.9495
1.66,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3344,0.3322,0.6333,0.9564
1.65,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3299,0.3277,0.6341,0.9605
1.64,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3297,0.3258,0.6519,0.9589
1.83,0.0,105.0,28.0,10.0,0.1,1.0,1.0,0.3319,0.3313,0.7245,0.9175
1.85,10.0,105.0,28.0,10.0,0.1,1.0,1.0,0.2863,0.1537,0.8183,0.914
1.22,10.0,125.0,16.0,50.0,0.1,1.0,1.0,0.1763,0.1024,1.1051,0.9967
1.69,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3191,0.2545,1.2511,0.9945
1.66,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3246,0.3239,0.6866,0.9502
1.84,10.0,105.0,28.0,10.0,0.1,1.0,1.0,0.2922,0.2241,0.827,0.8998
1.83,10.0,105.0,28.0,10.0,0.1,1.0,1.0,0.3114,0.2978,0.801,0.8904
1.49,330.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2922,0.155,0.7628,0.9903
1.67,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3001,0.2035,1.2792,0.9929
1.68,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2776,0.2146,1.0937,0.9955
1.6,350.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3157,0.307,0.7034,0.9738
1.61,350.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3167,0.3105,0.7159,0.973
1.97,330.0,115.0,24.0,20.0,0.1,1.0,1.0,0.3217,0.3169,0.5663,0.9509
1.27,20.0,125.0,16.0,50.0,0.1,1.0,1.0,0.1726,0.1057,1.3446,0.9959
1.68,0.0,105.0,28.0,20.0,0.1,1.0,1.0,0.2966,0.1687,0.7368,0.9767
1.51,340.0,105.0,28.0,30.0,0.1,1.0,1.0,0.264,0.2395,1.1548,0.997
1.96,330.0,115.0,24.0,20.0,0.1,1.0,1.0,0.3152,0.3092,0.5719,0.9538
1.67,0.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3022,0.2107,0.7435,0.9737
1.56,350.0,105.0,28.0,20.0,0.1,1.0,1.0,0.3162,0.3045,0.705,0.9781
1.76,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3342,0.2885,0.6586,0.9425
1.8,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3413,0.2352,0.6425,0.9501
1.77,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3357,0.2179,0.6609,0.947
1.7,350.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3189,0.3142,0.7085,0.9088
1.76,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.339,0.3026,0.549,0.9545
1.64,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3095,0.2872,1.2689,0.9936
1.74,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3298,0.2785,0.5743,0.9611
1.79,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3256,0.2489,0.6353,0.9511
1.75,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.3452,0.3312,0.5813,0.9308
1.73,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3491,0.3423,0.6783,0.9435
1.6,340.0,105.0,28.0,30.0,0.1,0.8,0.8,0.2989,0.2131,0.778,0.9866
1.75,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3401,0.2713,0.6764,0.9426
1.79,330.0,125.0,28.0,10.0,0.1,1.0,1.0,0.2901,0.093,0.534,0.9403
1.74,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3324,0.2536,0.6851,0.9386
1.64,340.0,115.0,28.0,20.0,0.1,1.0,1.0,0.2529,0.1473,0.7131,0.966
1.72,340.0,115.0,28.0,10.0,0.1,1.0,1.0,0.3507,0.3486,0.6824,0.943
2.0,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.4541,0.0654,0.2325,0.9912
1.98,330.0,115.0,24.0,30.0,0.1,0.2,0.4,0.0471,-0.0802,1.0198,0.8945
1.49,340.0,115.0,28.0,20.0,0.1,0.8,0.8,0.317,0.2376,0.7772,0.9644
1.99,290.0,115.0,28.0,30.0,0.3,0.6,1.0,0.2663,-0.052,0.2265,0.9632
1.89,0.0,105.0,28.0,10.0,0.1,1.0,1.0,0.26,0.2069,0.8077,0.9415
1.86,0.0,105.0,28.0,10.0,0.1,1.0,1.0,0.3277,0.261,0.7085,0.9176
1.7,350.0,105.0,28.0,30.0,0.1,1.0,1.0,0.3076,0.231,1.1208,0.9899
1.52,330.0,105.0,28.0,30.0,0.1,1.0,1.0,0.2684,0.1598,0.7523,0.9782
1.93,290.0,115.0,28.0,30.0,0.3,1.0,1.0,0.5043,0.4656,0.2755,0.999
1.87,270.0,125.0,28.0,30.0,0.3,1.0,1.0,0.4354,0.3321,0.2805,0.991
1.96,310.0,125.0,28.0,20.0,0.3,0.8,0.8,0.4464,0.2637,0.2347,0.9937
2.0,290.0,115.0,28.0,20.0,0.3,1.0,1.0,0.5147,0.457,0.2337,0.995
1.87,290.0,115.0,28.0,50.0,0.3,1.0,1.0,0.5213,0.492,0.2409,0.9955
2.0,290.0,115.0,28.0,30.0,0.3,1.0,1.0,0.4371,0.1232,0.2236,0.979
1.96,290.0,115.0,28.0,30.0,0.3,1.0,1.0,0.3848,0.1883,0.2449,0.9752
1.85,290.0,115.0,28.0,50.0,0.3,1.0,1.0,0.5178,0.4769,0.246,0.9981
2.0,300.0,125.0,28.0,20.0,0.3,0.6,0.6,0.369,-0.1058,0.2245,0.9747
1.95,300.0,125.0,28.0,20.0,0.3,0.4,0.4,0.4216,0.344,0.2359,0.9641
1.92,300.0,115.0,28.0,50.0,0.3,0.4,0.4,0.4012,0.2943,0.2698,0.9824
1.88,290.0,115.0,28.0,50.0,0.3,0.4,0.4,0.4492,0.3761,0.2729,0.9922
1.89,290.0,115.0,28.0,50.0,0.3,0.8,0.8,0.4645,0.3952,0.2721,0.9959
1.96,290.0,125.0,28.0,20.0,0.3,0.6,0.6,0.3154,-0.113,0.2366,0.9831
1.96,300.0,125.0,28.0,20.0,0.3,0.6,1.0,0.223,-0.2239,0.2369,0.9875
1.95,290.0,115.0,28.0,30.0,0.3,1.0,1.0,0.457,0.4159,0.2841,0.9855
