rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.65,260.0,125.0,28.0,30.0,0.1,0.0004,1.97546,0.3757,0.5118,0.469,0.0046,0.006,61,4.692,0.042,25.44,0.0,1,1
1,1.65,260.0,125.0,28.0,30.0,0.3,0.363,0.38664,0.1168,0.6566,0.644,0.006,0.0074,80,6.154,0.514,21.859,0.0,1,1
1,1.65,260.0,125.0,28.0,30.0,0.5,0.3745,0.16999,0.0219,0.7851,0.775,0.022,0.0194,84,6.462,0.522,22.575,0.0,1,1
1,1.65,260.0,125.0,28.0,30.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.63,260.0,125.0,28.0,30.0,0.1,-0.0401,1.92829,0.3887,0.4935,0.457,0.0054,0.0057,58,4.462,0.118,25.498,0.0,1,1
2,1.63,260.0,125.0,28.0,30.0,0.3,0.3588,0.37447,0.1164,0.6558,0.644,0.0061,0.0072,84,6.462,0.496,22.091,0.0,1,1
2,1.63,260.0,125.0,28.0,30.0,0.5,0.3717,0.16517,0.0192,0.7859,0.779,0.0213,0.0191,84,6.462,0.516,22.871,0.0,1,1
2,1.63,260.0,125.0,28.0,30.0,0.7,-0.0585,0.17635,0.0097,0.8848,0.941,0.0228,0.0361,6,5.217,0.331,25.713,0.017,0,0
3,1.64,260.0,125.0,28.0,30.0,0.1,-0.004,1.78239,0.3807,0.4978,0.467,0.0052,0.0053,64,4.923,0.16,25.481,0.0,1,1
3,1.64,260.0,125.0,28.0,30.0,0.3,0.3604,0.38559,0.1184,0.6536,0.642,0.0063,0.0076,79,6.077,0.509,21.97,0.0,1,1
3,1.64,260.0,125.0,28.0,30.0,0.5,0.3729,0.16826,0.0192,0.7858,0.778,0.0217,0.0193,84,6.462,0.518,22.774,0.0,1,1
3,1.64,260.0,125.0,28.0,30.0,0.7,-0.1173,0.45121,0.0091,0.8563,0.913,0.0589,0.0255,3,3.058,1.323,27.226,0.0,0,0
4,1.61,260.0,125.0,28.0,30.0,0.1,-0.031,1.73956,0.3758,0.5028,0.463,0.0054,0.0044,61,4.692,0.085,25.545,0.0,1,1
