steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1388,178.7731,0.8307,14.1507,2.1284,0.1200,83.1485,0.0067,0.0088,-0.1203,0.6440,9.8911,0.1564,0.2913,0.0454,-0.1697,-0.0097,0.0000,0.0000,-0.0136,-0.1169,-0.0394,0.3571,0.3587,0.3707,0.3683,0.3616
500000,626,398.2652,0.3530,27.0559,6.5833,0.2700,67.5582,0.0090,0.0128,-0.1702,0.6265,7.9261,0.4603,0.3225,0.0895,-0.0933,-0.0100,0.0000,0.0000,-0.0147,-0.0342,0.0428,0.3506,0.3513,0.3711,0.3711,0.3611
750000,725,346.7531,0.5531,36.2914,14.3452,0.2700,94.3284,0.0111,0.0148,-0.1426,0.6093,7.8191,0.5845,0.2730,0.1260,-0.0926,-0.0104,0.0000,0.0000,-0.0149,-0.0448,0.0797,0.3537,0.3548,0.3689,0.3753,0.3578
1000000,639,390.7480,0.4304,36.8249,12.9634,0.2700,90.2663,0.0132,0.0173,-0.1391,0.6286,9.3312,0.4998,0.2787,0.1270,-0.0993,-0.0112,0.0000,0.0000,-0.0152,-0.0284,0.0774,0.3535,0.3543,0.3735,0.3807,0.3600
1250000,638,392.0564,0.4263,32.4166,11.0689,0.4200,91.8537,0.0183,0.0209,-0.0783,0.6153,10.8425,0.3108,0.1870,0.1603,-0.1106,-0.0127,0.0000,0.0000,-0.0165,-0.0273,0.1050,0.3530,0.3531,0.3737,0.3831,0.3602
1500000,830,300.4265,0.6964,34.9279,13.3767,0.4200,106.0156,0.0237,0.0255,-0.0487,0.5982,12.9599,0.2098,0.2212,0.2081,-0.1167,-0.0134,0.0000,0.0000,-0.0170,-0.0514,0.1497,0.3544,0.3466,0.3717,0.3814,0.3598
1750000,665,377.3669,0.4947,31.1365,9.1196,0.4200,89.4454,0.0240,0.0275,-0.0751,0.6067,12.9339,0.1221,0.1838,0.1748,-0.1441,-0.0133,0.0000,0.0000,-0.0180,-0.0330,0.1028,0.3552,0.3442,0.3692,0.3802,0.3587
2000000,698,356.7822,0.5487,30.5603,5.7345,0.4200,94.4971,0.0260,0.0295,-0.0715,0.5997,13.8450,0.0182,0.2169,0.2051,-0.1080,-0.0136,0.0000,0.0000,-0.0183,-0.0340,0.1511,0.3543,0.3429,0.3663,0.3835,0.3649
2250000,823,304.5200,0.7181,32.1746,2.0226,0.4200,116.3144,0.0346,0.0378,-0.0512,0.5750,14.5175,0.0082,0.2399,0.2526,-0.1078,-0.0150,0.0000,0.0000,-0.0190,-0.0462,0.1987,0.3507,0.3405,0.3664,0.3846,0.3626
2500000,653,381.5804,0.4778,31.5879,6.8892,0.4200,107.7497,0.0364,0.0403,-0.0584,0.5744,13.4975,0.0602,0.2247,0.2273,-0.1335,-0.0160,0.0000,0.0000,-0.0192,-0.0288,0.1606,0.3481,0.3410,0.3672,0.3819,0.3617
2750000,577,432.0364,0.2652,28.2135,5.6236,0.4700,91.0587,0.0306,0.0372,-0.1013,0.5975,12.2146,0.0713,0.1541,0.1630,-0.1822,-0.0155,0.0000,0.0000,-0.0201,-0.0207,0.0720,0.3428,0.3386,0.3609,0.3793,0.3653
3000000,643,390.0435,0.4199,30.1945,7.5931,0.4700,100.3793,0.0336,0.0370,-0.0568,0.5787,12.6995,0.0352,0.1742,0.2026,-0.1598,-0.0152,0.0000,0.0000,-0.0201,-0.0271,0.1226,0.3375,0.3330,0.3623,0.3807,0.3598
