steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1925,129.4483,0.9600,20.5746,-3.8415,0.1200,99.3717,0.0193,0.0186,0.0194,0.6599,9.3528,0.3199,0.2720,0.0712,-0.2089,-0.0037,0.0649,-0.1302,0.0000,-0.1379,-0.0333,0.3637,0.3565,0.3770,0.3712,0.3697
500000,1019,245.0775,0.7615,30.2861,-7.1933,0.1200,110.3451,0.0189,0.0199,-0.0242,0.6546,7.6966,0.5781,0.3340,0.0971,-0.1331,-0.0037,0.0569,-0.1159,0.0000,-0.0862,0.0305,0.3591,0.3569,0.3875,0.3761,0.3725
750000,770,325.3208,0.5143,27.7037,4.0211,0.1700,98.5990,0.0134,0.0175,-0.1305,0.6499,6.5415,0.5911,0.3645,0.0858,-0.1157,-0.0037,0.0538,-0.1006,0.0000,-0.0626,0.0279,0.3562,0.3556,0.3876,0.3799,0.3718
1000000,784,318.9184,0.5625,28.6511,-6.1238,0.1700,92.5218,0.0161,0.0187,-0.0720,0.6475,6.4913,0.6161,0.3385,0.0973,-0.1059,-0.0039,0.0617,-0.1032,0.0000,-0.0631,0.0443,0.3583,0.3530,0.3931,0.3879,0.3742
1250000,689,362.0653,0.4659,27.1978,-5.9295,0.2700,93.4446,0.0281,0.0271,0.0152,0.6403,8.9366,0.4159,0.2685,0.1207,-0.1196,-0.0049,0.0836,-0.1170,0.0000,-0.0483,0.0609,0.3573,0.3460,0.3968,0.3960,0.3769
1500000,703,356.1494,0.4651,26.1187,-2.8791,0.3200,106.3839,0.0446,0.0446,-0.0063,0.6188,10.9515,0.1986,0.1979,0.1428,-0.1767,-0.0061,0.1053,-0.1350,0.0000,-0.0569,0.0544,0.3528,0.3448,0.4038,0.3992,0.3812
1750000,857,291.7095,0.6569,34.2149,8.9804,0.3200,130.1478,0.0464,0.0628,-0.1560,0.5923,12.2454,0.2688,0.1872,0.1631,-0.2018,-0.0069,0.1088,-0.1456,0.0000,-0.0701,0.0622,0.3556,0.3460,0.4113,0.4015,0.3908
2000000,731,341.7456,0.5308,31.6207,12.5876,0.3200,123.3289,0.0420,0.0597,-0.1776,0.6000,11.9368,0.2539,0.1748,0.1335,-0.2059,-0.0066,0.1048,-0.1319,0.0000,-0.0543,0.0306,0.3565,0.3372,0.4236,0.4103,0.4033
2250000,637,391.9765,0.3768,42.4143,16.1641,0.3700,103.8258,0.0284,0.0522,-0.2806,0.6635,9.9312,0.4198,0.1444,0.0978,-0.1803,-0.0057,0.0842,-0.1159,0.0000,-0.0372,0.0077,0.3515,0.3342,0.4314,0.4067,0.4100
2500000,789,317.1420,0.6451,44.7418,12.8860,0.3700,125.3402,0.0432,0.0524,-0.0940,0.6368,10.7648,0.3861,0.1549,0.1316,-0.1637,-0.0063,0.0941,-0.1245,0.0000,-0.0535,0.0497,0.3583,0.3305,0.4422,0.4168,0.4078
2750000,700,357.7629,0.4857,37.7702,16.0858,0.3700,107.9128,0.0424,0.0581,-0.1506,0.6060,11.6548,0.2094,0.1529,0.1253,-0.1691,-0.0066,0.0964,-0.1192,0.0000,-0.0506,0.0408,0.3608,0.3239,0.4484,0.4214,0.4123
3000000,656,380.8338,0.4207,34.7575,13.3135,0.4700,100.2248,0.0352,0.0592,-0.2370,0.6332,11.3035,0.1963,0.1010,0.1080,-0.1877,-0.0067,0.0937,-0.1197,0.0000,-0.0404,0.0142,0.3575,0.3304,0.4530,0.4256,0.4051
