steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,16240,15.3906,1.0000,18.7902,0.3766,0.1811,0.7780,-0.1272,-0.0417,0.2386,-0.1817,-0.0381,-0.3720,0.1309,0.9244,0.9155,0.9456,0.9265,0.9536
500000,17306,14.4448,1.0000,37.3445,0.3168,0.2813,1.1498,-0.0645,-0.0502,0.2979,-0.1706,-0.0326,-0.3511,0.2552,0.8555,0.8555,0.8862,0.8919,0.8984
750000,14279,17.5074,1.0000,38.6894,0.2916,0.2615,1.3123,-0.1022,-0.0686,0.2405,-0.1418,-0.0327,-0.2871,0.2770,0.8242,0.8080,0.8727,0.8480,0.8612
1000000,13626,18.3501,1.0000,39.0331,0.2685,0.3030,1.3649,-0.0852,-0.0679,0.2113,-0.1288,-0.0356,-0.2732,0.2986,0.7891,0.7814,0.8452,0.8013,0.8085
