ckpt,steps,n_pass,mean_net_fwd
250k,250000,5,0.1184
500k,500000,3,0.0398
750k,750000,4,0.038
1000k,1000000,3,0.0371
1250k,1250000,5,0.0782
1500k,1500000,5,0.0415
1750k,1750000,5,0.0483
2000k,2000000,3,0.0374
2250k,2250000,4,0.0329
2500k,2500000,7,0.0801
2750k,2750000,10,0.16
3000k,3000000,12,0.2378
final,1000000000,10,0.2363
