freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.95,0.0,125,28,20,0.5,0.35,0.933
1.93,0.0,125,28,20,0.5,0.3489,0.933
1.97,0.0,125,28,20,0.5,0.3391,0.867
1.89,0.0,125,28,20,0.5,0.3373,0.867
1.97,10.0,125,28,20,0.5,0.3287,0.933
1.96,340.0,125,28,10,0.5,0.3259,1.0
1.96,10.0,125,28,20,0.5,0.3239,0.933
1.91,0.0,125,28,20,0.5,0.319,0.933
1.98,0.0,115,28,20,0.5,0.3184,1.0
1.87,0.0,125,28,20,0.5,0.3137,0.867
1.98,300.0,125,28,10,0.5,0.312,0.933
1.92,10.0,125,28,20,0.5,0.3075,0.933
1.96,300.0,125,28,10,0.5,0.3065,0.933
1.97,300.0,125,28,10,0.5,0.306,0.933
1.94,300.0,125,28,10,0.5,0.3059,0.867
1.9,0.0,125,28,20,0.5,0.3027,0.933
1.86,0.0,125,28,20,0.5,0.3024,0.867
1.91,10.0,125,28,20,0.5,0.3018,0.933
1.95,340.0,115,28,10,0.5,0.3017,1.0
1.94,10.0,125,28,20,0.5,0.301,1.0
1.91,290.0,125,28,10,0.5,0.3009,0.8
1.97,290.0,125,28,10,0.5,0.3009,0.8
1.85,0.0,125,28,20,0.5,0.3008,0.867
1.98,290.0,125,28,10,0.5,0.3007,0.8
1.93,300.0,125,28,10,0.5,0.2999,0.933
1.93,310.0,115,28,10,0.5,0.2999,0.933
1.95,10.0,125,28,20,0.5,0.2996,1.0
1.92,340.0,115,28,10,0.5,0.2985,1.0
1.92,290.0,125,28,10,0.5,0.2983,0.933
1.89,300.0,125,28,10,0.5,0.2974,0.867
1.97,350.0,125,28,10,0.5,0.2971,1.0
1.86,10.0,125,28,20,0.5,0.2968,0.867
1.93,0.0,115,28,20,0.5,0.2965,0.8
1.92,0.0,125,28,20,0.5,0.2958,0.933
1.96,310.0,115,28,10,0.5,0.2956,0.933
1.94,350.0,125,28,20,0.5,0.2946,0.867
1.94,340.0,115,28,10,0.5,0.2944,1.0
1.87,10.0,125,28,20,0.5,0.2943,0.867
1.97,0.0,115,28,20,0.5,0.2943,0.933
1.94,0.0,115,28,20,0.5,0.2939,0.933
1.97,300.0,115,28,10,0.5,0.2938,0.933
1.96,330.0,125,28,10,0.5,0.2933,1.0
1.78,10.0,125,28,20,0.5,0.2929,0.8
1.92,300.0,125,28,10,0.5,0.2929,0.933
1.93,330.0,125,28,10,0.5,0.2927,0.933
1.88,0.0,125,28,20,0.5,0.2926,0.867
1.93,20.0,125,28,20,0.5,0.292,0.933
1.84,10.0,125,28,20,0.5,0.2914,1.0
1.98,350.0,115,28,20,0.5,0.2912,0.933
1.83,10.0,125,28,20,0.5,0.2906,1.0
