rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.8,260.0,125.0,20.0,50.0,0.1,0.1692,1.48437,0.7839,0.2126,0.213,0.0044,0.0048,70,5.385,0.506,4.402,0.0,1,0
1,1.8,260.0,125.0,20.0,50.0,0.3,0.1225,2.46209,0.6112,0.3658,0.411,nan,0.0034,19,1.462,1.164,4.041,0.0,1,0
1,1.8,260.0,125.0,20.0,50.0,0.5,0.0738,0.95939,0.4575,0.4752,0.517,0.0054,0.0043,71,5.462,0.47,4.191,0.0,1,1
1,1.8,260.0,125.0,20.0,50.0,0.7,0.0267,0.64892,0.4233,0.5468,0.61,0.0072,0.0061,70,5.385,0.258,4.466,0.0,1,1
2,1.81,260.0,125.0,20.0,50.0,0.1,0.1671,1.50486,0.7813,0.2148,0.214,0.0046,0.005,70,5.385,0.507,4.414,0.0,1,0
2,1.81,260.0,125.0,20.0,50.0,0.3,0.1232,2.2506,0.6006,0.3748,0.414,nan,0.0034,22,1.692,1.064,4.056,0.0,1,0
2,1.81,260.0,125.0,20.0,50.0,0.5,0.0731,0.96825,0.4565,0.4731,0.514,0.0055,0.0043,72,5.538,0.465,4.213,0.0,1,1
2,1.81,260.0,125.0,20.0,50.0,0.7,0.0242,0.66273,0.4237,0.5436,0.592,0.0074,0.0061,72,5.538,0.251,4.483,0.0,1,1
3,1.79,260.0,125.0,20.0,50.0,0.1,0.1687,1.48841,0.7877,0.2092,0.211,0.0046,0.005,69,5.308,0.507,4.361,0.0,1,0
3,1.79,260.0,125.0,20.0,50.0,0.3,0.1215,2.22596,0.6045,0.3735,0.418,nan,0.0034,21,1.615,1.057,4.005,0.0,1,0
3,1.79,260.0,125.0,20.0,50.0,0.5,0.0739,0.90058,0.4573,0.476,0.518,0.0053,0.0042,73,5.615,0.441,4.137,0.0,1,1
3,1.79,260.0,125.0,20.0,50.0,0.7,0.0286,0.61989,0.417,0.5535,0.631,0.0071,0.006,70,5.385,0.239,4.4,0.0,1,1
4,1.97,260.0,125.0,16.0,50.0,0.1,0.1672,1.44079,0.7632,0.2307,0.234,0.0038,0.0058,64,4.923,0.504,4.581,0.0,1,0
4,1.97,260.0,125.0,16.0,50.0,0.3,0.0956,2.98372,0.5608,0.4132,0.461,nan,0.0037,26,2.0,1.013,4.386,0.0,1,0
4,1.97,260.0,125.0,16.0,50.0,0.5,0.0324,1.16931,0.4063,0.495,0.495,0.0082,0.0047,78,6.0,0.285,4.627,0.0,1,1
4,1.97,260.0,125.0,16.0,50.0,0.7,-0.0219,0.7259,0.3807,0.5623,0.539,0.016,0.0109,60,4.615,0.41,5.2,0.01,1,1
5,1.94,260.0,125.0,16.0,50.0,0.1,0.1661,1.4307,0.7643,0.2306,0.234,0.0039,0.0056,64,4.923,0.507,4.51,0.0,1,0
5,1.94,260.0,125.0,16.0,50.0,0.3,0.0937,3.06152,0.5754,0.3991,0.446,nan,0.0036,25,1.923,1.061,4.329,0.0,1,0
5,1.94,260.0,125.0,16.0,50.0,0.5,0.0358,1.00557,0.4167,0.4878,0.49,0.0078,0.0045,85,6.538,0.242,4.563,0.0,1,1
5,1.94,260.0,125.0,16.0,50.0,0.7,-0.0072,0.61124,0.3827,0.5689,0.546,0.0144,0.0095,65,5.0,0.241,4.999,0.005,1,1
6,1.82,260.0,125.0,20.0,50.0,0.1,0.1679,1.4925,0.7803,0.2151,0.213,0.0043,0.0048,71,5.462,0.502,4.441,0.0,1,0
6,1.82,260.0,125.0,20.0,50.0,0.3,0.1242,2.27275,0.5993,0.3747,0.416,nan,0.0035,22,1.692,1.067,4.079,0.0,1,0
6,1.82,260.0,125.0,20.0,50.0,0.5,0.0724,0.95571,0.4571,0.4715,0.514,0.0056,0.0043,73,5.615,0.45,4.239,0.0,1,1
6,1.82,260.0,125.0,20.0,50.0,0.7,0.0215,0.65425,0.4326,0.5337,0.576,0.0078,0.006,74,5.692,0.225,4.506,0.0,1,1
7,1.94,260.0,125.0,20.0,50.0,0.1,0.165,1.51281,0.7585,0.2375,0.23,0.0041,0.0045,74,5.692,0.497,4.686,0.0,1,0
7,1.94,260.0,125.0,20.0,50.0,0.3,0.1357,2.17137,0.5375,0.4364,0.463,nan,0.0043,26,2.0,1.018,4.4,0.0,1,0
7,1.94,260.0,125.0,20.0,50.0,0.5,0.0565,1.13273,0.4286,0.4769,0.493,0.0058,0.0041,77,5.923,0.358,4.604,0.0,1,1
7,1.94,260.0,125.0,20.0,50.0,0.7,0.0021,0.79917,0.4347,0.511,0.477,0.0145,0.0071,60,4.615,0.297,4.966,0.0,1,1
8,1.92,260.0,125.0,20.0,50.0,0.1,0.1653,1.52447,0.7657,0.2293,0.224,0.004,0.0044,73,5.615,0.502,4.649,0.0,1,0
8,1.92,260.0,125.0,20.0,50.0,0.3,0.1342,2.22053,0.5478,0.4263,0.453,nan,0.0042,25,1.923,1.04,4.34,0.0,1,0
8,1.92,260.0,125.0,20.0,50.0,0.5,0.0569,1.10354,0.437,0.4719,0.49,0.006,0.0038,82,6.308,0.362,4.543,0.0,1,1
8,1.92,260.0,125.0,20.0,50.0,0.7,0.0012,0.76218,0.4515,0.5008,0.47,0.0131,0.0072,65,5.0,0.243,4.865,0.0,1,1
9,1.95,260.0,125.0,16.0,50.0,0.1,0.1661,1.47299,0.7637,0.2313,0.236,0.0039,0.0058,62,4.769,0.517,4.526,0.0,1,0
9,1.95,260.0,125.0,16.0,50.0,0.3,0.093,3.13303,0.563,0.4123,0.455,nan,0.0037,25,1.923,1.057,4.338,0.0,1,0
9,1.95,260.0,125.0,16.0,50.0,0.5,0.0342,1.08871,0.4157,0.4875,0.49,0.0079,0.0048,81,6.231,0.255,4.564,0.0,1,1
9,1.95,260.0,125.0,16.0,50.0,0.7,-0.0149,0.84172,0.3837,0.5604,0.518,0.0143,0.0097,57,4.385,0.424,5.042,0.01,1,1
10,1.95,260.0,125.0,20.0,50.0,0.1,0.1641,1.55871,0.7566,0.2392,0.233,0.0041,0.0043,74,5.692,0.505,4.693,0.0,1,0
10,1.95,260.0,125.0,20.0,50.0,0.3,0.1362,2.19644,0.5324,0.4416,0.47,nan,0.0043,26,2.0,1.016,4.407,0.0,1,0
10,1.95,260.0,125.0,20.0,50.0,0.5,0.0549,1.20523,0.4247,0.4803,0.492,0.0052,0.0044,72,5.538,0.364,4.611,0.0,1,1
10,1.95,260.0,125.0,20.0,50.0,0.7,0.0006,0.7302,0.4326,0.5096,0.478,0.0146,0.0084,62,4.769,0.299,4.997,0.0,1,1
11,1.96,260.0,125.0,20.0,50.0,0.1,0.1648,1.53273,0.7527,0.243,0.235,0.0039,0.0045,74,5.692,0.5,4.732,0.0,1,0
11,1.96,260.0,125.0,20.0,50.0,0.3,0.1368,2.22313,0.5306,0.4414,0.468,nan,0.0044,26,2.0,1.021,4.445,0.0,1,0
11,1.96,260.0,125.0,20.0,50.0,0.5,0.0482,1.24261,0.4281,0.4761,0.487,0.0064,0.0036,76,5.846,0.349,4.667,0.0,1,1
