freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.68,280.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1257,0.1241,2.0994,0.9867
1.69,280.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1234,0.122,2.1062,0.9881
1.8,270.0,125.0,28.0,30.0,0.1,1.0,1.0,0.125,0.1212,2.2467,0.9992
1.7,280.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1236,0.1221,2.1337,0.9895
1.81,270.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1219,0.1174,2.3332,0.9975
1.82,270.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1212,0.1185,2.3378,0.997
1.78,270.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1218,0.115,2.2279,0.9999
1.75,270.0,115.0,28.0,30.0,0.1,1.0,1.0,0.0868,0.0648,2.7602,0.9971
