freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.33,350.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1085,0.1005,1.6665,0.9641
1.3,340.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1066,0.1011,1.71,0.9719
1.31,350.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1048,0.0991,1.6365,0.9662
1.49,280.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1064,0.1045,1.9939,0.9608
1.5,280.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1058,0.1034,1.9714,0.9636
1.47,280.0,125.0,28.0,20.0,0.1,1.0,1.0,0.1055,0.1041,1.9273,0.9535
1.5,0.0,125.0,28.0,30.0,0.1,1.0,1.0,0.1074,0.1028,1.5973,0.9981
1.42,10.0,115.0,28.0,20.0,0.1,1.0,1.0,0.1045,0.098,2.8833,0.936
