rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.8,260.0,125.0,20.0,50.0,0.1,0.1676,1.48105,0.783,0.2133,0.213,0.0045,0.0049,69,5.308,0.501,4.403,0.0,1,0
1,1.8,260.0,125.0,20.0,50.0,0.3,0.1218,2.24442,0.6112,0.3644,0.408,nan,0.0034,19,1.462,1.056,4.04,0.0,1,0
1,1.8,260.0,125.0,20.0,50.0,0.5,0.0737,0.92513,0.4581,0.4748,0.517,0.0054,0.0042,73,5.615,0.453,4.192,0.0,1,1
1,1.8,260.0,125.0,20.0,50.0,0.7,0.0264,0.6347,0.4212,0.5485,0.616,0.0071,0.0061,70,5.385,0.26,4.466,0.0,1,1
2,1.81,260.0,125.0,20.0,50.0,0.1,0.1679,1.50616,0.7817,0.2146,0.214,0.0046,0.0048,70,5.385,0.51,4.412,0.0,1,0
2,1.81,260.0,125.0,20.0,50.0,0.3,0.1235,2.25347,0.5964,0.3783,0.415,nan,0.0035,22,1.692,1.064,4.061,0.0,1,0
2,1.81,260.0,125.0,20.0,50.0,0.5,0.0737,0.94169,0.4589,0.4706,0.514,0.0054,0.0043,73,5.615,0.457,4.211,0.0,1,1
2,1.81,260.0,125.0,20.0,50.0,0.7,0.024,0.64533,0.4218,0.5453,0.599,0.0074,0.0061,72,5.538,0.253,4.482,0.0,1,1
3,1.79,260.0,125.0,20.0,50.0,0.1,0.1685,1.47899,0.7872,0.2088,0.21,0.0045,0.0049,70,5.385,0.504,4.362,0.0,1,0
3,1.79,260.0,125.0,20.0,50.0,0.3,0.1209,2.2356,0.612,0.3647,0.409,nan,0.0034,17,1.308,1.057,4.002,0.0,1,0
3,1.79,260.0,125.0,20.0,50.0,0.5,0.074,0.92805,0.458,0.476,0.519,0.0053,0.0042,72,5.538,0.456,4.138,0.0,1,1
3,1.79,260.0,125.0,20.0,50.0,0.7,0.0283,0.61171,0.4162,0.5535,0.633,0.007,0.0061,70,5.385,0.244,4.393,0.0,1,1
4,1.97,260.0,125.0,16.0,50.0,0.1,0.1676,1.42382,0.7613,0.2328,0.235,0.0039,0.0053,68,5.231,0.5,4.58,0.0,1,0
