freq,hip_phi,leg_amp,hip_amp,hip_off,mu,pass_rate,surv_rate,net_fwd_mean,net_fwd_min,slip_mean,head_mean
1.96,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.242,0.2178,0.7595,0.9944
1.99,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.2372,0.2135,0.7925,0.9934
1.98,340.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2189,0.0689,0.5402,0.7909
1.92,280.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2472,0.2215,0.7091,0.9977
1.86,340.0,125.0,28.0,20.0,0.3,0.4,1.0,0.0301,-0.1706,0.5858,0.7725
1.85,340.0,125.0,28.0,20.0,0.3,0.4,1.0,0.0817,-0.0001,0.5899,0.5022
1.83,340.0,125.0,28.0,20.0,0.3,0.6,1.0,0.1438,0.0065,0.5535,0.7936
1.98,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.2466,0.2124,0.7444,0.9939
1.93,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.2412,0.2196,0.7409,0.9957
1.86,330.0,115.0,28.0,20.0,0.3,0.4,1.0,0.0597,-0.2084,0.563,0.7136
1.94,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.2503,0.2188,0.6967,0.9964
1.89,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.2434,0.2183,0.7117,0.9972
1.94,340.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2339,0.1681,0.5194,0.8146
1.92,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.246,0.2156,0.7097,0.9953
1.98,280.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2329,0.2178,0.8096,0.9921
1.87,280.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2457,0.224,0.6783,0.9971
1.85,280.0,115.0,28.0,30.0,0.3,1.0,1.0,0.238,0.2142,0.7217,0.9943
1.75,340.0,125.0,28.0,20.0,0.3,0.6,1.0,0.1075,-0.0989,0.5798,0.7774
1.94,280.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2416,0.2276,0.7954,0.9982
1.84,280.0,115.0,28.0,20.0,0.3,1.0,1.0,0.2245,0.2158,0.7854,0.9966
1.95,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.3193,0.2403,0.1807,0.9915
1.93,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.2946,0.2408,0.1961,0.9917
1.97,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.3066,0.2161,0.1888,0.9845
1.89,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.3159,0.2985,0.1842,0.9918
1.99,350.0,125.0,28.0,10.0,0.5,1.0,1.0,0.2596,0.191,0.1904,0.9773
1.97,10.0,125.0,28.0,20.0,0.5,1.0,1.0,0.2804,0.1926,0.2118,0.9535
1.99,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.3269,0.2444,0.1718,0.9925
1.96,340.0,125.0,28.0,10.0,0.5,1.0,1.0,0.2732,0.181,0.1835,0.9906
1.96,10.0,125.0,28.0,20.0,0.5,1.0,1.0,0.2699,0.1823,0.2149,0.9574
1.91,0.0,125.0,28.0,20.0,0.5,0.8,1.0,0.2531,0.026,0.195,0.9865
1.98,0.0,115.0,28.0,20.0,0.5,1.0,1.0,0.3119,0.2984,0.1949,0.9869
1.99,10.0,125.0,28.0,20.0,0.5,1.0,1.0,0.2835,0.1478,0.216,0.9545
1.99,0.0,115.0,28.0,20.0,0.5,1.0,1.0,0.3137,0.3111,0.2002,0.9856
2.0,0.0,115.0,28.0,20.0,0.5,1.0,1.0,0.3127,0.2957,0.2139,0.9767
1.87,0.0,125.0,28.0,20.0,0.5,0.6,1.0,0.1746,-0.0282,0.2121,0.9944
1.98,300.0,125.0,28.0,10.0,0.5,1.0,1.0,0.2891,0.2696,0.1606,0.9717
1.99,30.0,125.0,28.0,30.0,0.5,0.8,1.0,0.2049,-0.0673,0.2839,0.9765
2.0,0.0,125.0,28.0,20.0,0.5,1.0,1.0,0.3364,0.2816,0.1714,0.9923
1.92,10.0,125.0,28.0,20.0,0.5,1.0,1.0,0.2816,0.2026,0.2089,0.9606
1.96,300.0,125.0,28.0,10.0,0.5,1.0,1.0,0.2988,0.2827,0.1663,0.974
1.94,260.0,125.0,28.0,10.0,0.7,0.4,1.0,0.0447,-0.0587,0.1089,0.9895
2.0,260.0,125.0,28.0,10.0,0.7,0.4,1.0,0.0555,-0.0863,0.1076,0.9891
1.99,250.0,125.0,28.0,10.0,0.7,0.4,0.4,0.1209,-0.0272,0.1541,0.9838
1.86,260.0,115.0,28.0,10.0,0.7,0.4,1.0,0.0201,-0.1295,0.1215,0.9882
1.98,250.0,125.0,28.0,10.0,0.7,0.8,0.8,0.225,0.1953,0.1389,0.9754
1.93,250.0,125.0,28.0,10.0,0.7,0.8,0.8,0.2253,0.2065,0.1358,0.9645
1.92,260.0,125.0,28.0,20.0,0.7,0.6,0.8,0.174,0.0213,0.1261,0.9684
1.96,260.0,125.0,24.0,10.0,0.7,0.4,1.0,0.0481,-0.0651,0.1113,0.992
1.94,260.0,125.0,24.0,20.0,0.7,0.8,1.0,0.1194,-0.0777,0.1322,0.9931
