rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.87,350.0,125.0,28.0,50.0,0.1,0.0413,1.54507,0.4567,0.51,0.492,0.0146,0.0098,76,5.846,0.129,13.327,0.415,1,1
1,1.87,350.0,125.0,28.0,50.0,0.3,0.0559,0.89499,0.5078,0.426,0.443,0.0077,0.0122,50,3.846,0.513,12.173,0.623,1,1
1,1.87,350.0,125.0,28.0,50.0,0.5,-0.0037,0.41174,0.1953,0.6508,0.679,0.0343,0.0137,58,4.462,0.112,19.667,0.725,1,1
1,1.87,350.0,125.0,28.0,50.0,0.7,0.1939,0.18095,0.0028,0.8154,0.825,0.0521,0.0332,60,4.615,0.491,22.1,0.687,1,1
2,1.72,330.0,85.0,28.0,20.0,0.1,0.0595,2.95874,0.674,0.3167,0.242,0.0095,0.0129,45,3.462,0.524,2.188,0.0,1,0
2,1.72,330.0,85.0,28.0,20.0,0.3,-0.0181,0.79966,0.3714,0.5581,0.514,0.0042,0.0123,49,3.769,0.201,3.01,0.0,1,1
2,1.72,330.0,85.0,28.0,20.0,0.5,0.1001,0.37153,0.1235,0.8077,0.758,0.0144,0.0194,89,6.846,0.405,3.343,0.0,1,1
2,1.72,330.0,85.0,28.0,20.0,0.7,0.1418,0.1271,0.001,0.9675,0.978,0.047,0.0238,61,4.692,0.475,4.041,0.0,1,1
3,1.83,280.0,85.0,28.0,20.0,0.1,0.0368,3.78007,0.7512,0.2408,0.213,0.0124,0.0116,48,3.692,0.517,1.779,0.0,1,0
3,1.83,280.0,85.0,28.0,20.0,0.3,0.1329,0.87352,0.4186,0.5007,0.45,0.0052,0.0072,47,3.615,0.53,2.174,0.0,1,1
3,1.83,280.0,85.0,28.0,20.0,0.5,0.1447,0.29948,0.1721,0.779,0.723,0.0155,0.0177,68,5.231,0.476,2.93,0.0,1,1
3,1.83,280.0,85.0,28.0,20.0,0.7,0.0604,0.27669,0.1967,0.7903,0.78,0.0192,0.0217,55,4.231,0.441,2.976,0.0,1,1
4,1.75,250.0,105.0,28.0,30.0,0.1,0.0549,2.7742,0.5793,0.4083,0.305,0.0076,0.0058,69,5.308,0.37,2.432,0.0,1,1
4,1.75,250.0,105.0,28.0,30.0,0.3,0.1301,0.99981,0.5298,0.4244,0.413,0.0053,0.0068,46,3.538,0.52,1.938,0.0,1,1
4,1.75,250.0,105.0,28.0,30.0,0.5,0.0372,0.42556,0.3274,0.6523,0.557,0.007,0.0165,45,3.462,0.445,2.362,0.0,1,1
4,1.75,250.0,105.0,28.0,30.0,0.7,0.1544,0.23758,0.3118,0.686,0.682,0.011,0.0236,45,3.462,0.525,2.429,0.0,1,1
5,1.74,320.0,85.0,28.0,20.0,0.1,0.0592,2.93207,0.7126,0.2791,0.219,0.009,0.0134,45,3.462,0.522,2.116,0.0,1,0
5,1.74,320.0,85.0,28.0,20.0,0.3,-0.0245,0.81575,0.3436,0.5815,0.524,0.0039,0.0126,51,3.923,0.103,2.981,0.0,1,1
5,1.74,320.0,85.0,28.0,20.0,0.5,0.0185,0.37385,0.1565,0.7775,0.73,0.0153,0.0197,69,5.308,0.43,3.396,0.0,1,1
5,1.74,320.0,85.0,28.0,20.0,0.7,0.0362,0.1622,0.0406,0.9362,0.938,0.0429,0.0268,58,4.462,0.276,3.966,0.0,1,1
6,1.94,340.0,125.0,24.0,50.0,0.1,0.0528,3.90402,0.7346,0.2564,0.248,0.012,0.0082,62,4.769,0.456,7.247,0.219,1,0
6,1.94,340.0,125.0,24.0,50.0,0.3,0.0765,1.46979,0.4275,0.5102,0.526,0.0112,0.0089,60,4.615,0.509,10.455,0.459,1,1
6,1.94,340.0,125.0,24.0,50.0,0.5,-0.0128,0.54611,0.249,0.6096,0.623,0.0316,0.0179,62,4.769,0.052,14.503,0.594,1,1
6,1.94,340.0,125.0,24.0,50.0,0.7,0.1321,0.21443,0.0011,0.827,0.842,0.0562,0.033,58,4.462,0.477,19.407,0.619,1,1
7,1.74,250.0,105.0,28.0,30.0,0.1,0.0581,2.76685,0.5767,0.4086,0.304,0.0077,0.0065,68,5.231,0.383,2.413,0.0,1,1
7,1.74,250.0,105.0,28.0,30.0,0.3,0.1266,1.02639,0.5296,0.4251,0.412,0.0053,0.007,45,3.462,0.523,1.912,0.0,1,1
7,1.74,250.0,105.0,28.0,30.0,0.5,0.0518,0.44362,0.3485,0.6303,0.543,0.0057,0.0154,44,3.385,0.459,2.311,0.0,1,1
7,1.74,250.0,105.0,28.0,30.0,0.7,0.1539,0.224,0.309,0.6896,0.685,0.0111,0.0239,46,3.538,0.508,2.418,0.0,1,1
8,1.82,280.0,85.0,28.0,20.0,0.1,0.0366,3.75292,0.759,0.2334,0.206,0.0129,0.012,48,3.692,0.522,1.755,0.0,1,0
8,1.82,280.0,85.0,28.0,20.0,0.3,0.1309,0.86854,0.4201,0.5007,0.449,0.0052,0.0071,47,3.615,0.525,2.164,0.0,1,1
8,1.82,280.0,85.0,28.0,20.0,0.5,0.1521,0.29085,0.1852,0.7658,0.712,0.0183,0.023,55,4.231,0.486,2.983,0.0,1,1
8,1.82,280.0,85.0,28.0,20.0,0.7,0.1213,0.27963,0.2045,0.7852,0.772,0.0184,0.0227,55,4.231,0.47,2.979,0.0,1,1
9,1.67,320.0,85.0,28.0,10.0,0.1,0.0542,3.03299,0.777,0.2105,0.177,0.0101,0.0125,44,3.385,0.526,1.665,0.0,1,0
9,1.67,320.0,85.0,28.0,10.0,0.3,0.1022,0.99004,0.3819,0.5454,0.492,0.0076,0.0122,45,3.462,0.524,2.203,0.0,1,1
9,1.67,320.0,85.0,28.0,10.0,0.5,0.1015,0.35221,0.1452,0.794,0.714,0.0144,0.0182,86,6.615,0.378,2.807,0.0,1,1
