steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,653,378.7672,0.4793,35.5194,0.5460,13.3657,0.1981,0.2322,0.2000,-0.1622,-0.0077,0.1138,-0.1472,-0.0195,-0.0326,0.1190,0.3373,0.3211,0.3863,0.3529,0.3871
500000,591,424.7208,0.3181,38.1140,0.5252,12.1144,0.2509,0.2741,0.1901,-0.1272,-0.0075,0.1116,-0.1368,-0.0189,-0.0189,0.1265,0.3283,0.3216,0.3817,0.3529,0.3919
750000,593,419.7774,0.3221,39.2338,0.5102,12.0056,0.3405,0.2286,0.2027,-0.1267,-0.0083,0.1191,-0.1351,-0.0187,-0.0211,0.1394,0.3254,0.3140,0.3780,0.3503,0.3907
1000000,625,401.9216,0.3888,40.1746,0.4930,12.3962,0.3959,0.2054,0.2397,-0.1179,-0.0087,0.1316,-0.1440,-0.0190,-0.0255,0.1807,0.3259,0.3153,0.3758,0.3487,0.3902
1250000,610,409.9344,0.3590,42.9415,0.4635,12.3706,0.4385,0.1957,0.2440,-0.1246,-0.0091,0.1345,-0.1468,-0.0189,-0.0221,0.1817,0.3202,0.3110,0.3804,0.3480,0.3882
1500000,623,398.8234,0.4045,44.5261,0.4454,11.8569,0.4813,0.2154,0.2704,-0.1208,-0.0090,0.1392,-0.1480,-0.0190,-0.0281,0.2100,0.3188,0.3075,0.3862,0.3515,0.3875
1750000,589,425.7606,0.3073,43.1528,0.4301,11.7674,0.4573,0.2184,0.2774,-0.1315,-0.0091,0.1408,-0.1489,-0.0184,-0.0192,0.2116,0.3162,0.2999,0.3866,0.3523,0.3864
2000000,573,438.9546,0.2496,42.0487,0.4224,11.6882,0.4976,0.2042,0.2655,-0.1416,-0.0097,0.1449,-0.1476,-0.0181,-0.0147,0.1947,0.3141,0.2959,0.3825,0.3520,0.3896
2250000,574,433.5157,0.2822,42.0377,0.4312,11.4955,0.5057,0.2190,0.2820,-0.1278,-0.0092,0.1480,-0.1464,-0.0182,-0.0180,0.2181,0.3107,0.2926,0.3826,0.3520,0.3862
2500000,576,433.6597,0.2917,41.3280,0.4190,12.0216,0.4887,0.2243,0.3009,-0.1156,-0.0094,0.1510,-0.1487,-0.0184,-0.0172,0.2431,0.3105,0.2903,0.3818,0.3471,0.3916
2750000,570,438.2246,0.2860,39.3621,0.4147,12.8493,0.4288,0.2190,0.2994,-0.1372,-0.0096,0.1495,-0.1521,-0.0188,-0.0153,0.2307,0.3062,0.2921,0.3849,0.3443,0.3932
3000000,582,430.4914,0.2973,39.5289,0.4225,13.0573,0.4253,0.2165,0.2967,-0.1481,-0.0100,0.1484,-0.1533,-0.0186,-0.0195,0.2226,0.3080,0.2852,0.3882,0.3439,0.3947
