steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2291,108.9179,0.9969,15.4137,0.6526,11.2186,0.0917,0.0397,0.0697,-0.2036,-0.0038,0.0831,-0.1189,-0.0138,-0.1421,-0.0321,0.3615,0.3632,0.3665,0.3662,0.3679
500000,2334,107.0343,0.9906,36.6493,0.6498,12.2504,0.4560,0.1689,0.2160,-0.1457,-0.0045,0.0872,-0.1562,-0.0139,-0.1446,0.1431,0.3621,0.3630,0.3724,0.3674,0.3694
750000,1548,160.9574,0.9729,30.0613,0.6364,13.9156,0.2712,0.1600,0.1998,-0.1408,-0.0047,0.0974,-0.1536,-0.0147,-0.1024,0.1294,0.3606,0.3610,0.3754,0.3704,0.3716
1000000,1228,203.8314,0.9072,28.8598,0.6180,13.2818,0.2140,0.1544,0.1918,-0.1515,-0.0051,0.1016,-0.1526,-0.0156,-0.0883,0.1161,0.3604,0.3591,0.3765,0.3747,0.3717
1250000,972,256.1883,0.7953,26.6344,0.6064,12.9859,0.1486,0.1451,0.1797,-0.1665,-0.0052,0.1025,-0.1526,-0.0164,-0.0712,0.0964,0.3559,0.3540,0.3790,0.3727,0.3742
1500000,759,329.4730,0.6166,28.2046,0.6027,11.6713,0.1704,0.1370,0.1686,-0.1713,-0.0050,0.1028,-0.1500,-0.0169,-0.0498,0.0830,0.3533,0.3486,0.3800,0.3702,0.3771
1750000,760,330.3408,0.6145,28.3610,0.5745,12.9824,0.1168,0.1536,0.2060,-0.1867,-0.0055,0.1194,-0.1574,-0.0167,-0.0506,0.1127,0.3487,0.3463,0.3850,0.3721,0.3779
2000000,758,329.3760,0.6398,28.8984,0.5694,13.0125,0.1771,0.1687,0.2261,-0.1775,-0.0056,0.1217,-0.1621,-0.0171,-0.0459,0.1374,0.3467,0.3473,0.3868,0.3708,0.3798
2250000,760,328.4868,0.6487,27.8023,0.5657,15.1471,0.1089,0.1647,0.2277,-0.1919,-0.0060,0.1276,-0.1612,-0.0164,-0.0420,0.1318,0.3474,0.3433,0.3871,0.3745,0.3800
2500000,759,330.3188,0.6416,33.6517,0.5598,14.9220,0.1832,0.1693,0.2302,-0.1976,-0.0060,0.1301,-0.1653,-0.0149,-0.0462,0.1314,0.3453,0.3403,0.3909,0.3688,0.3765
2750000,736,337.2405,0.6291,35.4031,0.5415,15.4153,0.1289,0.1742,0.2546,-0.1907,-0.0063,0.1423,-0.1687,-0.0149,-0.0408,0.1592,0.3490,0.3364,0.3886,0.3672,0.3860
3000000,632,396.8149,0.4161,34.1937,0.5357,15.0356,0.2030,0.1607,0.2124,-0.1984,-0.0067,0.1354,-0.1575,-0.0153,-0.0288,0.1132,0.3437,0.3336,0.3997,0.3624,0.3849
