steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,619,399.8078,0.3683,31.9223,0.5501,13.2737,0.3008,0.2201,0.1779,-0.1623,-0.0064,0.1267,-0.1690,-0.0166,-0.0312,0.0968,0.3377,0.3342,0.3966,0.3507,0.3878
500000,573,437.3159,0.2478,33.5194,0.5351,12.2186,0.2845,0.1782,0.1848,-0.1689,-0.0059,0.1226,-0.1649,-0.0170,-0.0221,0.1004,0.3368,0.3280,0.4024,0.3487,0.3866
750000,658,380.4833,0.4407,40.6817,0.5081,12.2030,0.4059,0.1730,0.2080,-0.1799,-0.0064,0.1327,-0.1756,-0.0170,-0.0371,0.1180,0.3349,0.3270,0.4020,0.3459,0.3930
1000000,703,356.4381,0.5064,39.9887,0.5036,12.6586,0.4091,0.1704,0.2083,-0.1809,-0.0068,0.1338,-0.1732,-0.0167,-0.0450,0.1178,0.3357,0.3286,0.4117,0.3401,0.3976
1250000,654,381.3471,0.4343,37.0884,0.4968,13.2158,0.3805,0.1761,0.2221,-0.1933,-0.0072,0.1425,-0.1782,-0.0168,-0.0376,0.1255,0.3329,0.3241,0.4115,0.3389,0.3961
1500000,631,395.1632,0.4041,34.6467,0.4976,13.9699,0.3022,0.1767,0.2257,-0.1981,-0.0074,0.1468,-0.1797,-0.0169,-0.0306,0.1267,0.3309,0.3216,0.4110,0.3396,0.3986
1750000,595,422.0454,0.3176,35.7218,0.4953,13.1507,0.3016,0.1730,0.2096,-0.2033,-0.0072,0.1372,-0.1742,-0.0168,-0.0224,0.1079,0.3278,0.3214,0.4231,0.3413,0.4033
2000000,673,371.2630,0.4695,40.4920,0.5133,12.7026,0.3963,0.1579,0.1920,-0.1867,-0.0067,0.1313,-0.1668,-0.0165,-0.0430,0.0986,0.3308,0.3189,0.4146,0.3394,0.4007
2250000,671,371.3055,0.4694,39.6816,0.5197,13.4641,0.3778,0.1604,0.1955,-0.1862,-0.0070,0.1339,-0.1691,-0.0169,-0.0428,0.1024,0.3253,0.3152,0.4102,0.3422,0.3934
2500000,715,351.1664,0.5385,40.1158,0.5115,13.4727,0.3756,0.1716,0.2149,-0.1803,-0.0068,0.1400,-0.1731,-0.0168,-0.0488,0.1248,0.3213,0.3101,0.4112,0.3389,0.3925
2750000,679,367.3638,0.4521,38.6357,0.5200,13.8511,0.3529,0.1652,0.2058,-0.1893,-0.0066,0.1379,-0.1740,-0.0165,-0.0457,0.1112,0.3228,0.3074,0.4151,0.3372,0.3882
3000000,689,363.7881,0.4673,36.1744,0.5208,14.4974,0.2611,0.1801,0.2307,-0.1827,-0.0071,0.1464,-0.1794,-0.0168,-0.0470,0.1394,0.3194,0.3024,0.4178,0.3295,0.3885
