ckpt,steps,n_pass,mean_net_fwd
250k,250000,4,0.0591
500k,500000,8,0.1197
750k,750000,11,0.0925
1000k,1000000,10,0.0807
1250k,1250000,1,0.1324
1500k,1500000,1,0.0219
1750k,1750000,0,0.0254
2000k,2000000,1,0.028
2250k,2250000,3,0.0337
2500k,2500000,1,0.0277
2750k,2750000,2,0.0416
3000k,3000000,0,0.0189
final,1000000000,1,0.0225
