steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1359,182.4238,0.8190,14.0454,2.1076,0.2200,83.5048,0.0064,0.0088,-0.1390,0.6440,9.9968,0.1026,0.2796,0.0421,-0.1732,-0.0097,0.0000,0.0000,-0.0132,-0.1681,-0.1171,-0.0445,0.3440,0.3414,0.3615,0.3410,0.3705
500000,994,252.5262,0.7575,29.2447,11.0356,0.3700,102.1288,0.0106,0.0141,-0.1440,0.6245,12.1307,0.1739,0.1846,0.1409,-0.1034,-0.0099,0.0000,0.0000,-0.0125,-0.1514,-0.0732,0.0892,0.3333,0.3304,0.3560,0.3273,0.3657
750000,1498,166.8852,0.9613,30.7175,8.0678,0.3700,139.1667,0.0124,0.0159,-0.1370,0.6232,15.2770,0.0723,0.2442,0.1922,-0.0938,-0.0104,0.0000,0.0000,-0.0117,-0.1476,-0.0987,0.1453,0.3270,0.3238,0.3603,0.3213,0.3569
1000000,977,255.4852,0.8178,28.0219,1.0071,0.3700,119.9766,0.0160,0.0200,-0.1290,0.6262,15.5876,-0.0605,0.2199,0.1747,-0.1089,-0.0109,0.0000,0.0000,-0.0116,-0.1532,-0.0676,0.1203,0.3216,0.3163,0.3641,0.3177,0.3572
1250000,980,254.5918,0.8194,32.1732,-3.2934,0.3700,130.9407,0.0199,0.0247,-0.1283,0.6074,15.9231,-0.0420,0.2311,0.1922,-0.1221,-0.0114,0.0000,0.0000,-0.0116,-0.1570,-0.0700,0.1311,0.3148,0.3099,0.3648,0.3130,0.3617
1500000,824,303.3617,0.6881,31.7211,-3.1766,0.3700,121.0598,0.0229,0.0261,-0.0841,0.6062,15.4036,-0.0468,0.2249,0.1852,-0.1342,-0.0120,0.0000,0.0000,-0.0113,-0.1528,-0.0564,0.1182,0.3090,0.3051,0.3710,0.3083,0.3653
1750000,843,297.7497,0.7070,35.1165,-7.9463,0.3700,113.4145,0.0249,0.0257,-0.0295,0.6004,14.6940,0.0023,0.2321,0.1881,-0.1242,-0.0117,0.0000,0.0000,-0.0109,-0.1508,-0.0564,0.1260,0.2990,0.3046,0.3698,0.3046,0.3637
2000000,798,312.3684,0.6905,36.5119,-8.8476,0.3700,114.8786,0.0246,0.0258,-0.0316,0.6139,14.2094,0.0082,0.2303,0.1850,-0.1266,-0.0120,0.0000,0.0000,-0.0109,-0.1457,-0.0488,0.1217,0.2925,0.2994,0.3721,0.3021,0.3634
2250000,681,366.3201,0.4846,33.3697,-2.5836,0.3700,99.7320,0.0243,0.0281,-0.0813,0.6137,13.4242,-0.0332,0.2264,0.1770,-0.1371,-0.0120,0.0000,0.0000,-0.0111,-0.1437,-0.0420,0.1085,0.2818,0.2964,0.3722,0.2964,0.3643
2500000,717,349.5244,0.5495,31.5879,-8.6080,0.4200,95.4029,0.0250,0.0307,-0.1130,0.6124,14.9563,-0.1641,0.2169,0.2025,-0.1185,-0.0127,0.0000,0.0000,-0.0111,-0.1443,-0.0448,0.1432,0.2759,0.2904,0.3722,0.2936,0.3648
2750000,691,361.3111,0.5036,31.8562,-3.7003,0.4200,99.9225,0.0276,0.0321,-0.0843,0.6114,16.0875,-0.2901,0.2207,0.2074,-0.1301,-0.0128,0.0000,0.0000,-0.0110,-0.1444,-0.0420,0.1423,0.2728,0.2822,0.3716,0.2887,0.3648
3000000,753,332.5033,0.5976,31.1254,-11.6417,0.4200,102.9213,0.0280,0.0326,-0.0812,0.6051,17.0143,-0.3483,0.2591,0.2479,-0.1047,-0.0135,0.0000,0.0000,-0.0115,-0.1470,-0.0491,0.1955,0.2685,0.2742,0.3723,0.2795,0.3654
