ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0002
500k,500000,3,0.0647
750k,750000,8,0.1804
1000k,1000000,8,0.1182
1250k,1250000,8,0.1275
1500k,1500000,7,0.0838
1750k,1750000,8,0.0835
2000k,2000000,9,0.113
2250k,2250000,6,0.0829
2500k,2500000,9,0.2998
2750k,2750000,8,0.2755
3000k,3000000,8,0.322
final,1000000000,11,0.3347
