ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,0.0001
500k,500000,0,0.0
750k,750000,0,0.0002
1000k,1000000,0,-0.0001
1250k,1250000,2,0.0861
1500k,1500000,0,-0.0002
1750k,1750000,9,0.1638
2000k,2000000,11,0.1925
2250k,2250000,8,0.2501
2500k,2500000,4,0.2283
2750k,2750000,2,0.1067
3000k,3000000,7,0.1698
final,1000000000,10,0.26
