ckpt,steps,n_pass,mean_net_fwd
250k,250000,6,0.0772
500k,500000,7,0.1703
750k,750000,11,0.2268
1000k,1000000,9,0.1543
1250k,1250000,9,0.1472
1500k,1500000,5,0.1575
1750k,1750000,7,0.062
2000k,2000000,11,0.1739
2250k,2250000,10,0.0633
2500k,2500000,12,0.2144
2750k,2750000,6,0.0692
3000k,3000000,9,0.1165
final,1000000000,7,0.114
