freq,hip_phi,leg_amp,hip_amp,hip_off,mu,v_net,fore_mean,fore_min,pct_behind,base_mm,pitch_p2p
1.29,280.0,75.0,32.0,30.0,0.5,0.0698,-5.7,-66.7,60.7,40.8,35.7
1.46,270.0,75.0,28.0,10.0,0.5,0.0698,-4.7,-74.2,68.0,46.5,20.3
1.47,300.0,75.0,28.0,10.0,0.5,0.0698,-9.6,-77.6,68.3,43.8,28.0
1.36,280.0,75.0,28.0,30.0,0.5,0.0698,-6.1,-65.0,61.7,48.7,28.4
1.41,270.0,75.0,24.0,20.0,0.5,0.0697,-4.7,-66.3,63.6,48.6,20.5
1.26,270.0,85.0,28.0,40.0,0.5,0.0697,-4.2,-60.9,59.9,51.9,28.2
1.34,310.0,75.0,28.0,20.0,0.5,0.0697,-8.1,-69.5,68.9,49.6,26.3
1.46,300.0,75.0,24.0,20.0,0.5,0.0697,-7.4,-71.8,68.8,43.6,24.2
1.44,300.0,75.0,32.0,10.0,0.5,0.0697,-11.3,-77.2,70.7,40.7,30.2
1.43,290.0,75.0,24.0,20.0,0.5,0.0697,-6.7,-65.2,71.2,45.2,23.2
1.49,350.0,75.0,32.0,20.0,0.5,0.0696,-11.5,-73.6,61.0,30.1,38.1
1.26,260.0,75.0,32.0,20.0,0.5,0.0696,-2.8,-73.2,63.5,36.5,29.1
1.32,290.0,85.0,20.0,20.0,0.5,0.0696,-3.8,-51.8,66.6,47.7,22.2
1.36,250.0,75.0,28.0,30.0,0.5,0.0696,-4.1,-64.4,60.6,49.3,25.0
1.46,280.0,75.0,20.0,20.0,0.5,0.0696,-4.0,-51.4,67.8,44.4,19.9
1.26,290.0,85.0,32.0,0.0,0.5,0.0696,-2.0,-23.1,60.9,4.6,18.1
1.28,260.0,85.0,24.0,30.0,0.5,0.0696,-3.2,-59.4,67.1,54.4,20.0
1.36,280.0,75.0,24.0,30.0,0.5,0.0696,-5.1,-66.5,57.4,50.6,21.9
1.42,310.0,75.0,28.0,30.0,0.5,0.0696,-9.0,-67.5,72.0,44.7,29.8
1.26,300.0,85.0,32.0,20.0,0.5,0.0695,-8.2,-72.6,67.6,45.8,34.2
1.27,280.0,85.0,28.0,30.0,0.5,0.0695,-5.4,-64.6,65.8,52.0,27.6
1.33,290.0,75.0,32.0,0.0,0.5,0.0695,-1.9,-23.4,60.1,3.0,15.3
1.43,310.0,75.0,28.0,30.0,0.5,0.0695,-9.2,-67.7,72.7,44.2,29.6
1.43,250.0,75.0,32.0,40.0,0.5,0.0695,-6.0,-62.4,59.0,42.0,34.2
1.38,280.0,75.0,20.0,40.0,0.5,0.0695,-3.3,-62.7,50.7,49.3,20.9
1.48,270.0,75.0,20.0,30.0,0.5,0.0695,-3.9,-57.0,57.4,45.4,18.9
1.48,290.0,75.0,20.0,20.0,0.5,0.0695,-5.0,-49.9,65.3,42.4,21.2
1.26,330.0,85.0,28.0,20.0,0.5,0.0694,-8.7,-72.4,67.4,49.9,31.3
1.27,290.0,85.0,28.0,30.0,0.5,0.0694,-6.3,-68.1,64.6,50.2,31.3
1.36,300.0,75.0,24.0,30.0,0.5,0.0694,-5.2,-64.1,59.5,51.3,25.0
1.31,270.0,75.0,28.0,20.0,0.5,0.0694,-5.2,-71.5,67.4,51.4,23.0
1.37,270.0,75.0,24.0,30.0,0.5,0.0694,-4.5,-65.7,58.6,50.6,20.6
1.49,340.0,75.0,32.0,20.0,0.5,0.0694,-11.8,-73.3,62.2,28.5,38.9
1.29,270.0,75.0,32.0,30.0,0.5,0.0693,-5.8,-67.2,62.1,41.8,34.1
1.37,300.0,75.0,24.0,30.0,0.5,0.0693,-5.3,-64.1,60.2,52.2,24.6
1.29,270.0,85.0,24.0,40.0,0.5,0.0693,-3.2,-61.6,52.0,53.5,22.0
1.49,300.0,75.0,24.0,30.0,0.5,0.0692,-7.4,-66.4,69.0,44.7,24.6
1.31,290.0,75.0,24.0,30.0,0.5,0.0692,-5.0,-63.4,52.0,52.3,22.9
1.37,280.0,75.0,28.0,30.0,0.5,0.0692,-6.5,-67.7,62.5,49.4,29.2
1.26,280.0,75.0,32.0,40.0,0.5,0.0691,-6.2,-63.0,61.8,42.9,33.1
1.27,310.0,85.0,24.0,20.0,0.5,0.0691,-5.7,-68.0,55.5,49.3,27.0
1.43,290.0,75.0,28.0,10.0,0.5,0.0691,-8.5,-77.1,69.7,45.7,23.7
1.33,270.0,75.0,32.0,10.0,0.5,0.0691,-0.1,-35.2,64.2,9.2,17.5
1.49,240.0,75.0,32.0,40.0,0.5,0.0691,-6.2,-62.0,60.1,41.1,29.3
1.31,290.0,85.0,20.0,20.0,0.5,0.0691,-3.8,-51.7,66.0,47.5,22.1
1.47,300.0,75.0,24.0,20.0,0.5,0.0691,-7.6,-71.8,68.6,43.1,24.4
1.43,290.0,75.0,24.0,10.0,0.5,0.0691,-5.4,-72.3,68.4,44.0,22.4
1.36,290.0,75.0,32.0,0.0,0.5,0.0691,-1.7,-23.6,58.5,3.2,15.9
1.31,290.0,85.0,28.0,10.0,0.5,0.069,-5.3,-76.5,69.6,46.9,25.7
1.33,280.0,75.0,28.0,30.0,0.5,0.069,-6.0,-65.5,63.7,50.0,27.9
1.44,280.0,75.0,20.0,20.0,0.5,0.069,-3.8,-51.4,65.6,44.8,19.3
1.44,290.0,75.0,24.0,10.0,0.5,0.069,-5.4,-71.7,68.1,43.6,23.2
1.37,270.0,75.0,32.0,10.0,0.5,0.069,0.3,-45.8,63.3,9.2,18.7
1.26,270.0,75.0,32.0,10.0,0.5,0.069,-0.7,-36.2,60.1,11.9,17.6
1.34,290.0,75.0,32.0,0.0,0.5,0.069,-1.8,-23.5,59.4,3.3,15.6
1.26,270.0,75.0,32.0,30.0,0.5,0.069,-4.7,-66.4,58.2,40.3,34.5
1.39,280.0,75.0,28.0,40.0,0.5,0.069,-5.3,-63.8,61.1,44.5,29.7
1.34,270.0,75.0,32.0,10.0,0.5,0.069,0.0,-34.0,63.7,8.9,18.0
1.47,310.0,75.0,28.0,30.0,0.5,0.069,-9.2,-67.5,71.7,43.1,30.5
1.43,310.0,75.0,28.0,20.0,0.5,0.0689,-9.9,-70.4,71.8,45.5,28.9
1.46,300.0,75.0,28.0,10.0,0.5,0.0689,-9.4,-77.5,69.1,43.2,25.9
1.32,250.0,75.0,32.0,30.0,0.5,0.0689,-3.2,-67.3,53.6,33.1,30.2
1.44,300.0,75.0,24.0,20.0,0.5,0.0689,-7.2,-71.8,69.2,43.9,24.0
1.49,320.0,75.0,32.0,10.0,0.5,0.0689,-12.7,-75.3,71.2,34.4,30.9
1.48,310.0,75.0,28.0,30.0,0.5,0.0689,-9.6,-67.9,72.7,42.5,30.0
1.42,240.0,75.0,32.0,40.0,0.5,0.0689,-3.5,-63.7,49.8,33.2,32.5
1.34,280.0,75.0,24.0,30.0,0.5,0.0688,-4.9,-66.3,57.2,50.8,21.4
1.31,300.0,85.0,24.0,30.0,0.5,0.0688,-5.3,-62.6,58.3,52.6,28.3
1.31,260.0,85.0,28.0,40.0,0.5,0.0688,-4.0,-60.9,58.0,53.1,25.0
1.44,270.0,75.0,20.0,20.0,0.5,0.0688,-3.3,-53.6,67.8,46.9,17.5
1.47,310.0,75.0,24.0,30.0,0.5,0.0688,-7.3,-66.3,66.4,46.5,26.1
1.42,290.0,75.0,24.0,20.0,0.5,0.0688,-6.5,-65.2,70.9,45.9,23.1
1.34,300.0,75.0,28.0,20.0,0.5,0.0687,-8.0,-69.4,72.8,49.2,25.4
1.48,280.0,75.0,24.0,40.0,0.5,0.0687,-4.8,-61.7,56.2,50.1,23.2
1.34,270.0,75.0,28.0,30.0,0.5,0.0687,-4.9,-63.2,62.1,49.2,25.6
1.44,280.0,75.0,24.0,40.0,0.5,0.0687,-4.5,-62.0,57.0,49.0,22.7
1.47,320.0,75.0,28.0,30.0,0.5,0.0687,-9.5,-67.5,70.7,43.1,31.1
1.39,300.0,75.0,28.0,20.0,0.5,0.0686,-9.0,-69.2,72.9,46.9,25.8
1.29,290.0,85.0,20.0,20.0,0.5,0.0686,-3.8,-43.5,66.7,48.1,22.6
1.49,320.0,75.0,24.0,30.0,0.5,0.0686,-7.5,-67.0,70.0,44.9,25.9
1.32,280.0,85.0,20.0,30.0,0.5,0.0686,-3.4,-59.2,64.1,48.6,22.2
1.46,250.0,75.0,32.0,40.0,0.5,0.0686,-6.3,-62.7,59.4,41.9,33.7
1.28,300.0,85.0,24.0,20.0,0.5,0.0686,-5.6,-71.4,62.7,50.2,25.6
1.26,320.0,85.0,32.0,20.0,0.5,0.0685,-10.0,-73.1,70.0,44.9,34.9
1.42,270.0,75.0,24.0,40.0,0.5,0.0685,-4.5,-61.7,54.0,49.2,21.7
1.41,290.0,75.0,20.0,40.0,0.5,0.0685,-4.0,-53.8,51.5,48.3,20.7
1.29,260.0,75.0,28.0,20.0,0.5,0.0685,-3.7,-70.1,69.0,51.6,21.8
1.36,270.0,75.0,24.0,30.0,0.5,0.0684,-4.6,-66.1,58.8,49.8,20.5
1.37,250.0,75.0,32.0,40.0,0.5,0.0684,-3.8,-63.4,55.5,35.5,33.7
1.27,280.0,85.0,24.0,20.0,0.5,0.0684,-4.2,-66.1,67.7,51.3,23.4
1.32,240.0,75.0,32.0,30.0,0.5,0.0684,-3.5,-67.4,53.1,36.0,30.3
1.48,340.0,75.0,32.0,20.0,0.5,0.0684,-11.9,-73.1,62.3,29.3,38.6
1.39,260.0,75.0,28.0,40.0,0.5,0.0683,-4.7,-63.5,62.2,45.0,27.4
1.39,280.0,75.0,24.0,20.0,0.5,0.0683,-5.0,-65.3,65.8,48.0,21.2
1.46,250.0,75.0,24.0,40.0,0.5,0.0683,-3.1,-61.5,48.7,50.6,17.7
1.29,300.0,85.0,24.0,30.0,0.5,0.0683,-4.6,-66.7,57.4,53.2,27.6
1.32,270.0,75.0,28.0,40.0,0.5,0.0683,-4.7,-61.2,57.9,50.6,25.4
1.47,270.0,75.0,20.0,30.0,0.5,0.0683,-3.5,-56.9,55.4,45.3,18.8
1.47,240.0,75.0,28.0,40.0,0.5,0.0683,-5.3,-60.9,57.5,46.1,22.7
1.33,280.0,75.0,32.0,40.0,0.5,0.0683,-6.1,-62.6,61.5,46.4,32.8
1.44,290.0,75.0,24.0,40.0,0.5,0.0683,-5.1,-61.9,55.7,49.3,24.0
1.49,300.0,75.0,24.0,10.0,0.5,0.0683,-6.9,-72.9,67.2,42.9,23.4
1.28,270.0,85.0,24.0,40.0,0.5,0.0683,-3.8,-61.7,53.0,52.9,22.1
1.49,250.0,75.0,32.0,40.0,0.5,0.0682,-6.5,-62.9,60.5,42.3,31.3
1.34,280.0,75.0,28.0,30.0,0.5,0.0682,-5.9,-65.8,61.7,49.6,28.7
1.49,320.0,75.0,28.0,20.0,0.5,0.0682,-10.7,-72.5,69.7,39.2,30.0
1.33,300.0,75.0,28.0,20.0,0.5,0.0682,-7.9,-69.8,72.5,49.6,25.0
1.41,290.0,75.0,24.0,20.0,0.5,0.0682,-6.3,-71.5,70.8,47.0,23.0
1.46,320.0,75.0,32.0,20.0,0.5,0.0682,-12.1,-72.8,69.4,38.5,35.3
1.29,290.0,85.0,28.0,10.0,0.5,0.0682,-5.6,-72.5,72.1,50.0,24.1
1.36,240.0,75.0,32.0,30.0,0.5,0.0682,-5.3,-67.2,59.3,40.8,29.9
1.38,300.0,75.0,28.0,20.0,0.5,0.0682,-8.5,-68.8,72.5,48.4,25.9
1.26,290.0,85.0,24.0,30.0,0.5,0.0682,-4.9,-63.8,63.4,52.0,26.1
1.39,320.0,75.0,24.0,30.0,0.5,0.0682,-6.8,-66.1,61.4,49.0,25.8
1.49,270.0,75.0,16.0,50.0,0.5,0.0682,-2.0,-60.0,47.8,39.1,17.7
1.26,330.0,85.0,24.0,20.0,0.5,0.0681,-6.7,-69.0,50.7,48.9,28.9
1.31,280.0,75.0,28.0,20.0,0.5,0.0681,-5.9,-70.8,67.0,50.3,25.6
1.41,250.0,75.0,32.0,40.0,0.5,0.0681,-5.7,-63.3,59.0,43.0,33.4
1.48,300.0,75.0,28.0,0.0,0.5,0.0681,-1.5,-29.0,64.5,9.7,17.4
1.42,290.0,75.0,20.0,40.0,0.5,0.0681,-4.1,-61.5,52.4,47.7,21.1
1.48,280.0,75.0,20.0,30.0,0.5,0.0681,-4.5,-47.3,60.7,44.6,20.3
1.32,260.0,75.0,32.0,30.0,0.5,0.068,-5.1,-67.2,58.7,37.5,32.9
1.43,300.0,75.0,24.0,30.0,0.5,0.068,-6.8,-66.5,64.4,47.6,24.7
1.41,270.0,75.0,24.0,40.0,0.5,0.068,-4.2,-61.8,53.0,50.3,21.6
1.28,290.0,85.0,20.0,20.0,0.5,0.068,-3.7,-50.7,66.9,47.6,22.5
1.32,320.0,85.0,28.0,30.0,0.5,0.068,-8.1,-67.7,62.8,49.0,33.0
1.38,320.0,75.0,24.0,30.0,0.5,0.068,-7.0,-65.8,61.5,48.9,25.6
1.27,270.0,75.0,32.0,10.0,0.5,0.068,-0.8,-42.8,59.2,12.0,17.9
1.27,260.0,85.0,24.0,30.0,0.5,0.068,-3.4,-59.7,68.5,55.9,20.1
1.46,280.0,75.0,24.0,40.0,0.5,0.068,-4.5,-62.4,55.7,49.5,23.0
1.32,300.0,85.0,28.0,0.0,0.5,0.068,-2.5,-25.6,68.1,10.0,19.2
1.37,290.0,75.0,32.0,0.0,0.5,0.068,-1.7,-23.6,58.7,3.5,16.0
1.31,310.0,75.0,28.0,20.0,0.5,0.0679,-7.9,-68.7,68.2,49.9,26.0
1.49,260.0,75.0,20.0,30.0,0.5,0.0679,-3.5,-46.4,58.9,47.3,16.8
1.48,300.0,75.0,24.0,30.0,0.5,0.0679,-7.6,-66.3,69.1,45.7,24.5
1.27,280.0,85.0,24.0,30.0,0.5,0.0679,-3.8,-66.0,61.7,52.9,24.4
1.33,280.0,75.0,24.0,30.0,0.5,0.0679,-5.0,-66.4,56.7,52.0,21.3
1.36,300.0,75.0,32.0,0.0,0.5,0.0679,-2.4,-42.1,61.7,7.3,16.9
1.42,300.0,75.0,20.0,40.0,0.5,0.0679,-4.4,-63.0,53.3,47.7,22.2
1.26,320.0,85.0,24.0,20.0,0.5,0.0679,-6.2,-67.2,51.3,48.7,28.3
1.27,300.0,75.0,24.0,30.0,0.5,0.0679,-5.0,-64.1,50.3,52.6,24.2
1.28,290.0,85.0,28.0,10.0,0.5,0.0679,-5.3,-75.7,71.4,48.8,24.3
1.38,280.0,75.0,24.0,20.0,0.5,0.0679,-5.2,-65.3,65.5,47.9,21.0
1.42,290.0,75.0,28.0,10.0,0.5,0.0678,-8.6,-76.9,70.0,45.5,23.5
1.28,290.0,85.0,24.0,20.0,0.5,0.0678,-4.8,-71.3,67.7,50.2,25.0
1.27,300.0,85.0,28.0,30.0,0.5,0.0678,-6.7,-67.6,65.3,46.5,34.1
1.49,250.0,75.0,24.0,40.0,0.5,0.0678,-3.6,-61.6,49.3,49.9,17.9
1.28,300.0,85.0,24.0,30.0,0.5,0.0677,-4.8,-60.6,55.9,53.1,27.3
1.41,290.0,75.0,28.0,10.0,0.5,0.0677,-8.3,-77.3,70.2,46.4,23.5
1.37,310.0,75.0,32.0,20.0,0.5,0.0677,-10.4,-72.9,70.1,42.8,31.7
1.29,300.0,85.0,28.0,30.0,0.5,0.0677,-6.7,-68.0,65.2,46.6,33.9
1.46,270.0,75.0,20.0,30.0,0.5,0.0677,-3.7,-58.5,54.4,45.9,18.8
1.34,290.0,75.0,32.0,20.0,0.5,0.0677,-8.6,-73.0,66.7,42.2,35.0
1.44,320.0,75.0,24.0,30.0,0.5,0.0677,-7.2,-66.4,65.8,46.6,25.8
1.48,320.0,75.0,24.0,30.0,0.5,0.0676,-7.8,-66.8,69.1,46.0,25.6
1.47,290.0,75.0,20.0,20.0,0.5,0.0676,-4.7,-50.0,65.1,42.3,20.8
1.26,280.0,85.0,24.0,20.0,0.5,0.0676,-4.1,-66.2,68.2,51.6,23.5
1.38,280.0,75.0,28.0,40.0,0.5,0.0676,-5.8,-63.7,59.8,48.4,28.3
1.26,260.0,75.0,28.0,20.0,0.5,0.0676,-4.6,-71.1,66.8,51.2,20.8
1.47,250.0,75.0,24.0,40.0,0.5,0.0676,-3.5,-60.4,48.6,49.6,17.7
1.32,300.0,75.0,20.0,40.0,0.5,0.0676,-3.4,-63.7,51.0,48.0,25.3
1.41,310.0,75.0,28.0,30.0,0.5,0.0676,-9.0,-65.2,73.6,45.0,27.9
1.43,280.0,75.0,20.0,20.0,0.5,0.0676,-3.9,-52.4,65.4,45.7,19.3
1.36,310.0,75.0,28.0,20.0,0.5,0.0675,-8.3,-68.7,70.3,48.3,26.9
1.26,300.0,85.0,24.0,20.0,0.5,0.0675,-5.4,-69.8,63.9,48.9,25.7
1.42,260.0,75.0,24.0,20.0,0.5,0.0675,-3.7,-70.8,61.8,48.4,19.6
1.32,280.0,75.0,28.0,40.0,0.5,0.0674,-5.0,-61.5,57.7,49.1,26.6
1.34,290.0,75.0,24.0,40.0,0.5,0.0674,-3.8,-62.3,54.4,51.9,24.1
1.43,280.0,75.0,24.0,40.0,0.5,0.0674,-4.8,-62.6,58.1,50.0,22.7
1.38,250.0,75.0,32.0,40.0,0.5,0.0674,-5.0,-63.4,55.8,40.2,32.6
1.36,250.0,75.0,32.0,40.0,0.5,0.0674,-5.4,-58.6,60.2,44.8,28.1
1.29,260.0,85.0,28.0,40.0,0.5,0.0674,-3.9,-59.9,58.1,54.6,23.4
1.43,300.0,75.0,32.0,10.0,0.5,0.0674,-10.6,-76.0,69.9,42.0,30.3
1.41,250.0,75.0,24.0,40.0,0.5,0.0674,-3.3,-61.8,48.7,51.5,17.7
1.27,300.0,85.0,32.0,30.0,0.5,0.0674,-8.0,-67.4,63.3,44.2,39.8
1.32,290.0,75.0,32.0,0.0,0.5,0.0674,-2.2,-23.5,60.8,3.3,15.5
1.26,290.0,85.0,28.0,30.0,0.5,0.0673,-6.3,-63.5,64.5,50.3,30.4
1.38,270.0,75.0,32.0,10.0,0.5,0.0673,0.5,-34.7,64.0,8.3,18.1
1.38,310.0,75.0,32.0,20.0,0.5,0.0673,-10.9,-72.5,70.8,42.6,31.9
1.41,260.0,75.0,24.0,20.0,0.5,0.0673,-3.9,-65.8,62.0,49.6,19.6
1.46,320.0,75.0,24.0,30.0,0.5,0.0673,-7.5,-66.5,67.8,46.5,25.8
1.46,320.0,75.0,28.0,30.0,0.5,0.0673,-9.3,-68.0,70.1,43.1,31.8
1.28,260.0,75.0,28.0,20.0,0.5,0.0673,-4.9,-70.2,67.4,51.6,21.3
1.26,300.0,85.0,28.0,30.0,0.5,0.0673,-6.7,-67.7,62.8,49.2,34.0
1.31,270.0,75.0,32.0,10.0,0.5,0.0673,-0.4,-32.6,63.9,10.1,18.0
1.39,260.0,75.0,24.0,40.0,0.5,0.0673,-3.7,-62.1,51.7,51.4,19.8
1.48,270.0,75.0,16.0,50.0,0.5,0.0673,-2.1,-60.3,47.9,39.5,17.7
1.46,310.0,75.0,24.0,30.0,0.5,0.0673,-7.3,-66.8,66.9,46.3,26.0
1.39,290.0,75.0,24.0,20.0,0.5,0.0672,-5.5,-64.8,67.8,47.6,22.6
1.34,280.0,75.0,28.0,20.0,0.5,0.0672,-4.7,-68.8,65.1,46.6,26.9
1.33,290.0,75.0,24.0,40.0,0.5,0.0672,-4.2,-62.6,55.1,52.4,24.4
1.34,260.0,75.0,28.0,30.0,0.5,0.0671,-4.0,-64.8,61.4,48.1,25.6
1.27,300.0,75.0,32.0,30.0,0.5,0.0671,-7.8,-67.9,64.6,45.7,37.3
1.49,290.0,75.0,20.0,30.0,0.5,0.0671,-4.9,-61.2,57.9,44.5,21.2
1.32,270.0,75.0,32.0,10.0,0.5,0.0671,-0.0,-40.7,62.2,9.6,18.7
1.32,300.0,85.0,20.0,20.0,0.5,0.0671,-4.1,-44.5,61.6,47.9,24.1
1.38,290.0,75.0,32.0,10.0,0.5,0.0671,-4.7,-77.6,67.4,28.6,28.5
1.31,280.0,75.0,32.0,30.0,0.5,0.0671,-6.1,-67.0,60.1,40.4,35.6
1.43,270.0,75.0,28.0,10.0,0.5,0.0671,-4.4,-71.5,69.5,46.2,20.2
1.46,290.0,75.0,24.0,10.0,0.5,0.0671,-5.2,-77.7,67.2,44.8,23.7
1.47,240.0,75.0,32.0,40.0,0.5,0.0671,-5.1,-63.3,56.0,35.3,33.0
1.36,300.0,75.0,28.0,20.0,0.5,0.0671,-8.3,-69.0,73.6,48.9,25.5
1.41,280.0,75.0,24.0,40.0,0.5,0.067,-4.5,-62.2,55.4,50.3,22.3
1.43,300.0,75.0,24.0,20.0,0.5,0.067,-7.2,-71.8,68.6,44.4,24.0
1.29,270.0,75.0,32.0,10.0,0.5,0.067,-0.5,-30.2,62.6,10.7,17.5
1.43,270.0,75.0,20.0,20.0,0.5,0.067,-3.2,-53.3,68.0,47.9,17.5
1.31,300.0,85.0,28.0,0.0,0.5,0.067,-2.4,-22.1,68.9,10.0,18.7
1.44,250.0,75.0,24.0,40.0,0.5,0.067,-3.4,-61.8,50.8,50.7,18.3
1.46,290.0,75.0,20.0,20.0,0.5,0.067,-4.9,-50.2,65.1,43.4,21.0
1.27,250.0,75.0,32.0,20.0,0.5,0.067,-2.1,-67.6,62.5,35.6,23.1
1.29,300.0,75.0,28.0,20.0,0.5,0.067,-7.2,-68.2,68.2,52.1,24.9
1.34,310.0,75.0,32.0,20.0,0.5,0.067,-10.5,-72.8,70.5,44.7,31.0
1.31,280.0,85.0,20.0,30.0,0.5,0.067,-3.6,-58.7,65.0,48.9,22.4
1.47,320.0,75.0,32.0,20.0,0.5,0.067,-11.7,-72.7,67.0,34.1,38.8
1.49,310.0,75.0,24.0,20.0,0.5,0.067,-8.3,-72.0,67.2,41.3,25.3
1.27,270.0,75.0,32.0,30.0,0.5,0.067,-4.8,-67.5,61.1,38.6,34.8
1.26,260.0,75.0,32.0,10.0,0.5,0.0669,-0.4,-75.5,57.4,17.5,18.4
1.47,250.0,75.0,32.0,10.0,0.5,0.0669,2.5,-74.9,54.9,7.8,18.6
1.39,270.0,75.0,24.0,20.0,0.5,0.0669,-4.6,-71.1,62.0,48.7,21.1
1.37,280.0,75.0,24.0,20.0,0.5,0.0669,-5.0,-66.1,64.2,48.7,21.1
1.34,250.0,75.0,32.0,30.0,0.5,0.0669,-4.9,-67.8,57.0,35.2,30.2
1.39,240.0,75.0,28.0,30.0,0.5,0.0669,-3.9,-63.1,55.6,41.5,25.6
1.27,270.0,85.0,24.0,30.0,0.5,0.0669,-3.9,-59.6,63.5,53.7,22.3
1.48,260.0,75.0,20.0,30.0,0.5,0.0668,-3.5,-33.2,58.3,47.7,17.2
1.48,300.0,75.0,24.0,40.0,0.5,0.0668,-5.6,-61.5,57.4,48.0,26.4
1.31,300.0,85.0,28.0,30.0,0.5,0.0668,-6.5,-67.7,60.9,43.8,35.8
1.27,320.0,85.0,32.0,20.0,0.5,0.0668,-10.1,-72.8,70.5,45.9,35.3
1.39,310.0,75.0,32.0,20.0,0.5,0.0668,-11.0,-72.4,70.7,42.2,31.8
1.42,290.0,75.0,24.0,10.0,0.5,0.0668,-5.5,-73.1,68.7,44.1,22.0
1.33,280.0,75.0,28.0,40.0,0.5,0.0667,-5.2,-62.8,58.3,49.0,27.6
1.44,340.0,75.0,32.0,20.0,0.5,0.0667,-11.0,-73.0,63.1,35.5,36.8
1.47,320.0,75.0,24.0,30.0,0.5,0.0667,-7.6,-67.0,68.6,46.0,25.9
1.37,300.0,75.0,28.0,20.0,0.5,0.0667,-8.9,-69.2,74.0,48.7,25.6
1.38,290.0,75.0,20.0,40.0,0.5,0.0667,-3.8,-62.7,52.0,50.6,20.7
1.32,330.0,85.0,24.0,20.0,0.5,0.0667,-7.4,-68.1,59.4,49.4,28.7
1.43,290.0,75.0,24.0,40.0,0.5,0.0666,-5.1,-61.9,56.0,50.0,23.8
1.32,310.0,75.0,28.0,20.0,0.5,0.0666,-8.3,-68.8,69.9,50.8,26.1
1.47,280.0,75.0,24.0,40.0,0.5,0.0666,-4.7,-61.7,56.4,49.6,23.0
1.48,250.0,75.0,24.0,40.0,0.5,0.0666,-3.8,-61.7,48.9,50.1,17.9
1.49,310.0,75.0,24.0,30.0,0.5,0.0666,-7.6,-67.1,69.6,45.3,25.8
1.29,290.0,75.0,28.0,20.0,0.5,0.0666,-6.6,-70.6,67.5,52.2,24.2
1.42,310.0,75.0,28.0,20.0,0.5,0.0666,-9.5,-70.8,70.6,45.9,28.7
1.44,260.0,75.0,20.0,30.0,0.5,0.0666,-3.1,-44.6,59.3,47.5,16.7
1.43,240.0,75.0,32.0,40.0,0.5,0.0666,-4.1,-64.4,52.5,32.5,33.4
1.32,280.0,75.0,28.0,30.0,0.5,0.0665,-5.7,-67.1,63.4,49.0,29.4
1.31,310.0,75.0,28.0,30.0,0.5,0.0665,-7.3,-68.1,62.7,48.9,32.8
1.37,250.0,75.0,28.0,30.0,0.5,0.0665,-4.4,-64.6,60.8,47.1,25.2
1.48,300.0,75.0,24.0,10.0,0.5,0.0665,-6.9,-73.2,67.5,44.2,23.2
1.38,310.0,75.0,28.0,20.0,0.5,0.0665,-8.9,-70.1,70.7,47.7,28.1
1.48,320.0,75.0,32.0,10.0,0.5,0.0665,-13.0,-74.9,72.4,36.3,30.9
1.26,310.0,85.0,28.0,20.0,0.5,0.0665,-7.7,-73.1,68.4,48.6,32.9
1.27,300.0,85.0,28.0,20.0,0.5,0.0665,-6.9,-67.1,65.8,49.9,30.5
1.33,260.0,75.0,28.0,30.0,0.5,0.0665,-4.9,-65.0,62.4,50.9,24.3
1.44,320.0,75.0,32.0,20.0,0.5,0.0664,-11.6,-72.8,68.9,37.0,34.9
1.31,330.0,85.0,24.0,20.0,0.5,0.0664,-7.3,-65.9,56.5,50.1,28.6
1.26,260.0,85.0,24.0,30.0,0.5,0.0664,-3.1,-59.1,66.6,55.5,19.7
1.36,280.0,75.0,24.0,20.0,0.5,0.0664,-4.8,-65.3,63.3,49.7,20.9
1.27,290.0,85.0,20.0,20.0,0.5,0.0664,-3.5,-49.8,67.3,48.1,22.8
1.47,300.0,75.0,24.0,30.0,0.5,0.0664,-7.3,-66.6,68.2,45.9,24.3
1.41,310.0,75.0,28.0,20.0,0.5,0.0664,-9.6,-71.9,71.5,46.3,29.6
1.39,240.0,75.0,28.0,40.0,0.5,0.0664,-2.3,-63.8,49.7,37.5,28.8
1.42,280.0,75.0,20.0,20.0,0.5,0.0664,-3.9,-52.1,65.7,46.1,19.1
1.47,280.0,75.0,20.0,30.0,0.5,0.0663,-4.5,-47.3,60.1,44.2,20.1
1.46,290.0,75.0,20.0,40.0,0.5,0.0663,-4.3,-59.9,52.3,46.6,21.0
1.41,260.0,75.0,24.0,40.0,0.5,0.0663,-3.4,-61.8,52.0,51.4,20.2
1.38,290.0,75.0,24.0,20.0,0.5,0.0663,-5.5,-63.7,67.1,48.2,22.5
1.42,250.0,75.0,24.0,40.0,0.5,0.0662,-3.2,-61.5,50.3,50.7,17.9
1.32,270.0,75.0,28.0,30.0,0.5,0.0662,-5.1,-63.9,61.9,50.2,25.7
1.29,300.0,85.0,28.0,0.0,0.5,0.0662,-2.6,-17.4,69.8,10.1,18.1
1.26,280.0,85.0,24.0,30.0,0.5,0.0662,-4.1,-65.9,63.4,52.8,24.3
1.42,270.0,75.0,28.0,10.0,0.5,0.0662,-3.5,-76.2,69.2,45.0,20.6
1.27,260.0,85.0,24.0,20.0,0.5,0.0662,-2.3,-52.0,58.2,53.6,19.0
1.32,280.0,85.0,24.0,40.0,0.5,0.0662,-3.7,-61.5,59.5,54.7,23.2
1.26,300.0,75.0,24.0,30.0,0.5,0.0662,-4.8,-65.6,50.2,51.8,24.6
