steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2277,109.3825,0.9811,16.2839,0.6617,9.3157,0.2302,0.2510,0.0594,-0.2361,-0.0037,0.0687,-0.1321,-0.0137,-0.1500,-0.0587,0.3547,0.3568,0.3613,0.3654,0.3702
500000,1162,214.1885,0.8158,27.2138,0.6763,7.9093,0.5312,0.3188,0.1032,-0.1413,-0.0035,0.0574,-0.1165,-0.0146,-0.0989,0.0326,0.3512,0.3471,0.3690,0.3670,0.3735
750000,631,396.5800,0.2884,25.5459,0.6778,7.1043,0.3681,0.2916,0.0634,-0.1336,-0.0034,0.0535,-0.0910,-0.0155,-0.0449,-0.0034,0.3402,0.3392,0.3713,0.3651,0.3755
1000000,650,384.3677,0.3538,26.5044,0.7010,8.3782,0.2137,0.1945,0.0718,-0.1528,-0.0035,0.0590,-0.1009,-0.0163,-0.0474,-0.0046,0.3397,0.3381,0.3810,0.3696,0.3788
1250000,687,363.0291,0.4614,28.3005,0.7080,8.9313,0.2476,0.1305,0.0815,-0.1604,-0.0038,0.0664,-0.1110,-0.0166,-0.0442,0.0013,0.3335,0.3332,0.3800,0.3665,0.3698
