steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2867,87.0052,0.9986,15.5722,0.6726,11.3231,0.1194,0.0485,0.0803,-0.2253,-0.0040,0.0797,-0.1385,-0.0133,-0.1636,-0.0324,0.3623,0.3584,0.3711,0.3631,0.3729
500000,2759,90.5578,1.0000,26.1934,0.6718,12.3250,0.3585,0.1287,0.1872,-0.1556,-0.0047,0.0862,-0.1576,-0.0137,-0.1491,0.1094,0.3606,0.3553,0.3706,0.3637,0.3764
750000,1713,145.6760,0.9837,29.9156,0.6686,14.1297,0.2159,0.1272,0.1892,-0.1427,-0.0050,0.0887,-0.1579,-0.0141,-0.1030,0.1179,0.3585,0.3518,0.3733,0.3667,0.3745
1000000,1260,198.1579,0.9262,33.3035,0.6590,12.9619,0.2575,0.1234,0.1792,-0.1612,-0.0051,0.0892,-0.1586,-0.0143,-0.0821,0.0986,0.3616,0.3475,0.3693,0.3649,0.3760
1250000,937,267.2049,0.8079,31.5704,0.6421,12.0982,0.2565,0.1138,0.1629,-0.1677,-0.0054,0.0941,-0.1487,-0.0147,-0.0591,0.0791,0.3603,0.3462,0.3695,0.3614,0.3739
1500000,871,286.2618,0.7761,29.6253,0.6172,13.4546,0.1265,0.1184,0.1664,-0.1758,-0.0061,0.0984,-0.1518,-0.0155,-0.0556,0.0785,0.3566,0.3457,0.3688,0.3584,0.3784
1750000,865,289.2821,0.7653,29.8457,0.5963,13.8479,0.1326,0.1357,0.1877,-0.1715,-0.0066,0.1086,-0.1601,-0.0160,-0.0558,0.1020,0.3519,0.3428,0.3774,0.3569,0.3781
2000000,861,290.5482,0.7468,31.0039,0.5835,13.7324,0.1385,0.1493,0.2056,-0.1558,-0.0066,0.1128,-0.1575,-0.0160,-0.0533,0.1277,0.3465,0.3390,0.3804,0.3589,0.3818
2250000,995,250.4201,0.8573,37.5650,0.5656,14.8694,0.1200,0.1607,0.2251,-0.1641,-0.0069,0.1157,-0.1667,-0.0161,-0.0636,0.1431,0.3472,0.3375,0.3794,0.3595,0.3825
2500000,780,320.6192,0.6744,34.9038,0.5657,13.7728,0.1690,0.1527,0.2016,-0.1724,-0.0069,0.1135,-0.1559,-0.0170,-0.0451,0.1154,0.3467,0.3312,0.3847,0.3541,0.3841
2750000,821,305.4141,0.7247,36.2548,0.5573,14.2323,0.1588,0.1607,0.2155,-0.1703,-0.0071,0.1147,-0.1563,-0.0179,-0.0482,0.1303,0.3430,0.3312,0.3829,0.3558,0.3858
3000000,798,313.0789,0.6729,36.4490,0.5521,14.3451,0.1514,0.1646,0.2145,-0.1802,-0.0073,0.1130,-0.1561,-0.0187,-0.0512,0.1244,0.3404,0.3274,0.3814,0.3564,0.3836
