steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,611,405.6792,0.3355,29.7152,0.5630,11.3528,0.0561,0.2169,0.1570,-0.1562,-0.0066,0.1099,-0.1553,-0.0196,-0.0316,0.0789,0.3454,0.3310,0.3821,0.3593,0.3859
500000,587,425.6899,0.2419,26.1183,0.5676,11.1908,0.0176,0.1151,0.1409,-0.1675,-0.0068,0.1073,-0.1511,-0.0187,-0.0324,0.0572,0.3433,0.3239,0.3774,0.3613,0.3800
750000,647,387.3694,0.3926,29.4835,0.5562,11.8385,0.0751,0.1254,0.1539,-0.1646,-0.0070,0.1172,-0.1529,-0.0174,-0.0429,0.0716,0.3432,0.3234,0.3782,0.3620,0.3815
1000000,665,375.6195,0.4647,34.1016,0.5466,11.5326,0.1828,0.1218,0.1537,-0.1568,-0.0069,0.1152,-0.1548,-0.0173,-0.0369,0.0753,0.3374,0.3221,0.3841,0.3599,0.3798
1250000,620,404.2226,0.3694,34.0527,0.5377,12.0585,0.1809,0.1364,0.1667,-0.1832,-0.0071,0.1236,-0.1635,-0.0166,-0.0321,0.0751,0.3352,0.3168,0.3860,0.3582,0.3859
1500000,659,379.1320,0.4492,36.4662,0.5196,12.0520,0.2919,0.1448,0.1786,-0.1812,-0.0073,0.1293,-0.1635,-0.0159,-0.0356,0.0880,0.3397,0.3099,0.3942,0.3536,0.3905
1750000,597,417.5578,0.3049,32.8264,0.5049,11.6743,0.2726,0.1595,0.1939,-0.1851,-0.0075,0.1338,-0.1647,-0.0164,-0.0296,0.1014,0.3394,0.3013,0.3936,0.3577,0.3951
2000000,605,413.5603,0.2992,32.8651,0.5009,11.8509,0.2911,0.1492,0.1857,-0.1892,-0.0076,0.1330,-0.1613,-0.0165,-0.0342,0.0911,0.3411,0.2966,0.3897,0.3570,0.3947
2250000,675,369.8504,0.4800,37.2133,0.4792,12.4454,0.3900,0.1601,0.2109,-0.1898,-0.0081,0.1406,-0.1643,-0.0164,-0.0426,0.1160,0.3444,0.2982,0.3958,0.3549,0.3959
2500000,629,398.5898,0.4149,32.8834,0.4677,12.8424,0.3835,0.1852,0.2451,-0.1746,-0.0090,0.1523,-0.1667,-0.0176,-0.0270,0.1578,0.3440,0.2944,0.3966,0.3555,0.3983
2750000,576,433.3628,0.2743,32.4816,0.4653,12.6823,0.3520,0.1886,0.2468,-0.1877,-0.0091,0.1537,-0.1674,-0.0184,-0.0180,0.1530,0.3433,0.2917,0.3947,0.3583,0.3965
3000000,563,443.8988,0.2096,33.1039,0.4628,12.5225,0.3178,0.1876,0.2413,-0.2010,-0.0089,0.1545,-0.1658,-0.0188,-0.0202,0.1408,0.3421,0.2874,0.3968,0.3589,0.4020
