steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2118,117.7894,0.9901,16.8570,0.6516,11.6136,0.1494,0.0683,0.1017,-0.1901,-0.0038,0.0832,-0.1289,-0.0132,-0.1381,0.0066,0.3589,0.3620,0.3669,0.3701,0.3708
500000,2576,97.0439,0.9988,33.5018,0.6389,13.3014,0.3513,0.1652,0.2227,-0.1440,-0.0043,0.0925,-0.1603,-0.0132,-0.1476,0.1507,0.3586,0.3566,0.3677,0.3707,0.3716
750000,1519,164.1119,0.9763,28.8061,0.6526,14.9634,0.1951,0.1384,0.1833,-0.1439,-0.0045,0.0984,-0.1506,-0.0137,-0.0942,0.1113,0.3584,0.3551,0.3725,0.3688,0.3714
1000000,930,268.9914,0.7860,26.0479,0.6603,12.3798,0.2269,0.0844,0.1215,-0.1634,-0.0044,0.0887,-0.1336,-0.0141,-0.0670,0.0398,0.3507,0.3515,0.3755,0.3659,0.3737
1250000,1019,245.3955,0.8567,29.9914,0.6545,12.6663,0.2004,0.1145,0.1525,-0.1318,-0.0047,0.0950,-0.1376,-0.0146,-0.0673,0.0866,0.3477,0.3425,0.3810,0.3686,0.3752
1500000,1263,198.2296,0.9406,28.1579,0.6119,14.0233,0.1789,0.1757,0.2263,-0.1106,-0.0053,0.1127,-0.1555,-0.0152,-0.0803,0.1710,0.3481,0.3405,0.3806,0.3714,0.3755
1750000,1160,214.6819,0.9155,28.2562,0.5770,14.8904,0.1749,0.1903,0.2728,-0.1206,-0.0062,0.1265,-0.1712,-0.0160,-0.0740,0.2126,0.3484,0.3388,0.3835,0.3690,0.3763
2000000,861,291.1115,0.7584,30.0825,0.5722,13.5512,0.2128,0.1954,0.2605,-0.1316,-0.0063,0.1287,-0.1726,-0.0167,-0.0515,0.1947,0.3454,0.3329,0.3827,0.3661,0.3768
2250000,779,319.7831,0.6919,30.9135,0.5676,13.4275,0.1502,0.1913,0.2504,-0.1485,-0.0066,0.1283,-0.1724,-0.0179,-0.0463,0.1761,0.3454,0.3284,0.3832,0.3615,0.3759
2500000,680,367.6309,0.4985,33.7113,0.5783,12.1598,0.2012,0.1995,0.2428,-0.1419,-0.0062,0.1248,-0.1687,-0.0181,-0.0320,0.1719,0.3434,0.3248,0.3873,0.3636,0.3779
2750000,694,361.2738,0.5202,33.7869,0.5692,12.8029,0.1140,0.1876,0.2329,-0.1664,-0.0062,0.1255,-0.1693,-0.0183,-0.0366,0.1497,0.3417,0.3211,0.3887,0.3602,0.3800
3000000,648,385.2840,0.4414,31.4923,0.5629,13.0242,0.0316,0.1818,0.2252,-0.1775,-0.0067,0.1241,-0.1688,-0.0196,-0.0333,0.1365,0.3455,0.3211,0.3933,0.3608,0.3854
