seed,mode,opt_leg,opt_hip,opt_freq,torso_amp,torso_phi,speed,speed_err,single,straight,mu_req_p95,min_mu_to_walk
5,upright,35.0,29.6,1.213,0.0,0.0,0.08,0.0,0.706,0.528,0.62,0.7
5,over_stance,52.0,19.8,1.122,20.0,0.0,0.08,0.0,0.853,0.537,0.527,0.3
5,over_swing,115.5,7.8,1.698,20.0,180.0,0.0505,-0.0295,1.0,0.352,0.488,
