seed,mode,opt_leg,opt_hip,opt_freq,torso_amp,torso_phi,speed,speed_err,single,straight,mu_req_p95,min_mu_to_walk
2,upright,119.8,8.3,1.745,0.0,0.0,0.0799,-0.0001,1.0,0.48,0.397,0.4
2,over_stance,79.5,19.7,1.109,20.0,0.0,0.08,0.0,0.82,0.526,0.534,0.2
2,over_swing,118.7,0.1,1.1,20.0,180.0,0.0736,-0.0064,0.879,0.517,0.508,
