steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1531,162.1215,0.8641,14.0219,1.1021,0.1200,87.1391,0.0067,0.0085,-0.1124,0.6381,10.1856,0.1104,0.2859,0.0452,-0.1739,-0.0097,0.0685,-0.1115,-0.0136,-0.1247,-0.0418,0.3547,0.3507,0.3701,0.3688,0.3667
500000,703,355.6088,0.4879,29.9479,7.8782,0.2200,88.3722,0.0097,0.0128,-0.1391,0.6138,7.9011,0.5088,0.3187,0.1031,-0.0957,-0.0103,0.0597,-0.1217,-0.0140,-0.0480,0.0552,0.3540,0.3547,0.3749,0.3707,0.3597
750000,752,332.7912,0.5266,35.9582,16.3558,0.4700,99.9309,0.0109,0.0150,-0.1620,0.6158,8.1208,0.5752,0.1360,0.1218,-0.1051,-0.0105,0.0635,-0.1291,-0.0142,-0.0522,0.0693,0.3568,0.3624,0.3668,0.3791,0.3587
1000000,882,283.3549,0.7347,38.6006,16.5478,0.4700,113.2556,0.0196,0.0251,-0.1317,0.5939,10.6335,0.5206,0.1325,0.1683,-0.1378,-0.0125,0.0948,-0.1614,-0.0141,-0.0681,0.0994,0.3538,0.3650,0.3624,0.3851,0.3608
1250000,1090,229.9725,0.8550,38.0559,14.2892,0.4700,136.2110,0.0241,0.0277,-0.0880,0.5689,11.8961,0.5547,0.1549,0.2007,-0.1316,-0.0136,0.1018,-0.1672,-0.0148,-0.0677,0.1350,0.3525,0.3645,0.3619,0.3883,0.3601
1500000,840,296.0560,0.7119,32.6842,9.8433,0.4700,111.0981,0.0299,0.0319,-0.0592,0.5582,12.8985,0.4079,0.1379,0.1820,-0.1735,-0.0142,0.1023,-0.1716,-0.0156,-0.0536,0.0953,0.3521,0.3649,0.3646,0.3913,0.3595
1750000,780,321.9590,0.6654,29.1903,8.1955,0.4700,118.0567,0.0285,0.0306,-0.0672,0.5733,12.0854,0.4122,0.1188,0.1616,-0.1639,-0.0140,0.0995,-0.1635,-0.0154,-0.0446,0.0797,0.3497,0.3632,0.3657,0.3948,0.3595
2000000,1026,243.2193,0.8577,33.8608,10.9823,0.4700,131.1486,0.0366,0.0348,0.0023,0.5463,12.5427,0.4420,0.1719,0.2278,-0.1480,-0.0145,0.1174,-0.1749,-0.0150,-0.0644,0.1538,0.3504,0.3595,0.3650,0.3944,0.3621
2250000,678,368.4912,0.4985,28.0882,8.4187,0.4700,99.3313,0.0306,0.0297,0.0025,0.5660,10.3090,0.4268,0.1350,0.1691,-0.1478,-0.0138,0.1069,-0.1633,-0.0149,-0.0368,0.0953,0.3516,0.3571,0.3616,0.3930,0.3671
2500000,769,324.5982,0.6320,28.6374,10.5684,0.4700,115.1225,0.0311,0.0298,0.0016,0.5682,10.9953,0.3831,0.1380,0.1736,-0.1496,-0.0146,0.1140,-0.1685,-0.0147,-0.0523,0.0988,0.3480,0.3568,0.3613,0.3929,0.3677
2750000,857,292.5589,0.7235,29.5425,9.7610,0.4700,127.4032,0.0377,0.0342,0.0316,0.5555,11.8584,0.3873,0.1665,0.2154,-0.1257,-0.0162,0.1300,-0.1750,-0.0152,-0.0557,0.1525,0.3468,0.3549,0.3609,0.3919,0.3710
3000000,681,366.5286,0.5257,29.5593,7.2065,0.4700,119.2414,0.0478,0.0403,0.0748,0.5415,10.7986,0.3733,0.1913,0.2383,-0.1202,-0.0175,0.1377,-0.1792,-0.0161,-0.0329,0.1782,0.3441,0.3504,0.3631,0.3886,0.3730
