ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0
500k,500000,0,0.0277
750k,750000,0,0.0001
1000k,1000000,3,0.0325
1250k,1250000,5,0.0398
1500k,1500000,5,0.0291
1750k,1750000,4,0.0367
2000k,2000000,11,0.1184
2250k,2250000,7,0.0741
2500k,2500000,11,0.1498
2750k,2750000,10,0.2978
3000k,3000000,10,0.2684
final,1000000000,11,0.3066
