steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1532,161.8962,0.8714,14.1152,0.6011,0.1200,85.2482,0.0068,0.0085,-0.1043,0.6374,10.1254,0.1295,0.2872,0.0466,-0.1731,-0.0097,0.0000,0.0000,-0.0132,-0.1667,-0.1275,-0.0400,0.3432,0.3430,0.3671,0.3485,0.3590
500000,690,362.1609,0.4522,26.0876,4.5240,0.1700,76.7810,0.0088,0.0114,-0.1377,0.6222,8.7276,0.3495,0.3995,0.0952,-0.0859,-0.0095,0.0000,0.0000,-0.0131,-0.1544,-0.0513,0.0523,0.3311,0.3298,0.3646,0.3352,0.3601
750000,745,335.8134,0.5611,33.0008,11.6923,0.2700,88.1810,0.0092,0.0131,-0.1722,0.6205,8.8505,0.4541,0.2642,0.1135,-0.0890,-0.0098,0.0000,0.0000,-0.0126,-0.1455,-0.0493,0.0690,0.3245,0.3245,0.3643,0.3271,0.3560
1000000,795,314.7069,0.6289,33.2396,10.6918,0.2700,93.0341,0.0118,0.0152,-0.1300,0.6248,10.2087,0.4002,0.2732,0.1343,-0.1067,-0.0107,0.0000,0.0000,-0.0118,-0.1413,-0.0562,0.0809,0.3175,0.3165,0.3680,0.3198,0.3502
1250000,709,352.0240,0.5303,28.9234,7.2144,0.2700,80.8876,0.0130,0.0156,-0.0962,0.6390,11.6146,0.2201,0.2615,0.1257,-0.1124,-0.0114,0.0000,0.0000,-0.0117,-0.1407,-0.0408,0.0695,0.3115,0.3053,0.3692,0.3157,0.3519
1500000,642,390.8520,0.4221,26.8530,5.8493,0.2700,76.1519,0.0149,0.0165,-0.0508,0.6414,11.2115,0.1418,0.2761,0.1342,-0.1080,-0.0117,0.0000,0.0000,-0.0120,-0.1418,-0.0322,0.0802,0.3014,0.2970,0.3714,0.3096,0.3480
1750000,649,384.3760,0.4160,28.9513,6.3037,0.2700,79.0113,0.0147,0.0162,-0.0544,0.6369,10.5350,0.1875,0.2973,0.1432,-0.1029,-0.0112,0.0000,0.0000,-0.0111,-0.1342,-0.0361,0.0918,0.2915,0.2867,0.3733,0.3012,0.3447
2000000,616,405.9838,0.3360,27.3456,6.1460,0.4200,75.5138,0.0141,0.0167,-0.0872,0.6426,11.0358,0.0959,0.1916,0.1313,-0.1104,-0.0111,0.0000,0.0000,-0.0106,-0.1270,-0.0348,0.0761,0.2791,0.2780,0.3739,0.2922,0.3487
2250000,787,317.8653,0.6518,28.3608,6.0045,0.4200,92.7028,0.0181,0.0223,-0.1149,0.6303,15.1327,-0.1227,0.2186,0.2019,-0.1050,-0.0126,0.0000,0.0000,-0.0105,-0.1351,-0.0538,0.1494,0.2761,0.2734,0.3757,0.2852,0.3517
2500000,673,371.9227,0.4755,25.2014,4.3545,0.4200,88.9520,0.0190,0.0221,-0.0920,0.6416,14.4654,-0.1743,0.1813,0.1745,-0.1200,-0.0135,0.0000,0.0000,-0.0107,-0.1287,-0.0418,0.1145,0.2698,0.2646,0.3784,0.2797,0.3530
2750000,719,347.0028,0.5841,27.6220,6.4530,0.4200,94.3982,0.0215,0.0260,-0.1048,0.6290,15.4247,-0.0254,0.1976,0.1996,-0.1364,-0.0142,0.0000,0.0000,-0.0105,-0.1299,-0.0418,0.1314,0.2671,0.2611,0.3832,0.2754,0.3574
3000000,723,344.9267,0.5491,27.5758,7.0951,0.4200,99.2492,0.0201,0.0277,-0.1627,0.6261,16.0700,-0.0730,0.2062,0.2028,-0.1404,-0.0146,0.0000,0.0000,-0.0108,-0.1308,-0.0488,0.1326,0.2622,0.2597,0.3901,0.2729,0.3638
