ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0002
500k,500000,0,0.0
750k,750000,0,-0.0004
1000k,1000000,1,0.0397
1250k,1250000,5,0.0574
1500k,1500000,2,0.0171
1750k,1750000,0,0.0026
2000k,2000000,0,0.0187
2250k,2250000,0,0.0021
2500k,2500000,0,0.0038
2750k,2750000,0,0.0032
3000k,3000000,0,0.0078
final,1000000000,0,0.0056
