steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1289,192.7975,0.8216,14.4020,0.2006,0.1700,82.9794,0.0073,0.0085,-0.0770,0.6425,10.5619,0.0984,0.2999,0.0483,-0.1608,-0.0098,0.0000,0.0000,-0.0131,-0.1667,-0.1098,-0.0321,0.3392,0.3398,0.3632,0.3431,0.3688
500000,765,326.1647,0.5778,27.7894,4.5313,0.2200,79.1406,0.0099,0.0128,-0.1245,0.6208,9.6635,0.3274,0.2957,0.1052,-0.1002,-0.0102,0.0000,0.0000,-0.0128,-0.1516,-0.0564,0.0551,0.3262,0.3309,0.3642,0.3361,0.3697
750000,718,349.1184,0.5111,28.2348,3.1923,0.2200,86.3663,0.0107,0.0132,-0.1135,0.6226,10.0479,0.2457,0.3156,0.1144,-0.0967,-0.0102,0.0000,0.0000,-0.0126,-0.1476,-0.0497,0.0660,0.3192,0.3244,0.3616,0.3296,0.3713
1000000,838,299.0453,0.6289,28.6163,1.2977,0.3700,98.7700,0.0140,0.0152,-0.0505,0.6241,12.0841,0.1124,0.2243,0.1546,-0.0913,-0.0104,0.0000,0.0000,-0.0125,-0.1498,-0.0538,0.1090,0.3110,0.3199,0.3585,0.3228,0.3720
1250000,992,250.7198,0.8337,29.4381,0.1109,0.3700,113.8580,0.0177,0.0174,-0.0103,0.6061,13.6592,0.0283,0.2377,0.1802,-0.1076,-0.0111,0.0000,0.0000,-0.0119,-0.1551,-0.0741,0.1264,0.3046,0.3184,0.3577,0.3172,0.3692
1500000,892,281.0516,0.7623,33.8457,-8.1579,0.3700,116.2523,0.0281,0.0218,0.0852,0.5819,13.0324,0.0671,0.2256,0.1835,-0.1185,-0.0119,0.0000,0.0000,-0.0118,-0.1613,-0.0656,0.1242,0.2959,0.3068,0.3590,0.3053,0.3718
1750000,996,250.0733,0.8243,38.2775,-12.3114,0.3700,117.8267,0.0324,0.0227,0.1274,0.5740,12.8843,0.1495,0.2236,0.1836,-0.1259,-0.0119,0.0000,0.0000,-0.0118,-0.1584,-0.0776,0.1207,0.2908,0.2993,0.3569,0.2986,0.3733
2000000,758,330.8945,0.6042,34.6814,-9.4535,0.3700,107.1785,0.0316,0.0223,0.1431,0.5916,12.5967,0.0519,0.2067,0.1611,-0.1366,-0.0123,0.0000,0.0000,-0.0116,-0.1506,-0.0554,0.0928,0.2884,0.2938,0.3521,0.2898,0.3734
2250000,774,322.0814,0.6163,34.4654,-11.7364,0.3700,110.7809,0.0333,0.0229,0.1537,0.5865,13.5112,0.0192,0.2134,0.1691,-0.1336,-0.0134,0.0000,0.0000,-0.0116,-0.1497,-0.0585,0.1023,0.2865,0.2890,0.3558,0.2865,0.3751
2500000,698,358.0645,0.4842,32.2558,-4.6801,0.3700,101.6029,0.0373,0.0246,0.1758,0.5804,11.6363,0.1526,0.1984,0.1575,-0.1394,-0.0138,0.0000,0.0000,-0.0118,-0.1466,-0.0500,0.0878,0.2775,0.2854,0.3507,0.2805,0.3699
2750000,658,380.6261,0.4286,34.0267,-6.9847,0.3700,95.2263,0.0355,0.0222,0.2039,0.5984,10.7648,0.1622,0.1836,0.1412,-0.1384,-0.0126,0.0000,0.0000,-0.0112,-0.1334,-0.0425,0.0720,0.2721,0.2830,0.3525,0.2736,0.3667
3000000,699,357.7639,0.5222,33.6607,-12.0915,0.3700,105.3747,0.0437,0.0255,0.2217,0.5919,12.8255,-0.0006,0.2062,0.1627,-0.1380,-0.0138,0.0000,0.0000,-0.0109,-0.1393,-0.0474,0.0938,0.2631,0.2783,0.3542,0.2727,0.3660
