steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1762,140.6708,0.9075,13.7266,-1.1744,0.1200,89.5188,0.0065,0.0075,-0.0714,0.6260,10.2411,0.0992,0.2706,0.0442,-0.1873,-0.0034,0.0785,-0.1139,-0.0136,-0.1421,-0.0495,0.3551,0.3501,0.3711,0.3672,0.3720
500000,704,353.7230,0.4361,25.8811,4.0718,0.1700,73.0449,0.0095,0.0123,-0.1291,0.6098,7.8051,0.4319,0.3321,0.0804,-0.1275,-0.0035,0.0652,-0.1183,-0.0139,-0.0629,0.0166,0.3454,0.3421,0.3770,0.3606,0.3742
750000,732,342.7281,0.5082,30.8138,7.5286,0.2200,82.1292,0.0098,0.0132,-0.1465,0.6056,7.2081,0.5407,0.2665,0.0917,-0.1226,-0.0035,0.0630,-0.1196,-0.0140,-0.0599,0.0303,0.3370,0.3357,0.3847,0.3587,0.3727
1000000,641,390.3120,0.3541,30.8299,9.6429,0.4200,72.7439,0.0103,0.0145,-0.1664,0.6217,7.0331,0.5607,0.2143,0.0888,-0.1228,-0.0036,0.0623,-0.1204,-0.0143,-0.0403,0.0274,0.3404,0.3317,0.3802,0.3615,0.3750
1250000,689,363.1829,0.4601,30.3808,10.9843,0.4700,89.7477,0.0130,0.0164,-0.1150,0.6096,7.9944,0.5276,0.0642,0.1112,-0.1202,-0.0040,0.0746,-0.1285,-0.0143,-0.0477,0.0511,0.3378,0.3322,0.3823,0.3607,0.3642
1500000,1061,235.9463,0.8624,31.5913,7.0578,0.4700,144.2670,0.0220,0.0210,-0.0092,0.5719,10.2502,0.5223,0.1526,0.1886,-0.1020,-0.0051,0.1076,-0.1531,-0.0141,-0.0799,0.1376,0.3388,0.3341,0.3871,0.3634,0.3620
1750000,1007,248.6514,0.7865,28.6520,3.6319,0.4700,129.0941,0.0306,0.0292,-0.0150,0.5667,11.9263,0.3746,0.1467,0.1867,-0.1419,-0.0061,0.1252,-0.1592,-0.0144,-0.0885,0.1157,0.3373,0.3310,0.3891,0.3669,0.3647
2000000,755,330.2556,0.5801,27.1911,3.5363,0.4700,117.9615,0.0405,0.0385,-0.0010,0.5643,12.7476,0.2536,0.1541,0.1916,-0.1599,-0.0061,0.1311,-0.1652,-0.0147,-0.0599,0.1116,0.3341,0.3230,0.3912,0.3659,0.3629
2250000,973,257.6053,0.7873,30.2264,-0.3372,0.4700,147.2180,0.0476,0.0495,-0.0463,0.5473,14.7602,0.1555,0.1775,0.2382,-0.1550,-0.0062,0.1422,-0.1686,-0.0149,-0.0819,0.1607,0.3326,0.3211,0.3944,0.3634,0.3626
2500000,849,293.0247,0.7091,29.5964,0.4549,0.4700,133.9335,0.0523,0.0518,-0.0207,0.5513,15.0662,0.0897,0.1603,0.2122,-0.1830,-0.0066,0.1431,-0.1695,-0.0156,-0.0701,0.1207,0.3304,0.3184,0.3966,0.3625,0.3659
2750000,845,296.8107,0.7065,33.0438,5.4172,0.4700,149.1378,0.0509,0.0629,-0.1204,0.5475,15.2651,0.1490,0.1826,0.2412,-0.1685,-0.0068,0.1464,-0.1733,-0.0162,-0.0622,0.1569,0.3301,0.3188,0.3918,0.3643,0.3631
3000000,789,317.3866,0.6667,31.3507,3.2638,0.4700,140.8694,0.0587,0.0666,-0.0827,0.5378,16.2069,0.0643,0.1933,0.2565,-0.1549,-0.0071,0.1478,-0.1736,-0.0163,-0.0521,0.1791,0.3310,0.3186,0.3939,0.3658,0.3657
