steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1662,149.5307,0.8947,13.3198,0.6937,0.1200,85.9281,0.0062,0.0078,-0.1023,0.6279,10.2250,0.1120,0.2765,0.0447,-0.1823,-0.0034,0.0790,-0.1125,-0.0132,-0.1665,-0.1380,-0.0464,0.3432,0.3412,0.3699,0.3487,0.3749
500000,742,335.8908,0.5283,26.4344,7.0939,0.1200,81.9436,0.0074,0.0112,-0.2043,0.6281,8.5513,0.4372,0.3668,0.0856,-0.1080,-0.0032,0.0609,-0.1131,-0.0127,-0.1507,-0.0592,0.0316,0.3283,0.3249,0.3695,0.3356,0.3761
750000,685,365.8365,0.3942,33.8899,14.1492,0.3700,80.8936,0.0071,0.0135,-0.2940,0.6492,7.7052,0.5542,0.1727,0.0874,-0.1117,-0.0032,0.0576,-0.1087,-0.0123,-0.1438,-0.0547,0.0315,0.3191,0.3188,0.3660,0.3228,0.3754
1000000,1180,211.4636,0.8686,40.6087,24.8390,0.3700,112.8713,0.0098,0.0148,-0.2042,0.6413,11.2715,0.5105,0.1886,0.1514,-0.1027,-0.0036,0.0752,-0.1401,-0.0112,-0.1352,-0.0901,0.1000,0.3113,0.3142,0.3669,0.3173,0.3777
1250000,1099,229.0027,0.8735,35.3293,21.3389,0.3700,108.0248,0.0132,0.0172,-0.1351,0.6398,13.3810,0.2543,0.2088,0.1667,-0.1089,-0.0039,0.0939,-0.1532,-0.0114,-0.1414,-0.0745,0.1123,0.3065,0.3080,0.3699,0.3136,0.3773
1500000,1037,238.6933,0.8737,32.2447,14.0587,0.3700,117.4194,0.0170,0.0191,-0.0724,0.6136,13.4685,0.2827,0.2366,0.1954,-0.1053,-0.0042,0.1030,-0.1634,-0.0115,-0.1437,-0.0679,0.1428,0.3046,0.3016,0.3703,0.3091,0.3804
1750000,903,278.2680,0.7719,27.9350,10.8573,0.3700,97.7870,0.0197,0.0215,-0.0527,0.6089,12.6082,0.2577,0.2045,0.1778,-0.1281,-0.0043,0.1084,-0.1564,-0.0113,-0.1455,-0.0711,0.1138,0.3022,0.2944,0.3716,0.3048,0.3828
2000000,877,284.7662,0.7184,27.1239,8.7979,0.3700,102.6748,0.0242,0.0241,-0.0142,0.5894,12.4138,0.2001,0.2102,0.1948,-0.1276,-0.0045,0.1155,-0.1615,-0.0112,-0.1548,-0.0737,0.1311,0.2995,0.2880,0.3643,0.3025,0.3834
2250000,701,356.5050,0.4964,23.8793,-1.1025,0.3700,91.3687,0.0261,0.0230,0.0519,0.5942,11.6037,0.1073,0.2053,0.1660,-0.1267,-0.0043,0.1064,-0.1540,-0.0116,-0.1586,-0.0548,0.1027,0.2933,0.2849,0.3697,0.2984,0.3837
2500000,715,349.9483,0.4937,25.5509,-5.3498,0.3700,92.5819,0.0280,0.0213,0.1079,0.5903,11.3782,0.0984,0.1963,0.1589,-0.1342,-0.0043,0.1059,-0.1554,-0.0114,-0.1536,-0.0632,0.0918,0.2875,0.2790,0.3661,0.2886,0.3891
2750000,725,344.4276,0.4938,27.1298,-1.9963,0.3700,96.6657,0.0305,0.0231,0.0960,0.5741,11.9691,0.1129,0.1879,0.1530,-0.1581,-0.0047,0.1063,-0.1621,-0.0113,-0.1532,-0.0666,0.0739,0.2809,0.2776,0.3691,0.2840,0.3888
3000000,711,351.9184,0.5049,27.4397,-0.9036,0.3700,95.0112,0.0343,0.0241,0.1408,0.5629,11.1055,0.1792,0.1861,0.1539,-0.1629,-0.0048,0.1015,-0.1607,-0.0110,-0.1465,-0.0617,0.0724,0.2770,0.2782,0.3690,0.2840,0.3829
