ckpt,steps,n_pass,mean_net_fwd
250k,250000,2,0.3001
500k,500000,2,0.4312
750k,750000,2,0.4041
1000k,1000000,2,0.297
1250k,1250000,2,0.359
1500k,1500000,2,0.3842
1750k,1750000,2,0.343
2000k,2000000,2,0.339
2250k,2250000,2,0.2455
2500k,2500000,2,0.2179
2750k,2750000,2,0.3802
3000k,3000000,2,0.331
final,1000000000,2,0.3177
