ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0001
500k,500000,0,-0.0004
750k,750000,0,-0.0004
1000k,1000000,0,0.0
1250k,1250000,6,0.205
1500k,1500000,6,0.162
1750k,1750000,4,0.1419
2000k,2000000,6,0.1399
2250k,2250000,2,0.0952
2500k,2500000,9,0.2513
2750k,2750000,2,0.0313
3000k,3000000,10,0.1277
final,1000000000,10,0.1321
