steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,7743,32.2826,1.0000,10.9744,3.6052,0.1200,100.9254,0.0093,0.0113,-0.0804,0.5409,20.1097,-0.4630,0.3130,0.0571,-0.1514,-0.0043,0.1603,-0.1393,-0.0115,-0.2801,-0.4420,-0.0185,0.3353,0.3361,0.3719,0.3345,0.3660
500000,17379,14.3852,1.0000,9.2927,6.5797,0.1200,91.0791,0.0171,0.0168,0.1243,0.4204,28.4077,-0.8715,0.5570,0.1111,-0.0189,-0.0060,0.2600,-0.1534,-0.0104,-0.3232,-0.7090,0.1017,0.2885,0.2894,0.3662,0.2911,0.3703
750000,15329,16.3059,1.0000,7.4514,4.0843,0.1200,85.5099,0.0140,0.0160,0.1180,0.4129,27.6001,-0.8459,0.6002,0.0952,-0.0162,-0.0060,0.2726,-0.1278,-0.0098,-0.2995,-0.6215,0.0871,0.2610,0.2591,0.3575,0.2644,0.3634
