steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,2017,123.7501,0.9752,21.7345,1.5804,0.1200,106.1063,0.0218,0.0215,0.0061,0.6741,9.6812,0.2806,0.2605,0.0872,-0.2044,-0.0037,0.0641,-0.1347,0.0000,-0.1360,-0.0150,0.3618,0.3686,0.3665,0.3706,0.3662
500000,847,295.3424,0.6765,28.5570,-3.9153,0.1200,98.7693,0.0200,0.0192,0.0243,0.6685,7.7651,0.6279,0.3474,0.0893,-0.1280,-0.0036,0.0596,-0.1090,0.0000,-0.0659,0.0254,0.3627,0.3591,0.3651,0.3703,0.3730
750000,642,388.8629,0.3801,31.5245,-13.0216,0.1700,86.8874,0.0189,0.0155,0.0914,0.6580,6.5281,0.6350,0.3542,0.0797,-0.1106,-0.0036,0.0577,-0.0957,0.0000,-0.0394,0.0244,0.3600,0.3494,0.3666,0.3720,0.3755
1000000,830,301.0518,0.6325,32.0878,-14.9130,0.2700,115.6957,0.0245,0.0196,0.1045,0.6640,8.3285,0.5828,0.2485,0.1022,-0.1381,-0.0040,0.0652,-0.1136,0.0000,-0.0665,0.0331,0.3626,0.3531,0.3693,0.3728,0.3767
1250000,898,277.9254,0.7528,29.9603,-4.4955,0.2700,123.4249,0.0296,0.0282,0.0176,0.6451,10.2983,0.5203,0.2301,0.1322,-0.1348,-0.0049,0.0797,-0.1269,0.0000,-0.0671,0.0647,0.3584,0.3512,0.3713,0.3747,0.3743
1500000,760,329.7039,0.5092,23.5536,0.8627,0.3200,97.0479,0.0242,0.0252,-0.0332,0.5792,8.2176,0.4389,0.1579,0.0968,-0.1661,-0.0064,0.0784,-0.1264,0.0000,-0.0610,0.0138,0.3587,0.3463,0.3769,0.3784,0.3693
1750000,659,378.6980,0.4036,22.7426,-0.8283,0.3700,84.7196,0.0326,0.0320,0.0096,0.5900,9.1312,0.3173,0.1522,0.1117,-0.1573,-0.0072,0.0908,-0.1268,0.0000,-0.0462,0.0330,0.3617,0.3428,0.3828,0.3854,0.3638
2000000,680,367.3706,0.4721,26.1385,-5.9871,0.4700,101.5637,0.0488,0.0388,0.1053,0.5858,9.1814,0.4753,0.1143,0.1344,-0.1791,-0.0080,0.0986,-0.1393,0.0000,-0.0430,0.0448,0.3559,0.3475,0.3836,0.3930,0.3677
2250000,686,365.0146,0.5248,29.0782,-5.3695,0.4700,118.6419,0.0621,0.0526,0.0872,0.5085,9.2047,0.6311,0.1164,0.1659,-0.2035,-0.0102,0.1166,-0.1529,0.0000,-0.0366,0.0642,0.3569,0.3492,0.3879,0.4063,0.3678
2500000,619,403.0420,0.3877,25.7490,-6.7979,0.4700,107.3042,0.0611,0.0482,0.1186,0.5093,9.0774,0.6289,0.0928,0.1379,-0.2345,-0.0107,0.1128,-0.1512,0.0000,-0.0296,0.0206,0.3547,0.3438,0.3889,0.4112,0.3661
2750000,652,383.7653,0.4279,24.0183,-5.1190,0.4700,110.7619,0.0498,0.0379,0.1335,0.5670,8.5168,0.6144,0.0907,0.1342,-0.1916,-0.0096,0.1058,-0.1434,0.0000,-0.0363,0.0384,0.3655,0.3399,0.3936,0.4203,0.3697
3000000,833,300.3697,0.7095,31.7271,0.3372,0.4700,128.9991,0.0573,0.0507,0.0574,0.5253,9.2247,0.6774,0.1290,0.1837,-0.1935,-0.0114,0.1247,-0.1612,0.0000,-0.0572,0.0869,0.3661,0.3372,0.3962,0.4234,0.3697
