steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1433,173.3454,0.8583,13.2866,0.2081,0.1200,83.5944,0.0067,0.0081,-0.0925,0.6419,10.0928,0.1095,0.2923,0.0441,-0.1684,-0.0099,0.0000,0.0000,-0.0133,-0.1676,-0.1202,-0.0401,0.3432,0.3426,0.3692,0.3459,0.3731
500000,693,361.0649,0.4848,27.1219,4.4088,0.1200,79.0486,0.0088,0.0116,-0.1431,0.6306,9.0234,0.3966,0.3939,0.0875,-0.0918,-0.0101,0.0000,0.0000,-0.0128,-0.1517,-0.0425,0.0416,0.3274,0.3280,0.3718,0.3302,0.3668
750000,644,386.8230,0.3913,30.7689,10.1408,0.2700,73.2608,0.0087,0.0124,-0.1745,0.6317,8.5099,0.4545,0.3161,0.0937,-0.0863,-0.0100,0.0000,0.0000,-0.0128,-0.1453,-0.0370,0.0506,0.3222,0.3200,0.3741,0.3213,0.3716
1000000,1062,236.6996,0.8465,38.4043,15.3159,0.2700,109.0236,0.0112,0.0143,-0.1269,0.6253,10.7415,0.5214,0.3160,0.1597,-0.0781,-0.0103,0.0000,0.0000,-0.0124,-0.1399,-0.0715,0.1207,0.3187,0.3145,0.3740,0.3127,0.3726
1250000,799,311.8798,0.6446,35.2721,10.5242,0.2700,103.5171,0.0141,0.0171,-0.0966,0.6395,11.7714,0.3198,0.3020,0.1535,-0.1000,-0.0107,0.0000,0.0000,-0.0122,-0.1428,-0.0529,0.1035,0.3146,0.3067,0.3709,0.3087,0.3703
1500000,632,395.5617,0.4225,33.0105,10.1966,0.3200,85.3473,0.0153,0.0180,-0.0880,0.6395,10.8404,0.2948,0.2811,0.1436,-0.1025,-0.0108,0.0000,0.0000,-0.0119,-0.1410,-0.0270,0.0923,0.3056,0.3000,0.3691,0.3013,0.3758
1750000,662,377.1782,0.4637,29.5188,7.4566,0.3200,86.1928,0.0149,0.0178,-0.0976,0.6338,12.2589,0.1182,0.2779,0.1578,-0.0960,-0.0110,0.0000,0.0000,-0.0116,-0.1414,-0.0361,0.1097,0.2960,0.2942,0.3659,0.2969,0.3778
2000000,668,374.1766,0.4701,30.2296,5.2619,0.3200,90.0199,0.0164,0.0198,-0.1008,0.6318,12.6563,0.0822,0.3023,0.1792,-0.0987,-0.0108,0.0000,0.0000,-0.0119,-0.1405,-0.0386,0.1299,0.2858,0.2860,0.3692,0.2942,0.3747
2250000,672,371.7426,0.4807,31.1632,-2.3671,0.3200,93.9023,0.0192,0.0222,-0.0810,0.6257,13.2647,-0.0007,0.3198,0.2002,-0.0900,-0.0113,0.0000,0.0000,-0.0117,-0.1388,-0.0362,0.1552,0.2797,0.2801,0.3781,0.2913,0.3735
2500000,604,414.0414,0.3113,28.6831,6.2441,0.4200,80.5715,0.0185,0.0222,-0.0961,0.6443,12.6164,-0.0151,0.2729,0.1795,-0.1134,-0.0112,0.0000,0.0000,-0.0116,-0.1327,-0.0270,0.1229,0.2698,0.2721,0.3797,0.2842,0.3765
2750000,797,313.8394,0.6876,30.8379,-2.0390,0.4700,111.7580,0.0251,0.0279,-0.0676,0.6027,15.6735,-0.0505,0.2626,0.2727,-0.0786,-0.0121,0.0000,0.0000,-0.0119,-0.1430,-0.0518,0.2334,0.2652,0.2661,0.3769,0.2796,0.3757
3000000,807,310.1611,0.6989,31.2142,-13.0607,0.4700,114.2934,0.0324,0.0313,0.0038,0.5943,16.1455,-0.1435,0.2545,0.2832,-0.0983,-0.0125,0.0000,0.0000,-0.0120,-0.1520,-0.0546,0.2341,0.2607,0.2603,0.3738,0.2749,0.3728
