ckpt,steps,n_pass,mean_net_fwd
250k,250000,0,-0.0003
500k,500000,0,-0.0002
750k,750000,0,-0.0
1000k,1000000,1,0.0063
1250k,1250000,3,0.0228
1500k,1500000,3,0.0417
1750k,1750000,5,0.0983
2000k,2000000,11,0.1527
2250k,2250000,8,0.1464
2500k,2500000,11,0.2274
2750k,2750000,11,0.3541
3000k,3000000,10,0.4097
final,1000000000,9,0.3868
