freq,hip_phi,leg_amp,hip_amp,hip_off
1.44,30.0,90.0,24.0,35.0
1.44,30.0,90.0,24.0,40.0
1.44,30.0,90.0,28.0,20.0
1.44,30.0,90.0,28.0,25.0
1.44,30.0,90.0,28.0,30.0
1.44,30.0,90.0,28.0,35.0
1.44,30.0,90.0,28.0,40.0
1.44,30.0,90.0,32.0,20.0
1.44,30.0,90.0,32.0,25.0
1.44,30.0,90.0,32.0,30.0
1.44,30.0,90.0,32.0,35.0
1.44,30.0,90.0,32.0,40.0
1.44,30.0,95.0,20.0,20.0
1.44,30.0,95.0,20.0,25.0
1.44,30.0,95.0,20.0,30.0
1.44,30.0,95.0,20.0,35.0
1.44,30.0,95.0,20.0,40.0
1.44,30.0,95.0,24.0,20.0
1.44,30.0,95.0,24.0,25.0
1.44,30.0,95.0,24.0,30.0
1.44,30.0,95.0,24.0,35.0
1.44,30.0,95.0,24.0,40.0
