steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1938,128.0877,0.9272,12.8897,0.7418,0.1200,87.0290,0.0061,0.0076,-0.1014,0.6241,10.4685,0.0743,0.2635,0.0426,-0.1910,-0.0034,0.0818,-0.1124,-0.0128,-0.2300,-0.1505,-0.0529,0.3494,0.3426,0.3516,0.3446,0.3526
500000,717,348.3975,0.4589,23.8018,4.2185,0.1200,70.3371,0.0083,0.0109,-0.1408,0.6192,8.1205,0.3727,0.3660,0.0850,-0.1093,-0.0031,0.0655,-0.1152,-0.0121,-0.2134,-0.0662,0.0304,0.3355,0.3260,0.3419,0.3314,0.3381
750000,624,401.7340,0.2917,25.5465,5.3444,0.3200,61.4082,0.0082,0.0103,-0.1209,0.6134,7.2594,0.4207,0.2880,0.0833,-0.0923,-0.0029,0.0591,-0.1071,-0.0118,-0.2023,-0.0452,0.0371,0.3264,0.3188,0.3348,0.3211,0.3290
1000000,1046,239.0363,0.8069,32.6625,12.7536,0.3200,101.3947,0.0112,0.0142,-0.1211,0.6056,9.4158,0.4984,0.2243,0.1418,-0.1115,-0.0033,0.0787,-0.1383,-0.0106,-0.1954,-0.0882,0.0860,0.3226,0.3159,0.3255,0.3188,0.3228
1250000,842,296.8990,0.6663,28.8156,8.4697,0.3200,92.0920,0.0171,0.0183,-0.0494,0.6081,11.7874,0.2363,0.2246,0.1493,-0.1262,-0.0038,0.0910,-0.1488,-0.0106,-0.2092,-0.0659,0.0862,0.3200,0.3119,0.3255,0.3173,0.3207
1500000,816,305.4559,0.6618,27.1690,4.2488,0.3200,90.6821,0.0158,0.0169,-0.0482,0.6142,11.8487,0.1403,0.2139,0.1331,-0.1290,-0.0035,0.0881,-0.1447,-0.0101,-0.2021,-0.0667,0.0686,0.3151,0.3058,0.3254,0.3116,0.3174
1750000,876,285.7352,0.7272,28.7305,-7.6153,0.3200,99.2650,0.0184,0.0174,-0.0058,0.6104,13.0499,0.0734,0.2492,0.1593,-0.1037,-0.0037,0.0994,-0.1469,-0.0096,-0.1969,-0.0733,0.1074,0.3089,0.2996,0.3207,0.3076,0.3149
2000000,744,336.5296,0.5820,30.5237,-8.9459,0.3200,95.9314,0.0224,0.0200,0.0276,0.6118,13.4321,-0.0657,0.2502,0.1629,-0.1166,-0.0038,0.0994,-0.1526,-0.0094,-0.1954,-0.0566,0.1046,0.3060,0.2972,0.3203,0.3041,0.3108
2250000,673,372.0431,0.4651,29.8262,-7.8133,0.3200,86.7640,0.0261,0.0239,0.0235,0.6064,13.5620,-0.0668,0.2484,0.1678,-0.1214,-0.0040,0.1034,-0.1549,-0.0095,-0.1965,-0.0453,0.1071,0.3018,0.2913,0.3151,0.3034,0.3095
2500000,688,362.5174,0.4840,33.4482,-12.7255,0.3200,88.3498,0.0195,0.0195,-0.0162,0.6228,12.8003,-0.1160,0.2329,0.1408,-0.1335,-0.0036,0.0963,-0.1534,-0.0094,-0.1899,-0.0471,0.0741,0.2949,0.2848,0.3117,0.3042,0.3034
2750000,729,342.3032,0.5501,38.0461,-15.8434,0.3200,99.0129,0.0203,0.0223,-0.0715,0.6241,12.9468,-0.0944,0.2388,0.1502,-0.1303,-0.0036,0.1012,-0.1610,-0.0093,-0.1895,-0.0471,0.0850,0.2907,0.2823,0.3091,0.3016,0.3020
3000000,803,310.9041,0.6526,39.5714,-18.6270,0.3200,104.2868,0.0216,0.0217,-0.0272,0.6189,13.3128,-0.0715,0.2419,0.1540,-0.1200,-0.0036,0.0988,-0.1573,-0.0091,-0.1861,-0.0562,0.0940,0.2828,0.2783,0.3042,0.2965,0.3007
