steps,n_ep,ep_len,fall_rate,torso_roll_rms_deg,torso_roll_mean_deg,vx_cmd,torso_roll_rate_rms_dps,stride_L_m,stride_R_m,stride_asym,single_frac,hip_diff_rms_deg,hip_corr,r_track,r_progress,r_back,r_energy,r_swing,r_scrub,r_smooth,r_hf,r_fall,vx,sigma_hipL,sigma_hipR,sigma_crankR,sigma_torso,sigma_crankL
250000,1558,159.6123,0.8716,14.2231,-0.6429,0.1200,87.1836,0.0066,0.0080,-0.0892,0.6297,10.2605,0.1030,0.2778,0.0452,-0.1804,-0.0034,0.0000,0.0000,-0.0132,-0.1669,-0.1307,-0.0450,0.3436,0.3433,0.3635,0.3474,0.3712
500000,790,315.3924,0.5797,26.4588,0.0651,0.1200,85.7825,0.0084,0.0104,-0.1154,0.6170,8.4253,0.3889,0.3747,0.0920,-0.1024,-0.0033,0.0000,0.0000,-0.0129,-0.1557,-0.0685,0.0408,0.3311,0.3304,0.3685,0.3399,0.3713
750000,637,392.9608,0.3375,27.1092,3.5974,0.2200,68.6247,0.0093,0.0106,-0.0789,0.6122,7.7617,0.3891,0.3231,0.0929,-0.0888,-0.0031,0.0000,0.0000,-0.0133,-0.1524,-0.0445,0.0484,0.3189,0.3211,0.3618,0.3302,0.3783
1000000,1313,190.8934,0.8797,34.2813,13.6452,0.3700,116.1390,0.0117,0.0129,-0.0492,0.5934,9.4627,0.5419,0.2273,0.1687,-0.0956,-0.0035,0.0000,0.0000,-0.0125,-0.1470,-0.0912,0.1209,0.3145,0.3209,0.3631,0.3255,0.3776
1250000,960,259.6427,0.8063,31.6832,7.3226,0.3700,107.8776,0.0179,0.0183,-0.0190,0.5969,11.6662,0.2436,0.2002,0.1577,-0.1342,-0.0040,0.0000,0.0000,-0.0123,-0.1522,-0.0674,0.0905,0.3079,0.3141,0.3691,0.3190,0.3746
1500000,815,307.2319,0.6785,30.2544,-3.7236,0.3700,104.8517,0.0211,0.0183,0.0553,0.6005,12.2030,0.1539,0.1990,0.1541,-0.1273,-0.0041,0.0000,0.0000,-0.0123,-0.1536,-0.0602,0.0905,0.2988,0.3078,0.3677,0.3115,0.3772
1750000,784,318.2870,0.6212,29.6184,-6.1083,0.3700,98.1304,0.0196,0.0172,0.0470,0.6098,12.0428,0.1497,0.1957,0.1484,-0.1224,-0.0040,0.0000,0.0000,-0.0117,-0.1470,-0.0586,0.0872,0.2937,0.3028,0.3637,0.3010,0.3786
2000000,815,307.6331,0.6822,33.3817,-12.9701,0.3700,105.0135,0.0265,0.0198,0.1329,0.6015,11.8934,0.2329,0.2090,0.1662,-0.1210,-0.0042,0.0000,0.0000,-0.0112,-0.1453,-0.0528,0.1058,0.2916,0.2958,0.3604,0.2951,0.3784
2250000,792,315.4141,0.6705,33.1625,-7.4486,0.3700,111.7425,0.0282,0.0224,0.0913,0.6054,12.5636,0.1001,0.2075,0.1665,-0.1280,-0.0043,0.0000,0.0000,-0.0110,-0.1397,-0.0469,0.1025,0.2808,0.2918,0.3646,0.2887,0.3736
2500000,719,346.5647,0.5925,31.7806,-8.4483,0.3700,106.3592,0.0351,0.0247,0.1570,0.6123,12.0966,0.1322,0.2053,0.1645,-0.1247,-0.0045,0.0000,0.0000,-0.0105,-0.1398,-0.0360,0.1022,0.2702,0.2884,0.3659,0.2826,0.3688
2750000,766,326.9086,0.6410,36.3811,-14.0654,0.3700,116.5541,0.0461,0.0293,0.1945,0.5781,12.5276,0.2417,0.2315,0.2000,-0.1106,-0.0049,0.0000,0.0000,-0.0102,-0.1381,-0.0433,0.1447,0.2647,0.2825,0.3692,0.2791,0.3720
3000000,752,333.3617,0.6051,36.6392,-10.8891,0.3700,119.2619,0.0545,0.0355,0.1840,0.5571,12.9231,0.2648,0.2387,0.2146,-0.1214,-0.0052,0.0000,0.0000,-0.0104,-0.1435,-0.0451,0.1539,0.2576,0.2735,0.3743,0.2775,0.3751
