freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.96,240.0,105,28,20,0.1,0.546,0.8
1.78,270.0,105,28,10,0.1,0.5135,0.8
1.83,340.0,105,28,20,0.1,0.5031,0.8
1.98,310.0,95,24,20,0.1,0.4969,0.8
1.8,270.0,105,28,10,0.1,0.4955,0.867
1.96,310.0,95,24,20,0.1,0.4875,0.867
1.84,290.0,95,28,10,0.1,0.4748,1.0
1.86,260.0,105,28,10,0.1,0.4748,0.8
1.83,300.0,95,28,10,0.1,0.4737,0.8
1.81,270.0,105,28,10,0.1,0.4663,0.8
1.97,320.0,95,24,20,0.1,0.4598,0.867
1.85,280.0,95,28,10,0.1,0.4445,0.933
1.97,260.0,95,28,10,0.1,0.4415,0.8
1.81,260.0,105,28,10,0.1,0.4374,0.8
1.7,320.0,95,24,20,0.1,0.4322,0.867
1.94,260.0,95,28,10,0.1,0.4278,0.8
1.84,280.0,95,28,10,0.1,0.4246,1.0
1.91,280.0,95,20,20,0.1,0.4224,0.8
1.8,260.0,105,28,10,0.1,0.4214,0.8
1.98,300.0,95,20,20,0.1,0.4183,0.8
1.91,340.0,115,20,20,0.1,0.4159,0.8
1.79,280.0,105,28,10,0.1,0.4144,0.867
1.89,270.0,95,28,10,0.1,0.4112,0.8
1.86,290.0,95,28,10,0.1,0.4105,0.867
1.87,270.0,95,28,10,0.1,0.4086,0.933
1.82,290.0,95,28,10,0.1,0.4081,0.867
1.83,290.0,95,28,10,0.1,0.4079,0.867
1.88,270.0,95,28,10,0.1,0.4068,0.867
1.86,280.0,95,28,10,0.1,0.4062,0.867
1.95,260.0,95,28,10,0.1,0.4045,0.867
1.85,290.0,95,28,10,0.1,0.4025,0.933
1.83,280.0,95,28,10,0.1,0.4021,0.867
1.82,300.0,95,28,10,0.1,0.3977,0.867
1.9,340.0,95,28,20,0.1,0.3947,0.8
1.86,270.0,95,28,10,0.1,0.3944,1.0
1.85,300.0,95,28,10,0.1,0.391,0.8
1.97,320.0,95,20,20,0.1,0.3895,0.8
1.85,330.0,95,24,20,0.1,0.387,0.8
1.89,260.0,95,28,10,0.1,0.3857,0.8
1.92,270.0,95,20,20,0.1,0.3845,0.8
1.78,300.0,85,28,10,0.1,0.3843,0.867
1.82,280.0,95,28,10,0.1,0.3812,0.867
1.68,330.0,95,24,20,0.1,0.3796,0.8
1.67,340.0,95,24,20,0.1,0.379,0.8
1.68,320.0,95,24,20,0.1,0.3788,0.867
1.83,270.0,105,24,10,0.1,0.3783,0.8
1.85,270.0,95,28,10,0.1,0.3783,1.0
1.7,330.0,95,24,20,0.1,0.3761,0.8
1.84,270.0,95,28,10,0.1,0.3758,0.933
1.94,340.0,95,24,20,0.1,0.3745,0.867
