freq,hip_phi,leg_amp,hip_amp,hip_off,mu
1.96,240.0,105,28,20,0.1
1.78,270.0,105,28,10,0.1
1.83,340.0,105,28,20,0.1
1.98,310.0,95,24,20,0.1
1.8,270.0,105,28,10,0.1
1.96,310.0,95,24,20,0.1
1.84,290.0,95,28,10,0.1
1.86,260.0,105,28,10,0.1
1.83,300.0,95,28,10,0.1
1.81,270.0,105,28,10,0.1
1.97,320.0,95,24,20,0.1
1.85,280.0,95,28,10,0.1
1.97,260.0,95,28,10,0.1
1.81,260.0,105,28,10,0.1
1.7,320.0,95,24,20,0.1
1.94,260.0,95,28,10,0.1
1.84,280.0,95,28,10,0.1
1.91,280.0,95,20,20,0.1
1.8,260.0,105,28,10,0.1
1.98,300.0,95,20,20,0.1
1.91,340.0,115,20,20,0.1
1.79,280.0,105,28,10,0.1
1.89,270.0,95,28,10,0.1
1.86,290.0,95,28,10,0.1
1.87,270.0,95,28,10,0.1
1.82,290.0,95,28,10,0.1
1.83,290.0,95,28,10,0.1
1.88,270.0,95,28,10,0.1
1.86,280.0,95,28,10,0.1
1.95,260.0,95,28,10,0.1
1.85,290.0,95,28,10,0.1
1.83,280.0,95,28,10,0.1
1.82,300.0,95,28,10,0.1
1.9,340.0,95,28,20,0.1
1.86,270.0,95,28,10,0.1
1.85,300.0,95,28,10,0.1
1.97,320.0,95,20,20,0.1
1.85,330.0,95,24,20,0.1
1.89,260.0,95,28,10,0.1
1.92,270.0,95,20,20,0.1
1.78,300.0,85,28,10,0.1
1.82,280.0,95,28,10,0.1
1.68,330.0,95,24,20,0.1
1.67,340.0,95,24,20,0.1
1.68,320.0,95,24,20,0.1
1.83,270.0,105,24,10,0.1
1.85,270.0,95,28,10,0.1
1.7,330.0,95,24,20,0.1
1.84,270.0,95,28,10,0.1
1.94,340.0,95,24,20,0.1
1.99,280.0,85.0,28.0,20.0,0.1
2.0,270.0,85.0,28.0,20.0,0.1
1.91,290.0,85.0,28.0,20.0,0.1
1.96,240.0,105.0,28.0,20.0,0.1
1.95,310.0,95.0,24.0,20.0,0.1
1.9,310.0,95.0,24.0,20.0,0.1
1.89,300.0,95.0,24.0,20.0,0.1
1.9,280.0,95.0,28.0,20.0,0.1
1.78,270.0,105.0,28.0,10.0,0.1
1.77,270.0,105.0,28.0,10.0,0.1
1.83,340.0,105.0,28.0,20.0,0.1
1.98,310.0,95.0,24.0,20.0,0.1
1.95,330.0,105.0,24.0,20.0,0.1
1.8,270.0,105.0,28.0,10.0,0.1
1.94,310.0,105.0,20.0,20.0,0.1
1.96,310.0,95.0,24.0,20.0,0.1
1.92,290.0,95.0,24.0,20.0,0.1
1.83,270.0,105.0,28.0,10.0,0.1
1.84,290.0,95.0,28.0,10.0,0.1
1.86,260.0,105.0,28.0,10.0,0.1
1.96,230.0,125.0,24.0,20.0,0.5
1.99,240.0,125.0,28.0,10.0,0.5
1.99,240.0,115.0,28.0,10.0,0.5
1.96,220.0,125.0,24.0,20.0,0.5
1.68,240.0,125.0,28.0,10.0,0.5
1.86,230.0,125.0,24.0,10.0,0.5
1.81,230.0,125.0,28.0,10.0,0.5
1.69,250.0,115.0,28.0,10.0,0.5
1.74,220.0,125.0,24.0,20.0,0.5
1.97,230.0,115.0,20.0,20.0,0.5
1.65,240.0,115.0,24.0,10.0,0.5
1.83,260.0,115.0,28.0,10.0,0.5
2.0,220.0,115.0,28.0,20.0,0.5
1.9,280.0,125.0,28.0,10.0,0.5
1.68,270.0,125.0,28.0,10.0,0.5
1.73,240.0,125.0,28.0,10.0,0.5
1.98,240.0,105.0,24.0,10.0,0.5
1.9,220.0,125.0,28.0,20.0,0.5
1.98,230.0,115.0,28.0,10.0,0.5
2.0,230.0,125.0,28.0,10.0,0.5
2.0,290.0,125.0,28.0,20.0,0.3
1.97,250.0,125.0,28.0,10.0,0.3
1.93,260.0,125.0,28.0,10.0,0.3
1.97,270.0,125.0,24.0,20.0,0.3
1.99,260.0,125.0,28.0,10.0,0.3
1.9,250.0,125.0,28.0,10.0,0.3
2.0,280.0,125.0,24.0,20.0,0.3
1.95,260.0,125.0,28.0,10.0,0.3
1.89,260.0,125.0,28.0,10.0,0.3
1.96,230.0,125.0,28.0,10.0,0.3
1.9,260.0,125.0,28.0,10.0,0.3
1.95,230.0,125.0,28.0,10.0,0.3
1.98,230.0,125.0,28.0,10.0,0.3
1.97,260.0,125.0,28.0,10.0,0.3
1.93,240.0,115.0,28.0,10.0,0.3
1.84,260.0,125.0,28.0,10.0,0.3
1.95,250.0,125.0,28.0,10.0,0.3
1.94,230.0,125.0,28.0,10.0,0.3
2.0,220.0,125.0,28.0,20.0,0.3
1.95,220.0,125.0,28.0,20.0,0.3
1.8,240.0,125.0,28.0,10.0,0.7
1.63,230.0,125.0,24.0,20.0,0.7
1.99,220.0,115.0,24.0,20.0,0.7
1.86,260.0,105.0,28.0,10.0,0.7
1.96,220.0,115.0,28.0,10.0,0.7
1.68,230.0,125.0,28.0,10.0,0.7
1.92,230.0,115.0,20.0,20.0,0.7
1.98,220.0,115.0,24.0,20.0,0.7
1.67,250.0,125.0,28.0,10.0,0.7
1.93,230.0,125.0,24.0,10.0,0.7
1.56,250.0,115.0,28.0,10.0,0.7
1.64,250.0,115.0,28.0,10.0,0.7
1.76,240.0,125.0,28.0,10.0,0.7
1.68,250.0,125.0,28.0,10.0,0.7
1.89,230.0,115.0,28.0,10.0,0.7
1.0,180.0,95.0,28.0,20.0,0.7
1.7,260.0,115.0,28.0,10.0,0.7
1.88,220.0,115.0,28.0,10.0,0.7
2.0,250.0,125.0,20.0,10.0,0.7
1.09,210.0,85.0,24.0,20.0,0.7
