freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.94,260.0,105,28,10,0.7,0.1616,0.8
1.7,270.0,85,28,10,0.7,0.1482,0.8
1.73,280.0,105,28,10,0.7,0.1482,0.8
1.55,300.0,85,28,10,0.7,0.1479,0.8
1.89,240.0,125,16,20,0.7,0.1452,0.8
1.87,240.0,125,16,20,0.7,0.1441,0.8
1.69,280.0,85,28,10,0.7,0.1438,1.0
1.75,280.0,105,28,10,0.7,0.1417,0.867
1.6,290.0,95,28,10,0.7,0.1416,0.8
1.61,290.0,85,28,10,0.7,0.1406,0.8
1.77,280.0,105,28,10,0.7,0.1392,0.933
1.78,280.0,105,28,10,0.7,0.139,0.867
1.94,260.0,105,20,10,0.7,0.1389,0.8
1.98,270.0,85,20,20,0.7,0.1378,0.8
1.79,280.0,105,28,10,0.7,0.1376,0.8
1.7,280.0,115,24,10,0.7,0.137,0.933
1.72,280.0,115,24,10,0.7,0.1356,0.8
1.64,310.0,85,20,20,0.7,0.1334,0.8
1.88,240.0,125,16,20,0.7,0.1328,0.8
1.89,270.0,105,20,10,0.7,0.1319,0.8
1.94,270.0,105,24,10,0.7,0.1319,0.8
1.78,280.0,95,28,10,0.7,0.1318,0.8
1.68,280.0,85,28,10,0.7,0.1291,1.0
1.8,280.0,105,28,10,0.7,0.1291,0.8
1.96,280.0,85,20,20,0.7,0.1289,0.8
1.93,240.0,125,16,20,0.7,0.1287,0.8
1.93,270.0,105,20,10,0.7,0.1284,0.8
1.64,290.0,95,28,10,0.7,0.1277,0.8
1.67,290.0,115,24,10,0.7,0.1268,0.933
1.71,240.0,125,16,20,0.7,0.1267,0.8
1.53,300.0,95,28,10,0.7,0.1261,0.8
1.62,290.0,85,28,10,0.7,0.1255,0.867
1.56,300.0,85,28,10,0.7,0.1252,0.867
1.95,260.0,105,20,10,0.7,0.1244,0.867
1.48,310.0,85,24,20,0.7,0.1243,0.8
1.63,290.0,95,28,10,0.7,0.1243,0.867
1.96,290.0,115,20,20,0.7,0.1243,0.8
1.47,310.0,85,24,10,0.7,0.124,0.867
1.68,290.0,115,28,10,0.7,0.1235,0.867
1.85,300.0,115,20,20,0.7,0.1229,0.8
1.92,270.0,105,20,10,0.7,0.1223,0.8
1.67,280.0,85,28,10,0.7,0.1222,0.867
1.96,330.0,95,16,30,0.7,0.1222,0.8
1.93,280.0,105,24,10,0.7,0.122,0.8
1.5,300.0,85,24,10,0.7,0.1219,0.8
1.59,310.0,85,20,20,0.7,0.1218,0.8
1.93,230.0,125,16,20,0.7,0.121,0.867
1.73,290.0,105,28,10,0.7,0.1208,0.867
1.67,290.0,115,28,10,0.7,0.1203,0.867
1.95,280.0,125,20,10,0.7,0.1203,0.867
