rank,freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd,slip_ratio,ds_move_frac,ss_move_frac,single_frac,clear_L,clear_R,n_steps,cadence,straightness,torso_roll_rms_deg,torso_sat_frac,survived,valid
1,1.98,270.0,125.0,24.0,40.0,0.1,0.1737,1.46105,0.6291,0.3581,0.363,0.0047,0.0166,63,4.846,0.515,4.647,0.0,1,1
1,1.98,270.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.98,270.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
1,1.98,270.0,125.0,24.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.98,280.0,125.0,24.0,40.0,0.1,0.1759,1.48742,0.6604,0.3334,0.338,0.0068,0.0165,63,4.846,0.515,4.965,0.0,1,1
2,1.98,280.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.98,280.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
2,1.98,280.0,125.0,24.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.97,280.0,125.0,24.0,40.0,0.1,0.1749,1.47486,0.6593,0.3346,0.338,0.0068,0.0164,64,4.923,0.512,4.936,0.0,1,1
3,1.97,280.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.97,280.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
3,1.97,280.0,125.0,24.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,260.0,125.0,28.0,30.0,0.1,0.1734,1.63573,0.603,0.3801,0.386,0.0054,0.0141,51,3.923,0.526,3.728,0.0,1,1
4,1.98,260.0,125.0,28.0,30.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,260.0,125.0,28.0,30.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
4,1.98,260.0,125.0,28.0,30.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.94,280.0,125.0,24.0,40.0,0.1,0.172,1.44648,0.67,0.3233,0.327,0.0074,0.0164,65,5.0,0.495,4.865,0.0,1,1
5,1.94,280.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.94,280.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
5,1.94,280.0,125.0,24.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.97,270.0,125.0,24.0,40.0,0.1,0.1734,1.42042,0.6298,0.357,0.359,0.005,0.0159,65,5.0,0.502,4.608,0.0,1,1
6,1.97,270.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.97,270.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
6,1.97,270.0,125.0,24.0,40.0,0.7,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.95,270.0,125.0,24.0,40.0,0.1,0.1701,1.4439,0.633,0.3539,0.353,0.0047,0.0164,64,4.923,0.498,4.555,0.0,1,1
7,1.95,270.0,125.0,24.0,40.0,0.3,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
7,1.95,270.0,125.0,24.0,40.0,0.5,0.0,nan,nan,nan,0.0,nan,nan,0,0.0,nan,nan,nan,0,0
