freq,hip_phi,leg_amp,hip_amp,hip_off,mu,net_fwd_mean,nbhd_pass
1.98,270.0,125,24,40,0.1,0.1761,0.933
1.98,280.0,125,24,40,0.1,0.176,0.8
1.97,280.0,125,24,40,0.1,0.1756,0.8
1.98,260.0,125,28,30,0.1,0.1728,1.0
1.94,280.0,125,24,40,0.1,0.1727,0.8
1.97,270.0,125,24,40,0.1,0.1724,0.933
1.95,270.0,125,24,40,0.1,0.1723,0.933
1.93,280.0,125,24,40,0.1,0.171,0.933
1.92,280.0,125,24,40,0.1,0.1704,0.933
1.93,270.0,125,24,40,0.1,0.1701,1.0
1.96,270.0,125,24,40,0.1,0.17,0.933
1.91,280.0,125,24,40,0.1,0.1694,0.8
1.96,260.0,125,28,30,0.1,0.169,1.0
1.94,270.0,125,24,40,0.1,0.1689,0.933
1.96,260.0,125,20,40,0.1,0.1689,0.8
1.97,260.0,125,20,40,0.1,0.1689,0.8
1.95,260.0,125,20,40,0.1,0.1688,0.8
1.98,260.0,125,20,40,0.1,0.1687,0.867
1.92,270.0,125,24,40,0.1,0.1677,0.933
1.96,270.0,125,28,30,0.1,0.1676,1.0
1.97,320.0,105,28,30,0.1,0.1676,0.8
1.9,280.0,125,24,40,0.1,0.1672,0.8
1.86,270.0,125,24,40,0.1,0.1671,0.867
1.86,280.0,125,24,40,0.1,0.1671,0.8
1.94,270.0,125,28,30,0.1,0.1668,1.0
1.92,270.0,125,28,30,0.1,0.1667,1.0
1.94,320.0,105,28,30,0.1,0.1665,0.8
1.85,280.0,125,24,40,0.1,0.1663,0.8
1.91,270.0,125,28,30,0.1,0.1662,1.0
1.97,270.0,125,20,40,0.1,0.1662,0.867
1.95,260.0,125,28,30,0.1,0.166,1.0
1.97,270.0,125,28,30,0.1,0.1659,1.0
1.95,270.0,125,28,30,0.1,0.1656,1.0
1.94,260.0,125,28,30,0.1,0.165,1.0
1.94,260.0,125,24,40,0.1,0.1647,0.8
1.98,270.0,125,28,30,0.1,0.1645,1.0
1.84,270.0,125,24,40,0.1,0.1643,0.8
1.74,320.0,115,28,30,0.1,0.1641,0.933
1.98,310.0,105,28,30,0.1,0.164,1.0
1.96,270.0,125,20,40,0.1,0.1637,0.867
1.91,270.0,125,24,40,0.1,0.1636,0.8
1.88,270.0,125,28,30,0.1,0.1634,1.0
1.93,270.0,125,28,30,0.1,0.1634,1.0
1.87,270.0,125,28,30,0.1,0.1632,1.0
1.89,270.0,125,28,30,0.1,0.1629,1.0
1.93,320.0,105,28,30,0.1,0.1627,0.867
1.86,270.0,125,28,30,0.1,0.1623,1.0
1.9,270.0,125,28,30,0.1,0.1618,1.0
1.78,320.0,115,28,30,0.1,0.1616,1.0
1.92,320.0,105,28,30,0.1,0.1612,0.867
